model,epoch_d,L_metal_total,metal_frac_of_all,dominant_metal,dominant_metal_L,L_C,L_O,L_Ne,overall_rank_of_dominant_metal
A1,10.0,1.544765494689296e+37,0.00029034505407701355,O_I_7774,1.5327424042074728e+37,1.1093460033889047e+35,1.5336720346553611e+37,4.572139550188499e+23,10
A1,20.0,2.0436040181788405e+37,0.00024317917280326358,O_I_7774,1.7458047283607752e+37,4.582453058222319e+29,2.0436039723543099e+37,2659113271247.544,10
A1,30.0,4.603471505738492e+37,0.0003789946834914471,O_I_7774,2.772466430416046e+37,8.566474335570124e+28,4.603471497172017e+37,94381444045.9637,10
A1,40.0,8.534544925448288e+37,0.0006318763371974635,O_I_6300,4.745876323742252e+37,4.981291437028002e+28,8.534544920466996e+37,2821469878.6943607,10
A1,50.0,1.5024269764980224e+38,0.0009154717166673799,O_I_6300,8.38774705005828e+37,8.589033633487626e+28,1.5024269756391192e+38,1540361611.3686905,10
A1,60.0,2.0865041162066582e+38,0.0012098776913069085,O_I_6300,1.1755486476246205e+38,1.4029908774726468e+29,2.0865041148036677e+38,625688352.1414158,10
A1,70.0,2.9109449148725084e+38,0.0015194614358031162,O_I_6300,1.5124235620954294e+38,4.037759247636891e+29,2.9109449108347494e+38,778426157.2848415,10
A1,80.0,3.470885460193207e+38,0.0020952410592443176,O_I_6300,1.9632692324149913e+38,5.087874730395093e+29,3.470885455105332e+38,199991217.50955456,10
A1,90.0,4.2479684793614656e+38,0.0027908545944669177,O_I_6300,2.390378073139545e+38,8.429674558465358e+29,4.2479684709317906e+38,187264852.70453477,10
A1,100.0,4.991929008171255e+38,0.004608857782446004,O_I_6300,3.0392181669835235e+38,8.779796417834063e+29,4.991928999391459e+38,79674208.90992425,10
A1,110.0,7.365832983416448e+38,0.008184645840995276,O_I_6300,4.285904454903651e+38,1.6323627484332446e+30,7.365832967092821e+38,150029111.84718513,10
A1,120.0,1.1816076964353646e+39,0.023827252995113655,O_I_6300,8.243284876321494e+38,8.385752943437714e+29,1.1816076955967893e+39,2.789679600962879e+16,7
