         t-t0          tau          rho            T            r            v
  -2.3646D+01   2.4670D+05   1.7258D-11   4.6026D+04   1.4281D+13   4.0530D-01
  -2.3556D+01   2.3693D+05   1.6032D-11   4.5499D+04   1.4596D+13   4.0440D-01
  -2.3156D+01   2.0071D+05   1.1858D-11   4.3251D+04   1.5987D+13   4.0060D-01
  -2.2656D+01   1.6774D+05   8.5114D-12   4.1020D+04   1.7711D+13   3.9680D-01
  -2.1656D+01   1.2341D+05   4.8978D-12   3.7497D+04   2.1116D+13   3.9130D-01
  -2.0656D+01   9.4106D+04   3.1046D-12   3.4834D+04   2.4482D+13   3.8750D-01
  -1.9656D+01   7.5745D+04   2.0989D-12   3.3884D+04   2.7818D+13   3.8390D-01
  -1.8656D+01   6.3176D+04   1.4962D-12   4.1115D+04   3.1092D+13   3.7090D-01
  -1.7656D+01   5.1719D+04   1.1246D-12   5.0933D+04   3.4167D+13   3.3880D-01
  -1.6656D+01   4.2675D+04   8.9125D-13   5.7280D+04   3.6908D+13   2.9770D-01
  -1.5656D+01   3.5866D+04   7.3621D-13   6.0534D+04   3.9315D+13   2.6140D-01
  -1.4656D+01   3.0956D+04   6.2806D-13   6.1518D+04   4.1449D+13   2.3500D-01
  -1.3656D+01   2.6971D+04   5.4702D-13   6.1376D+04   4.3397D+13   2.1720D-01
  -1.1656D+01   2.0627D+04   4.3053D-13   5.9429D+04   4.6955D+13   1.9720D-01
  -9.6557D+00   1.6333D+04   3.5075D-13   5.6754D+04   5.0272D+13   1.8750D-01
  -7.6557D+00   1.3436D+04   2.9174D-13   5.3951D+04   5.3463D+13   1.8220D-01
  -5.6557D+00   1.1455D+04   2.4547D-13   5.1404D+04   5.6625D+13   1.7900D-01
  -3.6557D+00   9.7855D+03   2.0989D-13   4.8978D+04   5.9659D+13   1.7690D-01
  -1.6557D+00   8.3598D+03   1.8072D-13   4.6666D+04   6.2704D+13   1.7550D-01
   3.4427D-01   7.2013D+03   1.5668D-13   4.4668D+04   6.5729D+13   1.7440D-01
   2.3443D+00   6.2857D+03   1.3709D-13   4.2756D+04   6.8738D+13   1.7370D-01
   4.3443D+00   5.5658D+03   1.2050D-13   4.0926D+04   7.1735D+13   1.7310D-01
   6.3443D+00   4.9639D+03   1.0666D-13   3.9264D+04   7.4723D+13   1.7260D-01
   8.3443D+00   4.4414D+03   9.4842D-14   3.7757D+04   7.7703D+13   1.7220D-01
   1.0344D+01   3.9185D+03   8.4723D-14   3.6308D+04   8.0678D+13   1.7180D-01
   1.2344D+01   3.4458D+03   7.6033D-14   3.4995D+04   8.3646D+13   1.7150D-01
   1.4344D+01   3.0369D+03   6.8549D-14   3.3729D+04   8.6610D+13   1.7130D-01
   1.6344D+01   2.6907D+03   6.1944D-14   3.2584D+04   8.9569D+13   1.7100D-01
   1.8344D+01   2.3989D+03   5.6234D-14   3.1477D+04   9.2525D+13   1.7080D-01
   2.0344D+01   2.1520D+03   5.1168D-14   3.0479D+04   9.5476D+13   1.7060D-01
   2.2344D+01   1.9430D+03   4.6666D-14   2.9512D+04   9.8425D+13   1.7050D-01
   2.4344D+01   1.7641D+03   4.2658D-14   2.8576D+04   1.0137D+14   1.7030D-01
   2.6344D+01   1.6099D+03   3.9174D-14   2.7733D+04   1.0431D+14   1.7010D-01
   2.8344D+01   1.4780D+03   3.6058D-14   2.6977D+04   1.0726D+14   1.7000D-01
   3.0344D+01   1.3647D+03   3.3266D-14   2.6182D+04   1.1019D+14   1.6990D-01
   3.2344D+01   1.2675D+03   3.0690D-14   2.5527D+04   1.1313D+14   1.6980D-01
   3.4344D+01   1.1848D+03   2.8445D-14   2.4831D+04   1.1607D+14   1.6970D-01
   3.6344D+01   1.1079D+03   2.6424D-14   2.4155D+04   1.1900D+14   1.6970D-01
   3.8344D+01   1.0367D+03   2.4547D-14   2.3550D+04   1.2194D+14   1.6970D-01
   4.0344D+01   9.7189D+02   2.2856D-14   2.2961D+04   1.2487D+14   1.6970D-01
   4.2344D+01   9.1147D+02   2.1330D-14   2.2336D+04   1.2780D+14   1.6970D-01
   4.4344D+01   8.5531D+02   1.9907D-14   2.1827D+04   1.3074D+14   1.6970D-01
   4.6344D+01   8.0296D+02   1.8621D-14   2.1281D+04   1.3367D+14   1.6970D-01
   4.8344D+01   7.5406D+02   1.7458D-14   2.0749D+04   1.3661D+14   1.6970D-01
   5.0344D+01   7.0786D+02   1.6368D-14   2.0277D+04   1.3954D+14   1.6980D-01
   5.2344D+01   6.6443D+02   1.5382D-14   1.9815D+04   1.4248D+14   1.6980D-01
   5.4344D+01   6.2363D+02   1.4454D-14   1.9320D+04   1.4542D+14   1.6980D-01
   5.6344D+01   5.8513D+02   1.3614D-14   1.8880D+04   1.4835D+14   1.6980D-01
   5.8344D+01   5.4862D+02   1.2853D-14   1.8493D+04   1.5129D+14   1.6980D-01
   6.0344D+01   5.1397D+02   1.2134D-14   1.8072D+04   1.5423D+14   1.6980D-01
   6.2344D+01   4.8116D+02   1.1455D-14   1.7660D+04   1.5716D+14   1.6980D-01
   6.4344D+01   4.4982D+02   1.0839D-14   1.7219D+04   1.6010D+14   1.6980D-01
   6.6344D+01   4.1981D+02   1.0257D-14   1.6827D+04   1.6304D+14   1.6980D-01
   6.8344D+01   3.9092D+02   9.7275D-15   1.6444D+04   1.6597D+14   1.6980D-01
   7.0344D+01   3.6358D+02   9.2257D-15   1.6106D+04   1.6891D+14   1.6980D-01
   7.2344D+01   3.3753D+02   8.7700D-15   1.5776D+04   1.7185D+14   1.6980D-01
   7.4344D+01   3.1233D+02   8.3368D-15   1.5488D+04   1.7478D+14   1.6970D-01
   7.6344D+01   2.8878D+02   7.9250D-15   1.5205D+04   1.7772D+14   1.6970D-01
   7.9344D+01   2.5470D+02   7.3621D-15   1.4723D+04   1.8212D+14   1.6970D-01
   8.2344D+01   2.2287D+02   6.8549D-15   1.4322D+04   1.8652D+14   1.6970D-01
   8.6344D+01   1.8378D+02   6.2517D-15   1.3740D+04   1.9239D+14   1.6960D-01
   8.9344D+01   1.5693D+02   5.8345D-15   1.3335D+04   1.9679D+14   1.6960D-01
   9.2344D+01   1.3252D+02   5.4576D-15   1.2912D+04   2.0119D+14   1.6960D-01
   9.6344D+01   1.0240D+02   5.0119D-15   1.2303D+04   2.0705D+14   1.6960D-01
   9.9344D+01   8.1547D+01   4.6989D-15   1.1803D+04   2.1145D+14   1.6960D-01
   1.0234D+02   6.2490D+01   4.4259D-15   1.1169D+04   2.1585D+14   1.6960D-01
   1.0634D+02   3.9961D+01   4.0832D-15   1.0023D+04   2.2171D+14   1.6960D-01
   1.0934D+02   2.4729D+01   3.8459D-15   8.7902D+03   2.2611D+14   1.6970D-01
   1.1234D+02   1.0861D+01   3.6308D-15   6.9343D+03   2.3052D+14   1.6980D-01
   1.1634D+02   2.6647D+00   3.3651D-15   3.9628D+03   2.3639D+14   1.6980D-01
   1.1934D+02   2.5624D+00   3.1842D-15   3.8815D+03   2.4079D+14   1.6980D-01
   1.2234D+02   2.4597D+00   3.0200D-15   3.8107D+03   2.4520D+14   1.6980D-01
   1.2634D+02   2.3341D+00   2.8119D-15   3.7325D+03   2.5107D+14   1.6970D-01
   1.2934D+02   2.2322D+00   2.6669D-15   3.6392D+03   2.5547D+14   1.6970D-01
   1.3234D+02   2.1272D+00   2.5351D-15   3.5318D+03   2.5988D+14   1.6970D-01
   1.3634D+02   2.0048D+00   2.3714D-15   3.3963D+03   2.6574D+14   1.6970D-01
   1.3934D+02   1.9355D+00   2.2542D-15   3.3343D+03   2.7015D+14   1.6970D-01
   1.4234D+02   1.8800D+00   2.1478D-15   3.2961D+03   2.7455D+14   1.6970D-01
