model,peak_epoch_d,anchor,has_H,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich,L_Halpha,L_Hbeta,L_Hgamma,EW_Halpha,Halpha_Hbeta,Halpha_Hgamma,L_Balmer_tot,L_He1,He1_He2,L_He_tot,he1_line,he2_line
A1,70.0,Halpha,True,0.0,16.4,0.0,0.78,603.0,0.0,0.0,1.1798444345696044e+41,3.9692587024608653e+40,1.8760173601634847e+40,-23.034539632122396,2.9724553701630057,6.2890912398954955,1.7643720408320394e+41,1.463745695360605e+39,1.1550530027033246,3.617056805645889e+39,He_I_5876,He_I_7065
A4,120.0,Halpha,True,0.2,16.4,0.012195121951219514,0.78,603.0,1.0,0.0,1.9283301254312748e+41,6.421836391803261e+40,3.0406342387787333e+40,-1572.7998294012166,3.0027705593567715,6.341868090671063,2.874577188489474e+41,7.459124122361366e+38,2.1745493168431933,1.470915848583667e+39,He_I_5876,He_I_7065
A5,110.0,Halpha,True,0.5,16.4,0.030487804878048783,0.78,603.0,1.0,0.0,3.0319736837365867e+41,1.0183751628323847e+41,4.814586852147039e+40,-4239.270231079387,2.977265937342604,6.297474273175682,4.531807531783675e+41,1.3718360214808996e+39,2.1951106063629466,2.6816607760623642e+39,He_I_5876,He_I_7065
A6,110.0,Halpha,True,1.0,16.4,0.06097560975609757,0.78,603.0,1.0,0.0,2.3550957206694126e+41,7.895112815558581e+40,3.7338466607537826e+40,-3302.138861672752,2.982979186856355,6.307424848009076,3.517991668300649e+41,2.403046194893327e+39,2.3711337190753174,4.321278117326238e+39,He_I_5876,He_I_7065
A7,80.0,Halpha,True,2.0,16.4,0.12195121951219513,0.78,603.0,1.0,0.0,2.3918364580172878e+41,7.955144305092e+40,3.767476193758156e+40,-531.597564634668,3.006653765521638,6.348643853357354,3.564098507902304e+41,2.996457900908104e+40,2.6697875875819723,4.978357605339035e+40,He_I_5876,He_I_7065
A8,30.0,Halpha,True,0.2,16.4,0.012195121951219514,1.0,603.0,1.0,0.0,4.638494647779474e+41,1.5681429592476134e+41,7.405220963225136e+40,-1489.824713076353,2.957953941906546,6.263816665045614,6.947159703349601e+41,1.2580942072150667e+40,2.7801035754001817,1.936088661352677e+40,He_I_5876,He_I_7065
A9,50.0,Halpha,True,0.5,16.4,0.030487804878048783,1.0,603.0,1.0,0.0,1.6100512749078696e+41,5.376353087183408e+40,2.544402602135385e+40,-513.5938637456234,2.9946903575697847,6.327816492392506,2.402126843839749e+41,1.6664224970823287e+40,2.527122694029948,3.0899678700460395e+40,He_I_5876,He_I_7065
A10,60.0,Halpha,True,1.0,16.4,0.06097560975609757,1.0,603.0,1.0,0.0,1.0769482539705963e+42,3.623650499995394e+41,1.7126218319306315e+41,-1778.9114203030808,2.971998138264066,6.288301561335096,1.610575487163199e+42,2.760711531083214e+40,2.9967649414455986,3.8904092794909197e+40,He_I_5876,He_I_7065
A11,80.0,Halpha,True,2.0,16.4,0.12195121951219513,1.0,603.0,1.0,0.0,2.9366169160236635e+42,9.826345970785487e+41,4.648706162855205e+41,-1604.393259482051,2.9885136598634534,6.317062884052049,4.384122129387733e+42,3.5869504838185437e+40,2.9312942973851475,5.076621988173398e+40,He_I_5876,He_I_7065
A12,30.0,Halpha,True,0.2,16.4,0.012195121951219514,1.2,603.0,1.0,0.0,2.599513772547424e+41,8.820426782114607e+40,4.162568336895307e+40,-997.9218332730045,2.947151919925826,6.244975606781983,3.8978132844484154e+41,1.6170893973253002e+40,2.800323558137327,2.454453990317168e+40,He_I_5876,He_I_7065
