model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,30.0,11,O_I_6300,metal,1.8310050667559705e+37,-0.1931622895992996,0.0,0.00015074301311341804
A1,30.0,12,C_II_4267,metal,5.517375505981234e+28,-4.846616105683307e-10,0.0,4.5423457496124306e-13
A1,30.0,13,C_III_1909,metal,2.026839112523239e+28,-2.539650357740571e-09,0.0,1.6686564142566588e-13
A1,30.0,14,C_II_6580,metal,1.0222597170656503e+28,-1.1418773018189031e-10,0.0,8.416061360658376e-14
A1,30.0,15,O_III_5007,metal,3.0746958691388975e+20,-0.0,0.0,2.5313360849544236e-21
A1,30.0,16,Ne_III_3869,metal,94381444045.9637,-0.0,0.0,7.770236967552972e-31
A1,30.0,17,He_II_1640,He,525205170.60203046,-0.0,1e-30,4.323909931039446e-33
A1,30.0,18,He_II_4686,He,2391937.3282570923,-0.0,2.9463126446686743e-30,1.9692345290925847e-35
A1,30.0,19,He_II_3203,He,821002.2751443689,-0.0,1e-30,6.759148785289953e-36
A1,30.0,20,He_II_10124,He,161849.3297338596,-0.0,7.419044511949768e-30,1.3324734091367073e-36
A1,30.0,21,C_III_4647,metal,33.442352196827436,-0.0,0.0,2.753242482655443e-40
A1,30.0,22,C_III_5696,metal,10.914525235367053,-0.0,0.0,8.985712003499037e-41
A1,30.0,23,C_IV_1549,metal,0.33107030632972384,-0.0,0.0,2.725636123822712e-42
A1,30.0,24,C_IV_5801,metal,5.122084966208375e-37,-0.0,0.0,4.2169108936283225e-78
A1,40.0,1,Halpha,H,8.054593989430369e+40,-5.319042262601902,11.03351618332764,0.5963419720506856
A1,40.0,2,Hbeta,H,2.710720564763057e+40,4.0709275681822135,1.5298325721812966,0.2006949635686692
A1,40.0,3,Hgamma,H,1.281104750780887e+40,10.099019576054182,0.5113545255858479,0.0948497881440956
A1,40.0,4,He_I_10830,He,4.457141471306705e+39,-247.73044954887666,410.37239085931674,0.03299955948364209
A1,40.0,5,Palpha,H,3.273218894997132e+39,511.30823432785996,0.47971147932440933,0.02423409315674521
A1,40.0,6,Pbeta,H,2.4507658648687182e+39,321.64163856044917,0.05864241009146772,0.018144856845772238
