,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich
L_Halpha,0.3602430110583775,-0.2512820512820513,0.39471152608738763,0.11184775037025028,-0.2512820512820513,0.3079201435678004,
L_Hbeta,0.3602430110583775,-0.2512820512820513,0.39471152608738763,0.11184775037025028,-0.2512820512820513,0.3079201435678004,
L_Hgamma,0.3602430110583775,-0.2512820512820513,0.39471152608738763,0.11184775037025028,-0.2512820512820513,0.3079201435678004,
EW_Halpha,-0.30697750747776137,0.29230769230769227,-0.361016639714074,0.4189907890045426,0.29230769230769227,-0.4618802153517006,
Halpha_Hbeta,0.39808955307618377,0.1282051282051282,0.37098757547760564,-0.2990787807706065,0.1282051282051282,0.13471506281091267,
Halpha_Hgamma,0.39808955307618377,0.1282051282051282,0.37098757547760564,-0.2990787807706065,0.1282051282051282,0.13471506281091267,
L_Balmer_tot,0.3602430110583775,-0.2512820512820513,0.39471152608738763,0.11184775037025028,-0.2512820512820513,0.3079201435678004,
L_He1,0.325534214792954,-0.5608489472004321,0.7337147520844912,0.6875048284011093,-0.5608489472004321,0.25649458802128855,0.7453723378468579
He1_He2,0.24399564480195693,0.4603983894928921,-0.2319878178789968,0.08398409406237359,0.4603983894928921,0.11969747440993465,-0.6170300809990547
L_He_tot,0.3633581902260401,-0.5915421731666249,0.7708571586215486,0.6712597299145918,-0.5915421731666249,0.2308451292191597,0.7700535410868201
