model,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A1,-1.977509760196664,1.8183481240096293,0.4375300236858403,0.11711522048593824,0.025370232388743807,-0.012789530489487983,-0.000121240597493755,3.2371545913204834e-07,-2.4079061764248625e-08,-6.054175873331372e-10
A4,-2.697073405486256,1.3539346683861642,-0.6065758764572872,-0.13289204739433327,0.2927500781943115,-0.02172027638587782,0.0012435728201041648,-1.0255869411819355e-08,1.8123735158436754e-08,7.552331131879164e-10
A5,-2.4201754701781626,1.025359677361962,-0.3820310237339024,-0.1655756368214895,-0.013885264375835992,-0.004311475005285693,0.00010267657074442238,-1.2548446480416837e-07,-3.637000547363031e-09,-2.9470542151923583e-11
A6,-2.3034430574405316,0.6153201454624599,-0.2881004760583121,-0.1296329574785562,0.0879805533493163,-0.0033264277286066506,0.0003993539960343936,-6.099238233173949e-08,-8.946334426353058e-09,1.1707261744167272e-09
A7,-1.7314301728655503,-0.9273416802553252,0.6273184376546289,0.14863828621938538,0.4409700792941083,-0.06893098060039816,0.0008575251841138364,-4.2928682278027e-07,1.5881483226230493e-08,-4.548779207786848e-09
A8,-1.7825292982142036,-0.5205492801657916,0.04710184498882915,0.010888874255897837,-0.1722960459777847,0.029771243467106707,-0.0004160323274247355,-4.068043581489973e-08,-2.845140706201276e-09,2.965552976552348e-10
A9,-1.7530245857393385,-0.51568897817189,0.46089724365056894,0.0889626684862842,0.31375366884876454,-0.07797210390716412,0.0001209053052140836,2.604848519128108e-07,4.673162972530147e-10,2.9868373677995256e-10
A10,-1.766311598747778,-1.111189715060879,0.26990212544911796,0.09968537802366009,-0.046224615800728903,0.021467039921119587,6.821847646766073e-05,-1.8195178377802545e-08,-3.2597197055134043e-09,7.233036334593301e-10
A11,-1.8714467422001113,-1.2306033529046208,0.51309837474767,0.19240750831883258,0.07913529218515536,0.006526161490489164,0.0007166620393264657,3.572402630452997e-07,1.6277755703108934e-08,1.1399424191439277e-09
A12,-1.5840907122571022,-0.6408791123666997,0.09174467217428313,0.006351692975964623,-0.2437917708731604,0.0379447945595971,-0.0007380166349648545,-1.952885752047007e-07,3.5328165289130437e-10,-6.629370597028742e-10
A13,-1.6720646323262314,-0.630270482575082,0.4122402808481324,0.06997498038627853,0.027373501656829256,-0.0012995720611193448,-0.00011386067956957365,-2.270856585553389e-07,-1.7926986174631116e-08,-4.973493181910655e-10
A14,-1.631849251126194,-1.1537337071582978,0.408843009518161,0.09280444468669441,-0.12901253286674425,0.017245874787360484,-0.0003258455828628106,7.163459347531329e-08,6.440431320495808e-11,2.675178291729069e-10
A15,-1.2431675798909774,-1.3186822274179408,0.9463010549906967,0.13854278047908494,-0.1653349551194469,0.02043087480174981,-0.0005456366066292557,2.6660634461585696e-07,-6.5411558745741435e-09,1.4726537013790784e-10
B1,-2.120676288297329,2.2155720101035334,0.1157114135964659,0.39407648878524415,-0.08546779607887087,0.021221801193802202,-0.0001729319814404059,3.418558587085663e-07,-1.1150342732147088e-08,-1.585891583483345e-09
B4,-2.664547986825466,1.4863748828204204,-0.55163766269482,-0.24200994757549363,-0.21148910785786637,0.00023395006237907965,-0.00025010886686171845,-1.022875798791051e-08,1.7492083494048936e-08,-1.2563750375866218e-09
B5,-2.634847650330375,1.361851340877501,-0.5553300614382735,-0.20980868765740812,-0.15235327195234608,0.006696010293428047,-2.38877469146997e-05,1.374727516004067e-09,1.150133380686237e-08,-4.00822936044836e-10
B6,-2.5371106917784445,1.0509254995388462,-0.4767880905814289,-0.1854303769425695,-0.11892102416932566,0.013743207589486533,0.00011771133950770869,2.433383913155959e-08,6.755716087161365e-09,3.329522222296306e-10
B7,-2.5343972925414593,-0.6750647629538367,-1.4448599721120943,-0.1524148874539149,-0.005935780452667763,-0.06330987872721136,-0.0009372875275806608,-3.6766145057557894e-09,2.8764367688273757e-08,2.2512891898508204e-09
B8,-2.453135914530907,1.2868216647518846,-0.4519953413591132,-0.09565590803377907,-0.07544168608915536,-0.0035177655958115407,-0.00013574501277583605,-5.439421492668865e-08,1.1931495616708069e-09,-5.474944939324948e-10
B9,-1.8603027161245989,-0.7356717108946865,-0.007446192684410961,0.02515406066004301,-0.044785142376012554,0.03001426758072319,5.904612988496331e-05,-1.4563070536469584e-07,-1.1435089172578592e-08,1.1849444931543133e-09
B10,-2.307614429072973,0.6917459392473602,-0.34392622665123357,-0.1441338352661292,0.06105760746004102,-0.0005510232659471252,0.00029158083390473926,-7.752804342162252e-08,-1.124842937033015e-08,1.228726006883724e-09
B11,-1.7789420999273615,-0.9820376369366547,0.4014556983132265,0.06770002325442774,0.2829299842822572,-0.012792323113977258,0.0009137909480119087,4.7092676633314247e-07,-4.557879601643893e-09,3.8296740527581325e-09
B12,-1.5465197308014773,-0.6776972587034811,0.2591331164380497,0.018944066701568594,-0.296812390160486,0.03115773114484434,-0.0008740844681802527,6.90190070948011e-08,1.1549570153907704e-08,-9.082215421940143e-10
B13,-1.6091579038039392,-0.6882507766458811,0.5224336353177363,0.07673981424837903,0.014934923010105933,-0.003566251224971871,-0.00018648507297824306,-1.874710166477314e-07,-1.7921591794234027e-08,-6.160942706018242e-10
B14,-1.6215016798487887,-1.1827235785231875,0.419412198980582,0.09729802201333067,-0.10394907593383099,0.016662313599006544,-0.0002686265362584342,3.4047494897785744e-09,-2.933857096800151e-09,1.9583028535456928e-10
B15,-1.6783919626066834,-1.2618743720533623,0.49481137799332786,0.12640532927863268,0.07061898581878245,0.0029795006296620993,0.0002281484850297119,-6.035066563223619e-07,-9.558127105531126e-09,-2.4343608923807837e-09
C1,3.653892998833905,-1.701699051099624,-3.9335783612630086,0.058105405096597326,-0.036782404859700524,-0.04678659621213725,0.00018940722104013544,2.4729267478605557e-07,-3.6542486374937056e-08,-1.7780325669854585e-09
C4,3.6342018301998125,0.2676138844092,0.1432856202529393,-0.5810742010816372,0.0982342304178907,0.05826888185583098,0.00021141671943564555,1.66810958988875e-07,1.2597250078449092e-08,-1.9554886016435543e-09
C5,3.6549132957778867,1.754097491729816,-0.09674809309199266,0.46346671651435134,0.4619202838204538,0.04055879679881438,-0.0009977414597367193,2.5074917740118355e-08,-1.689650603232248e-08,-3.791543847544813e-10
C6,4.008024189170408,0.23584453767568717,-0.41389082145314776,0.45798421431340663,0.06603853385823633,0.009752551130985816,-0.00036433272011826697,-4.609607072394568e-07,2.9989905815989235e-08,1.5625409965818099e-09
C7,4.292325818934148,0.45218589717777813,0.032505476382851485,0.46892637054183334,-0.3039636243632196,-0.01864880937788578,0.0007456025083351018,-2.070448554371277e-07,-3.9554856891632415e-09,1.6031095876028553e-09
C8,3.640035727869555,-0.5640055144838286,-0.563530465993536,-0.6647759035087177,-0.01253626792040532,0.06714300703557029,0.0006665495569488986,-3.9063915926877105e-07,1.5183766545666903e-08,8.488918712787166e-10
C9,3.606002676396231,0.5753591581833197,0.5876127937030624,-0.4853639069415105,0.4057963321352805,0.011499218930042918,-0.0011282291473918135,-5.599311540240788e-07,-2.4765538668075237e-08,2.535035608555001e-09
C10,4.191732001335803,0.16810808969910657,-0.2604049300597952,0.46859817466083353,-0.05871826729581425,-0.051997582530873665,-0.0005562260084219365,5.331520480789866e-08,3.2910943933119885e-08,-9.130380235593717e-10
C11,4.295953829108116,0.44835369194714525,0.026687481075592198,0.4689790291895201,-0.3064747074974417,-0.020104158694084436,0.0007458097191708915,-1.990509407546711e-07,-4.7897385967013936e-09,1.5917489450841563e-09
C12,4.7548092621122535,0.485545222253963,1.773469005897004,-0.5078346425316761,-0.28378975726433187,-0.17064511942665125,-0.0004811636824576388,1.3897981253845222e-07,-6.9037703239367505e-09,-3.635988538831313e-11
C13,3.4872143348955276,-1.0132536465357938,-0.004123354743922338,-0.5143621601275655,0.2891032251053845,0.0278373230268806,-0.0009493626242045873,6.571551822344953e-07,1.1984040519561388e-08,-8.923482955433821e-10
C14,4.255985277641837,0.061930706582602635,0.8396411816753113,-0.4947949375741422,-0.2859914414632767,0.035901969026431085,0.0015507179279060591,1.664110345575777e-07,-1.1951165038490934e-08,-1.1713611416786815e-09
C15,4.306171370883554,0.17592421268823802,0.5498308830423915,0.5480104868127598,0.13598941892275487,0.07521335542234081,0.0003581495032664935,3.6169595237921485e-07,1.0755319928894021e-08,-7.449681390385143e-10
