==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       5   2.404e+40      4.56        +0     4.55      1.547       -200     1.1min
day000.2     0.2       5   2.406e+40      4.53       -28     4.40      1.291       -200     1.1min
day000.3     0.3       6   2.407e+40      4.45       +29     4.45      1.379       -228     1.2min
day000.4     0.4       4   2.409e+40      4.65       +29     4.65      1.436       -228     1.0min
day000.5     0.5       4   2.411e+40      4.52       +29     4.52      1.394       -200     1.0min
day000.6     0.6       5   2.412e+40      4.53        +0     4.51      1.398       -228     1.1min
day000.7     0.7       4   2.414e+40      4.56       +29     4.56      1.413       -228     1.0min
day000.8     0.8       4   2.416e+40      4.54       +29     4.54      1.355       -228     1.0min
day000.9     0.9       4   2.418e+40      4.63       +29     4.63      1.485       -200     1.0min
  day001     1.0       4   2.419e+40      4.55       +29     4.55      1.426       -285     0.9min
  day002     2.0       2   2.450e+40      4.82       +29     4.82      1.414       -200     0.9min
  day003     3.0       2   2.485e+40      5.17       -28     5.15      1.470       -371     1.0min
  day004     4.0       2   2.524e+40      4.99       -86     4.81      1.457       -400     1.1min
  day005     5.0       2   2.566e+40      5.37       -28     5.06      1.549       -400     1.1min
  day010    10.0       2   2.756e+40      6.38       -86     6.35      1.818       -371     1.1min
  day020    20.0       6   2.428e+40      7.35      -285     6.46      1.584       -200     1.8min
  day030    30.0       6   2.577e+40     19.20      -285    15.92      3.449       -200     1.8min
  day040    40.0       4   1.514e+41     15.56        +0    15.49      2.902       -400     1.3min
  day050    50.0       6   8.829e+40     28.37       +29    28.37      3.348       -200     2.4min
  day060    60.0       6   6.210e+40     23.27       +29    23.27      2.121       -200     2.7min
  day070    70.0       6   5.192e+40     19.12       +29    19.12      1.738       -200     2.8min
  day080    80.0       6   4.377e+40     18.67       +29    18.67      1.762       -200     2.7min
  day090    90.0       6   3.694e+40     17.00       +29    17.00      1.771       -171     2.8min
  day100   100.0       6   3.036e+40     16.32       +29    16.32      2.046       -171     2.8min
  day110   110.0       6   3.032e+41    193.16       +57   193.16     31.728       -114     2.8min
  day120   120.0       6   3.270e+40    177.32       +29   177.32     23.630       -114     2.7min
  day130   130.0       6   2.027e+40   2461.27       +29  2461.27    310.746        -86     3.2min
  day140   140.0       6   3.744e+40      1.04      +514     1.03      0.157       -400     4.3min
  day150   150.0       6   9.398e+40      1.00      +714     0.99      0.108       -400     8.1min
  day160   160.0       6   2.676e+38      2.26       +29     2.26      0.955       -400     2.4min

Total batch runtime: 94.3 min
