name,epoch_d,format,n_zones,n_zones_full,R_phot,T_phot,L_phot,T_color_thermalization,photoionized,photoeq_T_source,photoeq_converged,photoeq_iterations,photoeq_final_residual,X_HII_mean,tau_es_stella,tau_es_photoeq,tau_es_ratio,Gamma_BB_at_Rphot,Gamma_brems_at_Rphot,shock_R_s,shock_v_s_kms,shock_rho_csm,shock_T_shock,shock_L_shock,shock_eta_rad,shock_L_X_brems,shock_sanity_flag,shock_sanity_ratio_LXoverLphot,L_line,L_cont_band,red_peak_F,red_peak_dv,trough_F,trough_dv,global_peak_F,global_peak_dv,sigma_res2_vs_ref,he1_n_HeI_med,he1_n_HeII_med,he1_2_3S_frac,he1_NLTE_LTE_ratio,he1_tau_10830_med,he1_tau_5876_med,he1_tau_7065_med,he1_tau_6678_med,he1_iters,he2_X_HeIII_med,he2_X_HeII_med,he2_n_HeII_med,he2_n_HeIII_med,he2_tau_4686_med,he2_tau_1640_med,he2_tau_3203_med,he2_tau_10124_med,he2_iters,n_iter_used,runtime_min
day000.1,0.1,stella,38,400,2753397996956372.0,9473.504955004737,8.247567142515e+42,13727.39373033257,True,9473.504955004737,True,1,0.0006414156010636773,0.9999673668880192,0.6630050847174561,0.6848955607580813,1.0330170560455867,1.9661397000986298,0.0,725482847898850.1,4697.322963659275,1.993264579769189e-14,300892054.9105071,6.832039668076017e+42,0.9663020308745035,6.598352381695979e+42,False,0.6510325517228892,2.4040535300405115e+40,4.5660344876112754e+41,4.546726420565817,28.665236385025892,1.5473654894776396,-199.74302166294927,4.563740886405449,0.114204128933304,,0.0,36133006.54707537,5.1912536395428774e+33,1.7340731505862404e+45,12217776.016276676,5389546.636562591,722673.8444852413,0.0,13,5.698875609343992e-21,1.0,36133003.34474814,2.0717764615227445e-13,1.463093159913766e-23,1.4978061574078594e-14,1.0880076740858949e-24,1e-30,37,5,1.1445321361223857
day000.2,0.2,stella,38,400,2753590460293279.0,9455.005354882427,8.176567142515001e+42,13611.79776958031,True,9455.005354882427,True,1,0.0006815351646074497,0.9999655182466005,0.6624900258684847,0.6843484961585978,1.0329944141596064,1.8977313425544673,0.0,729542287865521.8,4692.587963659275,1.997634504213896e-14,300285749.65312886,6.90294014578723e+42,0.9666192659838357,6.669009380731057e+42,False,0.6592072539516797,2.405726504828723e+40,4.539399172740228e+41,4.403816968930905,28.665236385025892,1.290997526336698,-199.74302166294927,4.532738554397423,-28.436828126992864,,0.0,36130959.016429536,5.194183564472464e+33,1.796801653761565e+45,12275688.92159794,5384089.1281127315,721960.5721820231,0.0,13,5.187251325449546e-21,1.0,36130955.81428377,1.8859484491911064e-13,1.3410502280434202e-23,1.3883606456456081e-14,9.972577823707162e-25,1e-30,37,5,1.0770150184631349
day000.3,0.3,stella,38,400,2753782923630185.0,9436.505754760117,8.105567142514999e+42,13496.20180882805,True,9436.505754760117,True,1,0.0007214961797886721,0.99996366476402,0.6619749720934841,0.6838014351773829,1.032971734588202,1.8313520855574446,0.0,733601727832193.4,4687.852963659275,2.002004428658603e-14,299680055.87234837,6.974089838070508e+42,0.966932538933264,6.739924398939414e+42,False,0.6674374593925776,2.4074030734994044e+40,4.5125704430275996e+41,4.452490946092124,28.665236385025892,1.37897965855844,-228.2940539190419,4.452490946092124,28.665236385025892,,0.0,36128911.48578371,5.197119239370534e+33,1.8619657827556723e+45,12289682.516727451,5377715.510758422,721125.6084796006,0.0,13,4.720833481646172e-21,1.0,36128908.28381941,1.7165254771896031e-13,1.2290411936999236e-23,1.2869425372539995e-14,9.139687005954437e-25,1e-30,37,6,1.1980629483858745
day000.4,0.4,stella,38,400,2753975386967092.0,9418.006154637806,8.034567142515e+42,13380.6058480758,True,9418.006154637806,True,1,0.0007612906254663709,0.9999618062289632,0.6614599233924549,0.6832543777386921,1.0329490171293512,1.7669523577720023,0.0,737661167798864.9,4683.117963659275,2.006374353103309e-14,299074973.56816566,7.045486254039177e+42,0.9672419149775745,6.811094875037133e+42,False,0.6757232195494749,2.409083249131377e+40,4.485547443616652e+41,4.654935959619935,28.665236385025892,1.4359394529554723,-228.2940539190419,4.654935959619935,28.665236385025892,,0.0,36126863.95513788,5.200060682767708e+33,1.9296663897809668e+45,12303703.590754014,5371328.75257346,720288.867867521,0.0,13,4.295692692716771e-21,1.0,36126860.75335504,1.562082780473231e-13,1.126253549057135e-23,1.1929627061786319e-14,8.375362913405418e-25,1e-30,37,4,0.9548855980237325
day000.5,0.5,stella,38,400,2754167850303998.0,9399.506554515494,7.963567142515e+42,13265.00988732355,True,9399.506554515494,True,1,0.0008009100519552614,0.9999599424188395,0.6609448797653958,0.6827073237627389,1.03292626157429,1.7044835186439928,0.0,741720607765536.5,4678.382963659275,2.010744277548015e-14,298470502.7405808,7.117126894683956e+42,0.9675474580094121,6.882518239925351e+42,False,0.6840645855283336,2.410767044841404e+40,4.4583293210247295e+41,4.517806389081313,28.665236385025892,1.3937008798001211,-199.74302166294927,4.517806389081313,28.665236385025892,,0.0,36124816.424492046,5.203007913278406e+33,2.000008757073274e+45,12317752.218493022,5364928.843622597,719450.3486385238,0.0,13,3.908235331957548e-21,1.0,36124813.222890675,1.4213172483051833e-13,1.0319395281838642e-23,1.105875139152334e-14,7.674045558987151e-25,1e-30,37,4,0.9526697476704915
day000.6,0.6,stella,38,400,2754360313640904.0,9381.006954393184,7.892567142515001e+42,13149.41392657129,True,9381.006954393184,True,1,0.0008403455554647499,0.9999580730991068,0.6604298412123079,0.682160273165454,1.0329034677071178,1.643897847170306,0.0,745780047732208.0,4673.647963659275,2.015114201992722e-14,297866643.3895937,7.189009252996719e+42,0.9678492305939803,6.954191916814121e+42,False,0.6921648096213298,2.41245447378152e+40,4.43091522326347e+41,4.5092747561317745,28.665236385025892,1.3979567197235596,-228.2940539190419,4.529764966963265,0.114204128933304,,0.0,36122768.89384622,5.205960949601986e+33,2.0731028024233478e+45,12331828.475030467,5358515.774060878,718610.0490964815,0.0,13,3.555175353204681e-21,1.0,36122765.69242631,1.293037220775481e-13,9.45411036743383e-24,1.0251738009838585e-14,7.030618641746744e-25,1e-30,37,5,1.0745916326840719
day000.7,0.7,stella,38,400,2754552776977810.0,9362.507354270874,7.821567142515001e+42,13033.81796581904,True,9362.507354270874,True,1,0.0008795877514320427,0.9999561980225719,0.6599148077331903,0.6816132258582333,1.0328806353043918,1.5851485306904014,0.0,749839487698879.6,4668.912963659275,2.019484126437429e-14,297263395.51520437,7.26113081409394e+42,0.968147294002695,7.026113321345914e+42,False,0.7000897876194803,2.4141455491364557e+40,4.403304299961545e+41,4.560065701051518,28.665236385025892,1.4129501529235344,-228.2940539190419,4.560065701051518,28.665236385025892,,0.0,36120721.3632004,5.208919810522686e+33,2.1490632947424583e+45,12345932.435717165,5352089.53413398,717767.9675564519,0.0,13,3.2335084327136383e-21,1.0,36120718.16196195,1.176153124991485e-13,8.660349713981296e-24,9.529394685864046e-15,6.440374743695457e-25,1e-30,37,4,0.9558763027191162
day000.8,0.8,stella,38,400,2754745240314717.0,9344.007754148563,7.750567142515e+42,12918.22200506678,True,9344.007754148563,True,1,0.0009186267451447572,0.9999543169286159,0.659399779328044,0.6810661817476616,1.0328577641346752,1.5281896537013244,0.0,753898927665551.2,4664.1779636592755,2.023854050882135e-14,296660759.11741287,7.333489055339789e+42,0.9684417082458262,7.098279861718724e+42,False,0.7080566094707005,2.415840284120941e+40,4.375495702489964e+41,4.537490381755252,28.665236385025892,1.3547360308678442,-228.2940539190419,4.537490381755252,28.665236385025892,,0.0,36118673.832554564,5.211884514910741e+33,2.2280100801770906e+45,12360064.176179148,5345650.114179631,716924.1023448727,0.0,13,2.9404882438031127e-21,1.0,36118670.631497584,1.0696688832395342e-13,7.932288995729207e-24,8.876189692011036e-15,5.898983206261544e-25,1e-30,37,4,0.9543915510177612
day000.9,0.9,stella,38,400,2754937703651623.0,9325.508154026253,7.679567142514999e+42,12659.91877713954,True,9325.508154026253,True,1,0.000957452101184586,0.999952429542391,0.6588847559968686,0.6805191407352242,1.0328348539580698,1.4729761866981506,0.0,757958367632222.8,4659.442963659275,2.028223975326842e-14,296058734.1962191,7.406081446468893e+42,0.9687325321041673,7.170688938808812e+42,False,0.7160651535178644,2.417538691977008e+40,4.34748858409001e+41,4.633515376010328,28.665236385025892,1.4850859019841425,-199.74302166294927,4.633515376010328,28.665236385025892,,0.0,36116626.30190873,5.214855081722152e+33,2.3100683193128016e+45,12374223.772310482,5339197.504628157,716078.4517996417,0.0,13,2.673604691934054e-21,1.0,36116623.10103322,9.726740307575778e-14,7.264570723972127e-24,8.267682850631377e-15,5.402460484233134e-25,1e-30,37,4,0.9508567849795023
day001,1.0,stella,38,400,2755130166988530.0,9307.008553903943,7.608567142514999e+42,12599.74612146309,True,9307.008553903943,True,1,0.0009960528101523591,0.9999505355739448,0.658369737739664,0.6799721027169916,1.0328119045257054,1.4194639750414728,0.0,762017807598894.4,4654.707963659275,2.032593899771548e-14,295457320.75162315,7.47890544970872e+42,0.969019823159761,7.243337946293036e+42,False,0.7241152968489919,2.41924078597112e+40,4.3192821000038186e+41,4.5455874279159945,28.665236385025892,1.4264686469333916,-285.39611843096077,4.5455874279159945,28.665236385025892,,0.0,36114578.7712629,5.217831529999747e+33,2.3953687360394134e+45,12398947.511201315,5332731.696003184,715231.0142702158,0.0,13,2.430563951506295e-21,1.0,36114575.57056885,8.843364856842455e-14,6.652267456449966e-24,7.700833581307541e-15,4.947142789931888e-25,1e-30,37,4,0.9495383461316427
day002,2.0,stella,38,400,2757096118864376.0,9111.437802323659,6.9578734302775e+42,12102.45815463212,True,9111.437802323659,True,14,0.0009061194032947025,0.9998011817211895,0.6545441881559915,0.6758565670675839,1.0325606418897928,0.9610713211673656,0.0,802603542420698.6,4608.817647124063,1.748204232576184e-14,289660268.1910011,6.926961208887474e+42,0.966557733539392,6.6916613985357e+42,False,0.7007679007389006,2.4498003481472883e+40,4.067074463423446e+41,4.8202205457686675,28.665236385025892,1.4136489085550863,-199.74302166294927,4.8202205457686675,28.665236385025892,,0.0,36077457.86646719,5.257568555639774e+33,3.9568672636113994e+45,12782856.79235439,5231404.2079970995,701934.6518675083,0.0,13,6.080521157216484e-22,1.0,36077454.66906302,2.2100022389891256e-14,1.7828525142903065e-24,2.4519392793627833e-15,1.326010000664451e-25,1e-30,37,2,0.9215374151865642
day003,3.0,stella,38,400,2759073004500875.0,8913.068745616716,6.3228734302775e+42,12106.59790873597,True,8913.068745616716,True,14,0.000873507440830293,0.999652850971572,0.6510693704286057,0.6721126083705256,1.0323210381223538,0.6343345333737254,0.0,843215231742252.8,4554.748366973938,1.821252938428726e-14,282903718.4447842,7.688120580999028e+42,0.9700500364810652,7.453702824088594e+42,False,0.8278175148573347,2.485202691427352e+40,3.805955244139447e+41,5.145597528080233,28.665236385025892,1.469870382226473,-371.0492151990056,5.174396062321867,-28.436828126992864,,0.0,36035932.180320546,5.301062939529924e+33,6.905583607432487e+45,12994061.73558401,5117278.419881193,686941.6640493118,0.0,13,1.2898279819293878e-22,1.0,36035928.986596644,4.680312391141951e-15,4.057888020858093e-25,6.952751827267555e-16,3.018613976176798e-26,1e-30,37,2,1.0086552818616232
day004,4.0,stella,38,400,2761020686073860.0,8721.41424535593,5.849977283495e+42,11745.55626724193,True,8721.41424535593,True,14,0.0008707048427896253,0.9991121096292662,0.6489588947345606,0.6697999952735777,1.0321146696780257,0.4243785156399423,0.0,882373098944432.8,4550.72001628945,1.560124685311563e-14,282403523.3372278,7.192569123011369e+42,0.966760857212542,6.949609855921797e+42,False,0.82194419437276,2.5244575543908864e+40,3.621264012691317e+41,4.805503994048501,28.665236385025892,1.4571818018332758,-399.6002474549983,4.987908517305343,-85.5388926390449,,0.0,35994482.0159298,5.347865366697673e+33,1.2597934334394518e+46,13268851.033749573,5203394.557934415,697913.116962194,0.0,13,2.460942108235263e-23,1.0,35994478.82587946,8.919495219768682e-16,8.367369123772534e-26,1.9299277522602314e-16,6.226027701714184e-27,1e-30,37,2,1.0736134688059489
day005,5.0,stella,38,400,2762960639626996.0,8531.536560347695,5.419977283495e+42,11689.52385735628,True,8531.536560347695,True,14,0.0008703529113875447,0.9982664466772739,0.6472092219992074,0.6678657275735098,1.0319162720062844,0.2806920566643283,0.0,921419344079615.9,4499.1547361836865,1.658267651799865e-14,276039821.4271266,8.056417009056649e+42,0.9706114993476916,7.815182019824213e+42,False,0.9886269182472328,2.5655504617792865e+40,3.448010432141878e+41,5.0579733184956925,28.665236385025892,1.54884466273925,-399.6002474549983,5.366739083012657,-28.436828126992864,,0.0,35953051.836210996,5.396722771067258e+33,2.370958704257515e+46,13549090.234073587,5185662.683390447,695767.2700409275,0.0,13,4.329369555183655e-24,1.0,35953048.64983246,1.5675406747338368e-16,1.5399678795099813e-26,4.980004523927734e-17,1.1462668900171281e-27,1e-30,37,2,1.0664095520973205
day010,10.0,stella,39,400,2709096668174596.0,7847.733888526386,4.1553411769925e+42,10746.09515344481,True,7847.733888526386,True,14,0.0008686852793853904,0.9648176041898145,0.662715549052991,0.6820845611312475,1.0292267355216496,0.057609099325866976,0.0,1114499292395854.0,4383.782146072701,1.199146443746825e-14,262064265.35319802,7.884217145595872e+42,0.9681811399221424,7.628755265914382e+42,False,1.277751901315939,2.7555995652294723e+40,2.9033890962727412e+41,6.34965301932704,28.665236385025892,1.8184955444915267,-371.0492151990056,6.379296787758268,-85.5388926390449,,0.0,36355876.32262509,5.746514481121324e+33,7.160437396716477e+47,14839424.757453796,4613299.45640162,620402.745371625,0.0,13,3.3822699280059726e-28,1.0,36355873.10054578,1.2296537629437725e-20,2.1666139071696164e-27,4.0241255068240636e-20,2.2997229585808123e-28,2.1491453808608982e-27,37,2,1.0685586810112
day020,20.0,stella,48,400,2157019434184939.0,7059.017653220786,2.9627862072025e+42,8590.263571976193,True,7059.017653220786,True,14,0.0008502522244375735,0.4475329035801989,0.6423088237738411,0.6683185426497127,1.040494101767205,0.009455884679648419,0.0,1488271672670392.0,4126.063797091675,6.479368404798309e-15,232156985.36021566,6.334098163117094e+42,0.9612153584770715,6.084295371499853e+42,False,1.577863153804297,2.427951739529827e+40,2.2746616162030427e+41,6.457613729262219,28.665236385025892,1.5836643209007484,-199.74302166294927,7.353451365341398,-285.39611843096077,,22788792.147492297,15200906.930299874,0.00012016317178686159,421530906458855.56,7264996.5901873065,1139682.9677583755,154819.1018898466,2222.332511162819,13,3.410372270068411e-40,1.0,41777112.48601777,1.4314661487433058e-32,1.555438514010445e-27,7.1217901127897625e-28,1.6754380784999956e-28,3.916715220912343e-27,33,6,1.7902138471603393
day030,30.0,stella,53,400,1900886571664826.0,9638.595423907314,1.728127384195e+42,7514.593489211052,True,9638.595423907314,True,14,0.0008704455784052537,0.24940661318245777,0.6104298090193421,0.6656824003598742,1.0905142418082363,1.090686717698843,0.0,1847714258253271.0,3981.2058741560263,4.847335690142959e-15,216141992.43832985,6.561399692762055e+42,0.9611264685940415,6.301732397123181e+42,False,2.6100439210762647,2.5771999485086567e+40,9.3308553552572e+40,15.924446592175256,28.665236385025892,3.449436697746331,-199.74302166294927,19.20001292077152,-285.39611843096077,,32448559.248968415,1523064.3818693087,9.068762294627681e-06,3.606730408744228e+16,351814.83687854104,17458.18558032801,2373.946515533696,0.008636068717395232,13,1.0633619674399183e-47,1.0,45204271.928885326,4.806850353498857e-40,1.2995112889776415e-27,5.956999538521932e-28,1.3997664821742492e-28,2.8788055260849724e-27,36,6,1.780694301923116
day040,40.0,stella,53,400,2196792914756202.0,6035.095048686066,1.0839537525175e+42,7553.026828690223,True,6035.095048686066,True,24,0.0009941023699571172,0.35328926984805176,0.6547103288223313,0.8998956794021938,1.3744943981881161,0.0001209675247574316,12.101429540801222,2196792914756202.0,3863.578012084,2.961160877309305e-15,203558503.67466336,5.178323366655724e+42,0.9501677357273796,4.916462952645979e+42,False,2.2185741647906667,1.51397384976682e+41,9.023355561473696e+40,15.485885361429393,28.665236385025892,2.9019221527888712,-399.6002474549983,15.564097799372945,0.114204128933304,,27165014.674308173,7786062.454579363,5.530699135580816e-05,1.4182986526816808e+17,3058744.794610935,180514.34685475196,24549.65045673795,94.24541665826189,13,7.035095347940514e-48,1.0,44686822.90701336,3.1437605994737126e-40,1.2279001187713878e-27,5.789300203839978e-28,1.3226306260611023e-28,2.663087291472347e-27,38,4,1.3105919122695924
