         t-t0          tau          rho            T            r            v
  -1.2781D+01   2.4572D+05   1.7258D-11   4.6026D+04   1.4281D+13   4.0530D-01
  -1.2691D+01   2.3595D+05   1.6032D-11   4.5499D+04   1.4596D+13   4.0440D-01
  -1.2291D+01   1.9993D+05   1.1858D-11   4.3251D+04   1.5988D+13   4.0060D-01
  -1.1791D+01   1.6705D+05   8.5114D-12   4.1020D+04   1.7711D+13   3.9680D-01
  -1.0791D+01   1.2277D+05   4.8978D-12   3.7497D+04   2.1116D+13   3.9130D-01
  -9.7908D+00   9.3649D+04   3.1046D-12   3.4834D+04   2.4482D+13   3.8750D-01
  -8.7908D+00   7.5298D+04   2.0989D-12   3.3884D+04   2.7818D+13   3.8390D-01
  -7.7908D+00   6.2765D+04   1.4962D-12   4.1115D+04   3.1093D+13   3.7100D-01
  -6.7908D+00   5.1372D+04   1.1246D-12   5.0933D+04   3.4168D+13   3.3890D-01
  -5.7908D+00   4.2387D+04   8.8920D-13   5.7412D+04   3.6917D+13   2.9780D-01
  -4.7908D+00   3.5618D+04   7.3621D-13   6.0534D+04   3.9323D+13   2.6150D-01
  -3.7908D+00   3.0661D+04   6.2661D-13   6.1518D+04   4.1479D+13   2.3500D-01
  -2.7908D+00   2.5966D+04   5.3211D-13   6.1235D+04   4.3795D+13   2.1450D-01
  -7.9075D-01   2.0448D+04   4.3053D-13   5.9429D+04   4.6965D+13   1.9750D-01
   1.2092D+00   1.6199D+04   3.5075D-13   5.6754D+04   5.0284D+13   1.8780D-01
   3.2092D+00   1.3286D+04   2.9040D-13   5.3951D+04   5.3525D+13   1.8240D-01
   5.2092D+00   1.1376D+04   2.4547D-13   5.1404D+04   5.6603D+13   1.7920D-01
   7.2092D+00   9.6913D+03   2.0941D-13   4.8978D+04   5.9682D+13   1.7710D-01
   9.2092D+00   8.2730D+03   1.8030D-13   4.6774D+04   6.2731D+13   1.7570D-01
   1.1209D+01   7.1218D+03   1.5668D-13   4.4668D+04   6.5759D+13   1.7460D-01
   1.3209D+01   6.1447D+03   1.3521D-13   4.2560D+04   6.9032D+13   1.7380D-01
   1.5209D+01   5.4901D+03   1.2050D-13   4.0926D+04   7.1772D+13   1.7320D-01
   1.7209D+01   4.8840D+03   1.0641D-13   3.9264D+04   7.4763D+13   1.7270D-01
   1.9209D+01   4.3639D+03   9.4624D-14   3.7757D+04   7.7747D+13   1.7230D-01
   2.1209D+01   3.8441D+03   8.4528D-14   3.6308D+04   8.0723D+13   1.7200D-01
   2.3209D+01   3.3758D+03   7.5858D-14   3.4995D+04   8.3695D+13   1.7170D-01
   2.5209D+01   2.9714D+03   6.8391D-14   3.3729D+04   8.6661D+13   1.7140D-01
   2.7209D+01   2.6300D+03   6.1802D-14   3.2584D+04   8.9623D+13   1.7120D-01
   2.9209D+01   2.3410D+03   5.6105D-14   3.1477D+04   9.2581D+13   1.7090D-01
   3.1209D+01   2.0965D+03   5.1050D-14   3.0479D+04   9.5535D+13   1.7070D-01
   3.3209D+01   1.8887D+03   4.6559D-14   2.9512D+04   9.8487D+13   1.7060D-01
   3.5209D+01   1.7116D+03   4.2658D-14   2.8576D+04   1.0143D+14   1.7040D-01
   3.7209D+01   1.5600D+03   3.9084D-14   2.7797D+04   1.0438D+14   1.7030D-01
   3.9209D+01   1.4293D+03   3.5975D-14   2.6977D+04   1.0732D+14   1.7010D-01
   4.1209D+01   1.3166D+03   3.3189D-14   2.6242D+04   1.1026D+14   1.7000D-01
   4.3209D+01   1.2197D+03   3.0690D-14   2.5527D+04   1.1320D+14   1.7000D-01
   4.5209D+01   1.1368D+03   2.8379D-14   2.4831D+04   1.1614D+14   1.6990D-01
   4.7209D+01   1.0596D+03   2.6363D-14   2.4155D+04   1.1908D+14   1.6990D-01
   4.9209D+01   9.8752D+02   2.4491D-14   2.3605D+04   1.2202D+14   1.6980D-01
   5.1209D+01   9.2154D+02   2.2803D-14   2.2961D+04   1.2496D+14   1.6980D-01
   5.3209D+01   8.5977D+02   2.1281D-14   2.2387D+04   1.2789D+14   1.6990D-01
   5.5209D+01   8.0209D+02   1.9861D-14   2.1827D+04   1.3083D+14   1.6990D-01
