         t-t0          tau          rho            T            r            v
  -1.0513D+01   2.4822D+05   7.1285D-11   4.8195D+04   1.5384D+13   4.0610D-01
  -1.0423D+01   2.3940D+05   6.6527D-11   4.8084D+04   1.5699D+13   4.0420D-01
  -1.0023D+01   2.0627D+05   5.0003D-11   4.7643D+04   1.7083D+13   3.9630D-01
  -9.5227D+00   1.7742D+05   3.6644D-11   4.6881D+04   1.8777D+13   3.8790D-01
  -8.5227D+00   1.3367D+05   2.1928D-11   4.5290D+04   2.2071D+13   3.7480D-01
  -7.5227D+00   1.0328D+05   1.4388D-11   4.5394D+04   2.5263D+13   3.6210D-01
  -6.5227D+00   8.4373D+04   1.0375D-11   6.5313D+04   2.8098D+13   2.7360D-01
  -5.5227D+00   7.2589D+04   8.6298D-12   7.7983D+04   2.9822D+13   1.4070D-01
  -4.5227D+00   6.1032D+04   7.9068D-12   8.1283D+04   3.0712D+13   7.6400D-02
  -3.5227D+00   5.1344D+04   7.4989D-12   8.2035D+04   3.1228D+13   4.8000D-02
  -2.5227D+00   4.3667D+04   7.2611D-12   8.2224D+04   3.1568D+13   3.3300D-02
  -1.5227D+00   3.7712D+04   7.0958D-12   8.2035D+04   3.1817D+13   2.5100D-02
  -5.2270D-01   3.3007D+04   6.9663D-12   8.1658D+04   3.2014D+13   2.0900D-02
   1.4773D+00   2.6052D+04   6.7453D-12   8.0353D+04   3.2352D+13   1.9200D-02
   3.4773D+00   2.1045D+04   6.5163D-12   7.8886D+04   3.2706D+13   2.2100D-02
   5.4773D+00   1.7465D+04   6.2661D-12   7.6913D+04   3.3126D+13   2.6800D-02
   7.4773D+00   1.4583D+04   5.9566D-12   7.4645D+04   3.3695D+13   3.2700D-02
   9.4773D+00   1.2796D+04   5.6754D-12   7.2444D+04   3.4240D+13   3.7500D-02
   1.1477D+01   1.1297D+04   5.3333D-12   6.9984D+04   3.4932D+13   4.2400D-02
   1.3477D+01   9.9837D+03   5.0003D-12   6.7453D+04   3.5705D+13   4.6700D-02
   1.5477D+01   8.8368D+03   4.6559D-12   6.5013D+04   3.6546D+13   5.0400D-02
   1.7477D+01   7.8493D+03   4.3251D-12   6.2517D+04   3.7446D+13   5.3500D-02
   1.9477D+01   6.9918D+03   4.0087D-12   6.0117D+04   3.8394D+13   5.6000D-02
   2.1477D+01   6.2559D+03   3.7154D-12   5.7810D+04   3.9381D+13   5.8100D-02
   2.3477D+01   5.6306D+03   3.4356D-12   5.5463D+04   4.0401D+13   5.9800D-02
   2.5477D+01   5.0819D+03   3.1842D-12   5.3333D+04   4.1448D+13   6.1200D-02
   2.7477D+01   4.5979D+03   2.9444D-12   5.1286D+04   4.2517D+13   6.2400D-02
   2.9477D+01   4.1687D+03   2.7290D-12   4.9317D+04   4.3605D+13   6.3300D-02
   3.1477D+01   3.7856D+03   2.5293D-12   4.7534D+04   4.4707D+13   6.4100D-02
   3.3477D+01   3.4456D+03   2.3496D-12   4.5709D+04   4.5821D+13   6.4700D-02
   3.5477D+01   3.1427D+03   2.1827D-12   4.4055D+04   4.6943D+13   6.5100D-02
   3.7477D+01   2.8718D+03   2.0324D-12   4.2560D+04   4.8071D+13   6.5400D-02
   3.9477D+01   2.6298D+03   1.8967D-12   4.1115D+04   4.9203D+13   6.5600D-02
   4.1477D+01   2.4134D+03   1.7701D-12   3.9719D+04   5.0337D+13   6.5500D-02
   4.3477D+01   2.2142D+03   1.6558D-12   3.8459D+04   5.1470D+13   6.5500D-02
   4.5477D+01   2.0304D+03   1.5524D-12   3.7239D+04   5.2603D+13   6.5500D-02
   4.7477D+01   1.8625D+03   1.4555D-12   3.6058D+04   5.3736D+13   6.5500D-02
   4.9477D+01   1.7103D+03   1.3646D-12   3.4914D+04   5.4868D+13   6.5400D-02
   5.1477D+01   1.5730D+03   1.2853D-12   3.3884D+04   5.5999D+13   6.5400D-02
   5.3477D+01   1.4486D+03   1.2106D-12   3.2810D+04   5.7128D+13   6.5300D-02
   5.5477D+01   1.3369D+03   1.1402D-12   3.1842D+04   5.8255D+13   6.5100D-02
   5.7477D+01   1.2366D+03   1.0765D-12   3.0903D+04   5.9380D+13   6.5000D-02
   5.9477D+01   1.1464D+03   1.0186D-12   3.0061D+04   6.0503D+13   6.4900D-02
   6.1477D+01   1.0652D+03   9.6383D-13   2.9174D+04   6.1623D+13   6.4700D-02
   6.3477D+01   9.9186D+02   9.1201D-13   2.8379D+04   6.2741D+13   6.4600D-02
   6.5477D+01   9.2620D+02   8.6497D-13   2.7542D+04   6.3857D+13   6.4400D-02
   6.7477D+01   8.6737D+02   8.2224D-13   2.6792D+04   6.4970D+13   6.4300D-02
   6.9477D+01   8.1432D+02   7.8163D-13   2.6002D+04   6.6081D+13   6.4200D-02
   7.1477D+01   7.6752D+02   7.4302D-13   2.5293D+04   6.7191D+13   6.4100D-02
   7.3477D+01   7.2606D+02   7.0795D-13   2.4604D+04   6.8298D+13   6.4000D-02
   7.5477D+01   6.8623D+02   6.7453D-13   2.3988D+04   6.9403D+13   6.3900D-02
   7.7477D+01   6.4795D+02   6.4269D-13   2.3388D+04   7.0506D+13   6.3700D-02
   7.9477D+01   6.1149D+02   6.1376D-13   2.2803D+04   7.1607D+13   6.3600D-02
