# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.3 d   T_phot: 8501.279099553554 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.0089e+40 erg/s   peak F = 6.898 @ Δv = +28.7 km/s   EW = -76.32 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   5.35e+05       6.2744e+40       1.0089e+40    -439.35      -70.64        8.615      -260.0
  HI      Hbeta            4861.33   1.21e+05       2.9582e+40       3.4569e+39    -118.85      -13.89        2.882      -260.0
  HI      Hgamma           4340.47   4.24e+04       2.6418e+40       1.6286e+39     -90.13       -5.56        1.790       +40.0
  HI      Palpha          18751.01   2.86e+06       3.4132e+38       4.1019e+38     -40.14      -48.24        4.483      -260.0
  HI      Pbeta           12818.08   4.05e+05       8.1368e+38       3.0794e+38     -23.65       -8.95        1.739      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.10e+06       1.5830e+39       2.5453e+38      -4.94       -0.79        1.226      -260.0
  HeI     He_I_6678        6678.15   0.00e+00       5.7716e+37       5.7716e+37      -1.06       -1.06        1.546      -300.0
  HeI     He_I_7065        7065.19   2.85e+05       5.9261e+38       9.5285e+37     -11.93       -1.92        1.164      -260.0
  HeI     He_I_10830      10830.34   6.47e+06       2.0203e+39       3.2484e+38     -49.66       -7.98        1.805      -260.0
# --- He II ---
  HeII    He_II_1640       1640.42   5.11e-20       1.7783e+19       1.7783e+19      -0.43       -0.43        2.191     -1660.0
  HeII    He_II_3203       3203.10   2.35e-28       1.1421e+18       1.1421e+18      +0.34       +0.34        1.693      +780.0
  HeII    He_II_4686       4685.71   2.24e-27       2.6348e+18       2.6348e+18      -0.33       -0.33        1.715     -1360.0
  HeII    He_II_10124     10123.60   2.78e-27       2.2516e+17       2.2516e+17      +3.47       +3.47        1.412      +460.0
