==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       2   1.007e+40      7.16        +0     6.96      1.482       -371     1.1min
day000.2     0.2       2   1.007e+40      7.04        +0     6.93      1.505       -371     1.1min
day000.3     0.3       3   1.009e+40      7.09        +0     6.90      1.621       -371     1.3min
day000.4     0.4       2   1.011e+40      7.24        +0     7.12      1.592       -400     1.1min
day000.5     0.5       2   1.012e+40      7.22        +0     7.19      1.624       -400     1.1min
day000.6     0.6       2   1.006e+40      6.95        +0     6.92      1.413       -400     1.2min
day000.7     0.7       3   1.014e+40      7.15        +0     7.01      1.461       -400     1.3min
day000.8     0.8       2   1.016e+40      7.07        +0     7.07      1.633       -371     1.1min
day000.9     0.9       2   1.018e+40      7.00        +0     7.00      1.402       -371     1.1min
  day001     1.0       2   1.020e+40      7.19        +0     7.11      1.533       -400     1.1min
  day002     2.0       2   1.033e+40      7.56        +0     7.44      1.671       -371     1.1min
  day003     3.0       2   1.045e+40      7.58       -28     7.49      1.693       -400     1.1min
  day004     4.0       5   1.089e+40      8.26        +0     8.24      1.784       -400     1.7min
  day005     5.0       6   1.097e+40      8.27        +0     8.23      1.712       -400     1.9min
  day010    10.0       6   9.900e+39      8.19        +0     8.07      1.670       -371     1.9min
  day020    20.0       6   2.584e+40      8.58        +0     8.38      1.126       -200     1.5min
  day030    30.0       6   6.679e+40     35.53       +29    35.53      2.430       -200     2.3min
  day040    40.0       6   5.437e+40     35.20       +29    35.20      2.154       -200     2.5min
  day050    50.0       6   5.920e+40     39.89       +29    39.89      2.350       -200     2.5min
  day060    60.0       6   6.275e+40     39.89       +29    39.89      2.522       -200     2.7min
  day070    70.0       6   6.948e+40     43.02       +29    43.02      3.216       -200     2.6min
  day080    80.0       6   6.319e+40     41.57       +57    41.57      3.919       -200     2.7min
  day090    90.0       6   5.785e+40     37.53       +29    37.53      4.208       -200     2.5min
  day100   100.0       6   5.821e+40     37.43       +29    37.43      4.418       -400     2.5min
  day110   110.0       6   8.160e+41    576.09       +29   576.09     52.389       -400     2.8min
  day120   120.0       6   6.246e+41    637.47       +29   637.47     60.417       -400     3.0min
  day130   130.0       6   1.933e+41    334.43       +29   334.43     39.231       -400     3.2min
  day140   140.0       6   1.998e+40    335.65       +29   335.65     70.933       -400     2.8min
  day150   150.0       6   2.539e+40    807.14       +29   807.14    168.749       -371     3.2min
  day160   160.0       6   2.555e+38      2.33        +0     2.33      1.029       -400     2.3min

Total batch runtime: 101.1 min
