# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.2 d   T_phot: 8521.741062644072 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.0065e+40 erg/s   peak F = 6.926 @ Δv = +28.7 km/s   EW = -68.84 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   5.28e+05       6.2524e+40       1.0065e+40    -435.34      -70.08        9.140      -260.0
  HI      Hbeta            4861.33   1.19e+05       2.9715e+40       3.4493e+39    -129.85      -15.07        2.876      -260.0
  HI      Hgamma           4340.47   4.18e+04       2.6564e+40       1.6250e+39     -95.00       -5.81        1.798        +0.0
  HI      Palpha          18751.01   2.82e+06       3.4350e+38       4.0925e+38     -34.75      -41.40        4.153      -260.0
  HI      Pbeta           12818.08   3.99e+05       8.1947e+38       3.0723e+38     -29.87      -11.20        1.923      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.10e+06       1.5942e+39       2.5665e+38      -5.65       -0.91        1.248      -260.0
  HeI     He_I_6678        6678.15   0.00e+00       5.7689e+37       5.7689e+37      +5.10       +5.10        1.443     -4100.1
  HeI     He_I_7065        7065.19   2.85e+05       5.9628e+38       9.5992e+37      -5.02       -0.81        1.115       +40.0
  HeI     He_I_10830      10830.34   6.45e+06       2.0267e+39       3.2626e+38     -66.01      -10.63        1.823      -260.0
# --- He II ---
  HeII    He_II_1640       1640.42   5.73e-20       2.1370e+19       2.1370e+19      +0.51       +0.51        1.935     -1700.0
  HeII    He_II_3203       3203.10   2.36e-28       1.3726e+18       1.3726e+18      -0.24       -0.24        1.680     +4800.1
  HeII    He_II_4686       4685.71   2.25e-27       3.1663e+18       3.1663e+18      +6.35       +6.35        1.712     -1140.0
  HeII    He_II_10124     10123.60   2.48e-27       2.7058e+17       2.7058e+17     -10.87      -10.87        1.469     +2740.1
