         t-t0          tau          rho            T            r            v
  -1.6191D+01   2.4610D+05   1.7258D-11   4.6026D+04   1.4281D+13   4.0530D-01
  -1.6101D+01   2.3631D+05   1.6032D-11   4.5499D+04   1.4596D+13   4.0440D-01
  -1.5701D+01   2.0018D+05   1.1858D-11   4.3251D+04   1.5988D+13   4.0060D-01
  -1.5201D+01   1.6732D+05   8.5114D-12   4.1020D+04   1.7711D+13   3.9680D-01
  -1.4201D+01   1.2310D+05   4.8978D-12   3.7497D+04   2.1116D+13   3.9130D-01
  -1.3201D+01   9.3805D+04   3.1046D-12   3.4834D+04   2.4482D+13   3.8750D-01
  -1.2201D+01   7.5467D+04   2.0989D-12   3.3884D+04   2.7818D+13   3.8390D-01
  -1.1201D+01   6.2917D+04   1.4962D-12   4.1115D+04   3.1092D+13   3.7100D-01
  -1.0201D+01   5.1501D+04   1.1246D-12   5.1050D+04   3.4172D+13   3.3900D-01
  -9.2007D+00   4.2483D+04   8.8920D-13   5.7412D+04   3.6923D+13   2.9770D-01
  -8.2007D+00   3.5712D+04   7.3451D-13   6.0674D+04   3.9330D+13   2.6140D-01
  -7.2007D+00   3.0792D+04   6.2661D-13   6.1660D+04   4.1465D+13   2.3500D-01
  -6.2007D+00   2.6813D+04   5.4576D-13   6.1376D+04   4.3409D+13   2.1730D-01
  -4.2007D+00   2.0504D+04   4.3053D-13   5.9429D+04   4.6970D+13   1.9740D-01
  -2.2007D+00   1.6243D+04   3.5075D-13   5.6754D+04   5.0288D+13   1.8780D-01
  -2.0070D-01   1.3361D+04   2.9107D-13   5.4075D+04   5.3484D+13   1.8250D-01
   1.7993D+00   1.1415D+04   2.4547D-13   5.1404D+04   5.6608D+13   1.7920D-01
   3.7993D+00   9.7266D+03   2.0941D-13   4.8978D+04   5.9688D+13   1.7710D-01
   5.7993D+00   8.3048D+03   1.8030D-13   4.6774D+04   6.2738D+13   1.7570D-01
   7.7993D+00   7.1521D+03   1.5668D-13   4.4668D+04   6.5766D+13   1.7470D-01
   9.7993D+00   6.2406D+03   1.3677D-13   4.2756D+04   6.8780D+13   1.7390D-01
   1.1799D+01   5.5197D+03   1.2023D-13   4.0926D+04   7.1781D+13   1.7330D-01
   1.3799D+01   4.9155D+03   1.0641D-13   3.9264D+04   7.4773D+13   1.7280D-01
   1.5799D+01   4.3915D+03   9.4624D-14   3.7757D+04   7.7757D+13   1.7240D-01
   1.7799D+01   3.8679D+03   8.4528D-14   3.6308D+04   8.0735D+13   1.7210D-01
   1.9799D+01   3.3961D+03   7.5858D-14   3.4995D+04   8.3708D+13   1.7180D-01
   2.1799D+01   2.9892D+03   6.8391D-14   3.3729D+04   8.6676D+13   1.7150D-01
   2.3799D+01   2.6454D+03   6.1802D-14   3.2584D+04   8.9639D+13   1.7120D-01
   2.5799D+01   2.3551D+03   5.5976D-14   3.1477D+04   9.2599D+13   1.7100D-01
   2.7799D+01   2.1098D+03   5.1050D-14   3.0409D+04   9.5554D+13   1.7080D-01
   2.9799D+01   1.9019D+03   4.6559D-14   2.9444D+04   9.8508D+13   1.7070D-01
   3.1799D+01   1.7255D+03   4.2560D-14   2.8576D+04   1.0146D+14   1.7050D-01
   3.3799D+01   1.5742D+03   3.9084D-14   2.7733D+04   1.0441D+14   1.7040D-01
   3.5799D+01   1.4452D+03   3.5975D-14   2.6977D+04   1.0735D+14   1.7030D-01
   3.7799D+01   1.3341D+03   3.3189D-14   2.6182D+04   1.1029D+14   1.7020D-01
   3.9799D+01   1.2383D+03   3.0620D-14   2.5527D+04   1.1324D+14   1.7010D-01
   4.1799D+01   1.1563D+03   2.8379D-14   2.4831D+04   1.1618D+14   1.7000D-01
   4.3799D+01   1.0797D+03   2.6303D-14   2.4155D+04   1.1912D+14   1.7000D-01
