# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.8 d   T_phot: 9141.664086404948 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 4.9506e+40 erg/s   peak F = 4.360 @ Δv = +28.7 km/s   EW = -45.74 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   0.00e+00       6.2478e+45       4.9506e+40  -5893280.42      -46.70        4.855       +60.0
  HI      Hbeta            4861.33   6.19e+03       2.6234e+41       1.7063e+40    -142.45       -9.27        2.103      -120.0
  HI      Hgamma           4340.47   3.69e+03       1.5191e+41       8.0302e+39     -64.49       -3.41        1.510      -160.0
  HI      Palpha          18751.01   9.09e+05       5.4893e+38       2.0132e+39      +2.43       +8.91        6.225      -260.0
  HI      Pbeta           12818.08   1.36e+05       1.3561e+39       1.5127e+39      -6.23       -6.95        1.900      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.00e+07       4.2669e+39       3.3810e+34      +1.27       +0.00        1.000      -260.0
  HeI     He_I_6678        6678.15   0.00e+00       2.8208e+38       2.8208e+38      +3.77       +3.77        1.589       +40.0
  HeI     He_I_7065        7065.19   1.33e+06       1.7326e+39       1.3729e+34      +0.44       +0.00        1.000      -260.0
  HeI     He_I_10830      10830.34   2.30e+07       3.1338e+39       2.4832e+34      -6.62       -0.00        1.000      -260.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.03e-14       1.8500e+22       1.8500e+22      +0.53       +0.53        2.065      +800.0
  HeII    He_II_3203       3203.10   9.01e-25       1.1878e+21       1.1878e+21      -3.48       -3.48        2.165      +380.0
  HeII    He_II_4686       4685.71   1.21e-23       2.7401e+21       2.7401e+21      +2.38       +2.38        1.597      +380.0
  HeII    He_II_10124     10123.60   1.00e-30       2.3415e+20       2.3415e+20      -1.64       -1.64        1.418     -1500.0
