==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       4   4.931e+40      4.76        +0     4.64      1.564       -200     0.9min
day000.2     0.2       3   4.934e+40      4.55       -28     4.32      1.586       -200     0.8min
day000.3     0.3       3   4.936e+40      4.65        +0     4.51      1.491       -200     0.8min
day000.4     0.4       3   4.939e+40      4.65        +0     4.59      1.549       -200     0.8min
day000.5     0.5       3   4.942e+40      4.56        +0     4.54      1.538       -200     0.8min
day000.6     0.6       3   4.945e+40      4.37        +0     4.33      1.789       -342     0.8min
day000.7     0.7       3   4.948e+40      4.51        +0     4.45      1.647       -200     0.8min
day000.8     0.8       3   4.951e+40      4.57       -28     4.36      1.628       -342     0.8min
day000.9     0.9       3   4.953e+40      4.62        +0     4.47      1.533       -200     0.9min
  day001     1.0       3   4.956e+40      4.79        +0     4.60      1.715       -200     0.9min
  day002     2.0       2   4.990e+40      4.97       -28     4.64      1.668       -400     1.1min
  day003     3.0       2   5.045e+40      5.02       -86     4.38      1.819       -400     1.0min
  day004     4.0       2   5.104e+40      5.20       -86     4.33      1.523       -400     1.0min
  day005     5.0       2   5.170e+40      5.49       -86     4.82      1.721       -400     1.0min
  day010    10.0       2   5.363e+40      6.49       -86     5.76      1.882       -371     1.0min
  day020    20.0       6   4.832e+40      7.98       -57     6.92      2.170       -400     1.7min
  day030    30.0       6   4.418e+40     12.62      -285     8.53      2.526       -200     1.7min
  day040    40.0       6   4.451e+40     20.57      -285    13.07      3.809       -200     1.6min
  day050    50.0       6   7.237e+40      3.61        +0     3.53      0.762       -200     1.5min
  day060    60.0       6   2.307e+41     23.35        +0    23.34      4.263       -200     1.6min
  day070    70.0       6   1.144e+41     41.57       +29    41.57      4.461       -200     3.1min
  day080    80.0       6   8.290e+40     32.05       +29    32.05      3.391       -200     3.1min
  day090    90.0       6   6.539e+40     28.40       +29    28.40      2.703       -171     3.3min
  day100   100.0       6   5.400e+40     30.65       +29    30.65      3.052       -171     3.4min
  day110   110.0       6   2.355e+41    197.30       +29   197.30     21.651       -143     3.2min
  day120   120.0       6   4.785e+40    800.12       +29   800.12     76.396       -114     3.5min
  day130   130.0       6   3.545e+40   4161.77       +29  4161.77    401.770       -114     3.8min
  day140   140.0       6   3.129e+40   4642.63       +29  4642.63    528.942        -86     3.4min
  day150   150.0       6   9.398e+40      1.00      +714     0.99      0.108       -400     8.2min
  day160   160.0       6   2.675e+38      2.26       +29     2.26      0.955       -400     2.4min

Total batch runtime: 93.4 min
