 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      0.000000E+00       4.317500E+01       4.193288E+01
      1.067688E+00       4.317100E+01       4.190993E+01
      2.075266E+00       4.315900E+01       4.188947E+01
      3.126055E+00       4.314000E+01       4.186929E+01
      4.194740E+00       4.311600E+01       4.184991E+01
      5.206482E+00       4.309200E+01       4.183264E+01
      6.257225E+00       4.306600E+01       4.181578E+01
      7.281679E+00       4.304100E+01       4.180024E+01
      8.285492E+00       4.301700E+01       4.178590E+01
      9.302958E+00       4.299500E+01       4.177225E+01
      1.030740E+01       4.297500E+01       4.175952E+01
      1.101441E+01       4.296000E+01       4.175097E+01
      1.203416E+01       4.294000E+01       4.173933E+01
      1.311332E+01       4.292200E+01       4.172770E+01
      1.412648E+01       4.290500E+01       4.171734E+01
      1.512956E+01       4.289000E+01       4.170766E+01
      1.614389E+01       4.286700E+01       4.169845E+01
      1.714845E+01       4.285100E+01       4.168975E+01
      1.820201E+01       4.283400E+01       4.168106E+01
      1.929471E+01       4.281300E+01       4.167256E+01
      2.036740E+01       4.279600E+01       4.166464E+01
      2.139034E+01       4.276200E+01       4.165734E+01
      2.251491E+01       4.272600E+01       4.164982E+01
      2.354292E+01       4.270700E+01       4.164316E+01
      2.464827E+01       4.268600E+01       4.163629E+01
      2.567301E+01       4.266600E+01       4.163012E+01
      2.669601E+01       4.264400E+01       4.162418E+01
      2.777332E+01       4.262200E+01       4.161815E+01
      2.885099E+01       4.256700E+01       4.161236E+01
      3.021195E+01       4.256400E+01       4.160520E+01
      3.130962E+01       4.254400E+01       4.159966E+01
      3.235073E+01       4.253300E+01       4.159439E+01
      3.344209E+01       4.251800E+01       4.158917E+01
      3.446067E+01       4.250100E+01       4.158433E+01
      3.554490E+01       4.248700E+01       4.157921E+01
      3.662913E+01       4.247700E+01       4.157426E+01
      3.765473E+01       4.246700E+01       4.156961E+01
      3.866046E+01       4.246000E+01       4.156502E+01
      3.976991E+01       4.245100E+01       4.156027E+01
      4.085414E+01       4.244400E+01       4.155558E+01
      4.193836E+01       4.243900E+01       4.155096E+01
      4.302259E+01       4.243600E+01       4.154617E+01
      4.414033E+01       4.243200E+01       4.154158E+01
      4.518848E+01       4.242600E+01       4.153719E+01
      4.625632E+01       4.242600E+01       4.153275E+01
      4.734054E+01       4.242600E+01       4.152827E+01
      4.850942E+01       4.242400E+01       4.152349E+01
      4.958451E+01       4.242100E+01       4.151891E+01
      5.069338E+01       4.241800E+01       4.151441E+01
      5.173727E+01       4.241500E+01       4.151014E+01
      5.276134E+01       4.241400E+01       4.150610E+01
      5.385365E+01       4.241200E+01       4.150161E+01
      5.487232E+01       4.241100E+01       4.149748E+01
      5.593025E+01       4.241000E+01       4.149346E+01
      5.693228E+01       4.240800E+01       4.148940E+01
      5.803790E+01       4.240600E+01       4.148487E+01
      5.904838E+01       4.240600E+01       4.148058E+01
      6.006983E+01       4.240300E+01       4.147698E+01
      6.113688E+01       4.240000E+01       4.147261E+01
      6.218880E+01       4.239700E+01       4.146850E+01
      6.324912E+01       4.239300E+01       4.146374E+01
      6.428781E+01       4.239100E+01       4.146015E+01
      6.537628E+01       4.238800E+01       4.145606E+01
      6.646089E+01       4.238500E+01       4.145148E+01
      6.750211E+01       4.238100E+01       4.144747E+01
      6.857051E+01       4.237800E+01       4.144311E+01
      6.959762E+01       4.237600E+01       4.143917E+01
      7.065660E+01       4.237100E+01       4.143425E+01
      7.180263E+01       4.236500E+01       4.143024E+01
      7.287264E+01       4.236100E+01       4.142635E+01
      7.390190E+01       4.236000E+01       4.142177E+01
      7.506488E+01       4.235200E+01       4.141764E+01
      7.622546E+01       4.234600E+01       4.141313E+01
      7.730953E+01       4.234300E+01       4.140858E+01
      7.834180E+01       4.233900E+01       4.140466E+01
      7.941669E+01       4.233500E+01       4.140037E+01
      8.043261E+01       4.233200E+01       4.139637E+01
      8.144499E+01       4.232900E+01       4.139235E+01
      8.246710E+01       4.232500E+01       4.138846E+01
      8.351719E+01       4.232000E+01       4.138435E+01
      8.455822E+01       4.231600E+01       4.138021E+01
      8.557727E+01       4.231300E+01       4.137621E+01
      8.669406E+01       4.230500E+01       4.137199E+01
      8.781285E+01       4.229600E+01       4.136736E+01
      8.884953E+01       4.229100E+01       4.136342E+01
      8.987682E+01       4.228700E+01       4.135946E+01
      9.101038E+01       4.228300E+01       4.135449E+01
      9.220162E+01       4.227800E+01       4.134986E+01
      9.325371E+01       4.227400E+01       4.134596E+01
      9.432974E+01       4.226900E+01       4.134124E+01
      9.539515E+01       4.226200E+01       4.133766E+01
      9.645967E+01       4.226400E+01       4.133345E+01
      9.755584E+01       4.225100E+01       4.132899E+01
      9.858496E+01       4.224400E+01       4.132510E+01
      9.959242E+01       4.223900E+01       4.132098E+01
      1.005928E+02       4.223400E+01       4.131702E+01
      1.016080E+02       4.222900E+01       4.131302E+01
      1.025592E+02       4.222500E+01       4.130920E+01
      1.036881E+02       4.221900E+01       4.130471E+01
      1.047200E+02       4.221200E+01       4.130081E+01
      1.058728E+02       4.220700E+01       4.129623E+01
      1.069079E+02       4.219800E+01       4.129181E+01
      1.080760E+02       4.218800E+01       4.128758E+01
      1.091534E+02       4.218300E+01       4.128285E+01
      1.102154E+02       4.217200E+01       4.127898E+01
      1.112593E+02       4.215800E+01       4.127508E+01
      1.122645E+02       4.215200E+01       4.127091E+01
      1.133116E+02       4.215500E+01       4.126647E+01
      1.143504E+02       4.213800E+01       4.126269E+01
      1.153634E+02       4.212600E+01       4.125864E+01
      1.164893E+02       4.211800E+01       4.125455E+01
      1.176744E+02       4.210300E+01       4.124944E+01
      1.186770E+02       4.209100E+01       4.124576E+01
      1.198145E+02       4.207200E+01       4.124055E+01
      1.210751E+02       4.205300E+01       4.123603E+01
      1.221073E+02       4.204700E+01       4.123172E+01
      1.231320E+02       4.204900E+01       4.122789E+01
      1.244454E+02       4.204400E+01       4.122298E+01
      1.256019E+02       4.203800E+01       4.121801E+01
      1.267584E+02       4.203500E+01       4.121325E+01
      1.279149E+02       4.203400E+01       4.120898E+01
      1.290714E+02       4.203300E+01       4.120439E+01
      1.302279E+02       4.203100E+01       4.119976E+01
      1.313844E+02       4.202800E+01       4.119479E+01
      1.325409E+02       4.202600E+01       4.119061E+01
      1.336974E+02       4.202500E+01       4.118583E+01
      1.348539E+02       4.202200E+01       4.118127E+01
      1.360104E+02       4.201900E+01       4.117696E+01
      1.371669E+02       4.201600E+01       4.117231E+01
      1.383234E+02       4.201500E+01       4.116761E+01
      1.394799E+02       4.201300E+01       4.116286E+01
      1.406364E+02       4.201200E+01       4.115836E+01
      1.417929E+02       4.201000E+01       4.115320E+01
      1.429494E+02       4.200900E+01       4.114891E+01
      1.441059E+02       4.200700E+01       4.114426E+01
      1.452624E+02       4.200500E+01       4.113988E+01
      1.464189E+02       4.200300E+01       4.113545E+01
      1.475754E+02       4.200000E+01       4.113033E+01
      1.487319E+02       4.199600E+01       4.112613E+01
      1.498883E+02       4.199200E+01       4.112156E+01
      1.510444E+02       4.198600E+01       4.111694E+01
      1.522001E+02       4.197800E+01       4.111227E+01
