==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       1   1.981e+27      1.00      +229     1.00      1.000       -400     0.2min
day000.2     0.2       1   2.118e+27      1.00      +257     1.00      1.000       -400     0.2min
day000.3     0.3       1   2.134e+27      1.00      +286     1.00      1.000       -400     0.2min
day000.4     0.4       1   2.149e+27      1.00      +257     1.00      1.000       -400     0.2min
day000.5     0.5       1   2.163e+27      1.00      +257     1.00      1.000       -400     0.1min
day000.6     0.6       1   2.170e+27      1.00      +257     1.00      1.000       -400     0.1min
day000.7     0.7       1   2.177e+27      1.00      +257     1.00      1.000       -400     0.1min
day000.8     0.8       1   2.184e+27      1.00      +257     1.00      1.000       -400     0.1min
day000.9     0.9       1   2.191e+27      1.00      +257     1.00      1.000       -400     0.1min
  day001     1.0       1   2.199e+27      1.00      +257     1.00      1.000       -400     0.1min
  day002     2.0       1   2.270e+27      1.00      +257     1.00      1.000       -400     0.1min
  day003     3.0       1   2.341e+27      1.00      +257     1.00      1.000       -400     0.1min
  day004     4.0       1   2.403e+27      1.00      +229     1.00      1.000       -400     0.1min
  day005     5.0       1   2.422e+27      1.00      +229     1.00      1.000       -400     0.1min
  day006     6.0       1   2.452e+27      1.00      +286     1.00      1.000       -400     0.2min
  day007     7.0       1   2.166e+27      1.00      +257     1.00      1.000       -400     0.1min
  day008     8.0       1   2.040e+27      1.29    +17074     1.19      0.816        -86     0.1min
  day009     9.0       1   1.977e+27      1.32      +828     1.23      0.859       -400     0.1min
  day010    10.0       1   1.941e+27      1.37     -3540     1.02      0.889       -314     0.1min
  day020    20.0       1   2.672e+27      1.30    +10621     1.13      0.916       -400     0.2min
  day030    30.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     1.0min
  day040    40.0       1   0.000e+00       nan     -8280      nan        nan       -400     1.1min
  day050    50.0       1   0.000e+00       nan     -8194      nan        nan       -400     0.8min
  day060    60.0       2   0.000e+00       nan     -8194      nan        nan       -400     1.0min
  day070    70.0       2   0.000e+00       nan     -8194      nan        nan       -400     0.9min
  day080    80.0       1   1.049e+27      1.00       +29     1.00      1.000       -400     0.3min
  day090    90.0       1   7.253e+26      1.00       +57     1.00      1.000       -400     0.3min
  day100   100.0       1   4.929e+26      1.00       +29     1.00      1.000       -400     0.3min
  day110   110.0       2   3.182e+26      1.00       +29     1.00      1.000       -400     0.4min
  day120   120.0       6   1.996e+39      1.80       +57     1.80      0.739       -400     2.5min
  day130   130.0       6   1.223e+39      1.97       +29     1.97      0.812       -400     2.4min
  day140   140.0       6   6.274e+38      2.14       +29     2.14      0.886       -400     2.3min
  day150   150.0       6   2.813e+38      2.28       +29     2.28      0.939       -400     2.2min
  day160   160.0       6   1.323e+38      2.37       +29     2.37      0.967       -400     2.1min

Total batch runtime: 24.3 min
