         t-t0          tau          rho            T            r            v
  -1.3009D-02   1.8617D+05   1.9055D-07   3.0339D+05   2.1171D+12   3.1450D-01
   7.6991D-02   1.5318D+05   1.3709D-07   2.7669D+05   2.3631D+12   3.1590D-01
   4.7699D-01   6.5970D+04   4.3251D-08   2.0512D+05   3.4691D+12   3.2170D-01
   9.7699D-01   3.1629D+04   1.5560D-08   1.6106D+05   4.8780D+12   3.2810D-01
   1.9770D+00   1.1374D+04   3.8459D-09   1.1885D+05   7.7729D+12   3.3910D-01
   2.9770D+00   5.7672D+03   1.4521D-09   9.6605D+04   1.0755D+13   3.4830D-01
   3.9770D+00   3.4767D+03   6.8549D-10   8.2414D+04   1.3812D+13   3.5570D-01
   4.9770D+00   2.3167D+03   3.7325D-10   7.2277D+04   1.6919D+13   3.6080D-01
   5.9770D+00   1.6639D+03   2.2387D-10   6.4417D+04   2.0068D+13   3.6500D-01
   6.9770D+00   1.2552D+03   1.4388D-10   5.8210D+04   2.3251D+13   3.6850D-01
   7.9770D+00   9.8425D+02   9.7499D-11   5.2966D+04   2.6462D+13   3.7140D-01
   8.9770D+00   7.8940D+02   6.9024D-11   4.8641D+04   2.9697D+13   3.7390D-01
   9.9770D+00   6.4387D+02   5.0466D-11   4.4978D+04   3.2953D+13   3.7600D-01
   1.1977D+01   4.4226D+02   2.9309D-11   3.8815D+04   3.9514D+13   3.7950D-01
   1.3977D+01   3.2076D+02   1.8408D-11   3.3651D+04   4.6129D+13   3.8210D-01
   1.5977D+01   2.4714D+02   1.2303D-11   2.9309D+04   5.2785D+13   3.8390D-01
   1.7977D+01   1.9771D+02   8.5901D-12   2.5823D+04   5.9468D+13   3.8510D-01
   1.9977D+01   1.5900D+02   6.2373D-12   2.3121D+04   6.6166D+13   3.8580D-01
   2.1977D+01   1.2626D+02   4.6666D-12   2.0893D+04   7.2880D+13   3.8640D-01
   2.3977D+01   9.9555D+01   3.5810D-12   1.9099D+04   7.9595D+13   3.8680D-01
   2.5977D+01   7.6592D+01   2.8119D-12   1.7498D+04   8.6322D+13   3.8710D-01
   2.7977D+01   5.6765D+01   2.2439D-12   1.5959D+04   9.3054D+13   3.8740D-01
   2.9977D+01   4.0214D+01   1.8197D-12   1.4191D+04   9.9791D+13   3.8770D-01
   3.1977D+01   2.7907D+01   1.4962D-12   1.2359D+04   1.0653D+14   3.8790D-01
   3.3977D+01   2.0047D+01   1.2445D-12   1.0814D+04   1.1328D+14   3.8790D-01
   3.5977D+01   1.5444D+01   1.0447D-12   9.8175D+03   1.2002D+14   3.8800D-01
   3.7977D+01   1.1699D+01   8.8716D-13   8.9331D+03   1.2678D+14   3.8800D-01
   3.9977D+01   8.4393D+00   7.5858D-13   8.0168D+03   1.3357D+14   3.8800D-01
   4.1977D+01   6.1176D+00   6.5313D-13   7.2277D+03   1.4039D+14   3.8800D-01
   4.3977D+01   4.6950D+00   5.6624D-13   6.6374D+03   1.4723D+14   3.8800D-01
   4.5977D+01   3.8154D+00   4.9431D-13   6.2230D+03   1.5410D+14   3.8800D-01
   4.7977D+01   3.2385D+00   4.3351D-13   5.9841D+03   1.6093D+14   3.8800D-01
   4.9977D+01   2.7624D+00   3.8282D-13   5.7677D+03   1.6780D+14   3.8800D-01
   5.1977D+01   2.3816D+00   3.3884D-13   5.5847D+03   1.7468D+14   3.8800D-01
   5.3977D+01   2.0688D+00   3.0200D-13   5.4200D+03   1.8151D+14   3.8800D-01
   5.5977D+01   1.7967D+00   2.7040D-13   5.2723D+03   1.8836D+14   3.8800D-01
   5.7977D+01   1.5657D+00   2.4266D-13   5.1404D+03   1.9525D+14   3.8800D-01
   5.9977D+01   1.3775D+00   2.1878D-13   5.0119D+03   2.0208D+14   3.8800D-01
   6.1977D+01   1.2087D+00   1.9815D-13   4.8978D+03   2.0897D+14   3.8800D-01
   6.3977D+01   1.0639D+00   1.7989D-13   4.7753D+03   2.1580D+14   3.8800D-01
   6.5977D+01   9.4760D-01   1.6368D-13   4.6881D+03   2.2268D+14   3.8800D-01
   6.7977D+01   8.4758D-01   1.4962D-13   4.5920D+03   2.2952D+14   3.8800D-01
   6.9977D+01   7.5570D-01   1.3677D-13   4.5394D+03   2.3640D+14   3.8800D-01
   7.1977D+01   6.7856D-01   1.2560D-13   4.4157D+03   2.4324D+14   3.8800D-01
   7.3977D+01   6.1152D-01   1.1561D-13   4.3451D+03   2.5012D+14   3.8800D-01
   7.5977D+01   5.5693D-01   1.0641D-13   4.2855D+03   2.5696D+14   3.8790D-01
   7.7977D+01   5.0497D-01   9.8401D-14   4.2170D+03   2.6384D+14   3.8790D-01
   7.9977D+01   4.6275D-01   9.0991D-14   4.1687D+03   2.7073D+14   3.8790D-01
   8.1977D+01   4.2756D-01   8.4528D-14   4.1210D+03   2.7756D+14   3.8790D-01
   8.3977D+01   3.9346D-01   7.8524D-14   4.0738D+03   2.8445D+14   3.8790D-01
   8.5977D+01   3.6559D-01   7.3114D-14   4.0272D+03   2.9129D+14   3.8790D-01
   8.7977D+01   3.4025D-01   6.8234D-14   3.9719D+03   2.9817D+14   3.8790D-01
