# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.3 d   T_phot: 20537.99344712494 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 2.1335e+27 erg/s   peak F = 1.000 @ Δv = +285.6 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   2.10e-07       1.7325e+33       2.1335e+27      +0.00       +0.00        1.000        +0.0
  HI      Hbeta            4861.33   3.04e-08       5.1401e+32       7.7464e+26      +0.00       +0.00        1.000       -80.0
  HI      Hgamma           4340.47   1.03e-08       2.2113e+32       3.6123e+26      +0.00       +0.00        1.000       -20.0
  HI      Palpha          18751.01   9.05e-08       1.4223e+32       8.6896e+25      +0.00       +0.00        1.000      -100.0
  HI      Pbeta           12818.08   1.49e-08       6.5127e+31       6.5791e+25      +0.00       +0.00        1.000      -200.0
# --- He I ---
  HeI     He_I_5876        5875.62   8.01e+05       6.9065e+40       8.5053e+34      +2.21       +0.00        1.000        +0.0
  HeI     He_I_6678        6678.15   1.29e+05       3.5563e+40       4.3795e+34      +2.51       +0.00        1.000        +0.0
  HeI     He_I_7065        7065.19   1.09e+05       3.5808e+40       4.4097e+34      +2.65       +0.00        1.000        +0.0
  HeI     He_I_10830      10830.34   5.81e+05       2.9021e+40       3.5739e+34      +4.07       +0.00        1.000        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   1.37e+04       2.1032e+40       2.5900e+34      +0.58       +0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   7.50e-01       8.3051e+38       8.3051e+38      +0.71       +0.71        1.095        +0.0
  HeII    He_II_4686       4685.71   6.96e+00       3.7551e+39       4.6243e+33      +1.22       +0.00        1.000        +0.0
  HeII    He_II_10124     10123.60   1.87e-02       5.7976e+38       5.7976e+38      +1.76       +1.76        1.070        +0.0
