 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      1.313462E+02       4.170300E+01       4.117580E+01
      1.323516E+02       4.169400E+01       4.117202E+01
      1.336299E+02       4.168300E+01       4.116702E+01
      1.351513E+02       4.167300E+01       4.116107E+01
      1.363079E+02       4.166800E+01       4.115625E+01
      1.374646E+02       4.166600E+01       4.115168E+01
      1.386212E+02       4.166200E+01       4.114706E+01
      1.397778E+02       4.165700E+01       4.114270E+01
      1.409344E+02       4.165200E+01       4.113799E+01
      1.420911E+02       4.164700E+01       4.113322E+01
      1.432477E+02       4.164200E+01       4.112840E+01
      1.444043E+02       4.163700E+01       4.112418E+01
      1.454163E+02       4.163300E+01       4.112024E+01
      1.468621E+02       4.162800E+01       4.111428E+01
      1.480187E+02       4.162500E+01       4.110992E+01
      1.491754E+02       4.162200E+01       4.110551E+01
