==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       2   5.042e+40      9.05      -228     7.02      2.077       -400     0.9min
day000.2     0.2       2   4.899e+40      8.60      -228     6.94      1.965       -400     0.9min
day000.3     0.3       2   4.940e+40      9.28      -228     6.87      1.982       -400     0.9min
day000.4     0.4       6   4.952e+40      8.79      -228     7.07      1.992       -400     1.5min
day000.5     0.5       4   4.955e+40      8.91      -228     6.99      2.317       -371     1.2min
day000.6     0.6       4   4.954e+40      8.91      -228     6.95      2.117       -400     1.2min
day000.7     0.7       6   5.089e+40      9.13      -228     7.23      2.113       -400     1.5min
day000.8     0.8       2   5.123e+40      9.45      -228     7.31      2.223       -400     0.9min
day000.9     0.9       2   5.135e+40      9.30      -228     7.29      2.151       -400     0.9min
  day001     1.0       2   5.143e+40      9.32      -228     7.27      2.323       -400     0.9min
  day002     2.0       6   5.015e+40      9.62      -257     7.58      2.294       -400     1.5min
  day003     3.0       6   5.046e+40      9.83      -257     7.99      2.396       -400     1.5min
  day004     4.0       6   4.611e+40      9.61      -257     7.61      2.222       -400     1.5min
  day005     5.0       6   4.655e+40     10.46      -257     7.86      2.375       -400     1.5min
  day010    10.0       6   3.610e+40     11.11      -257     8.77      2.430       -400     1.7min
  day020    20.0       6   3.735e+40     17.70      -257    12.67      3.612       -400     1.7min
  day030    30.0       6   3.291e+40      5.39      -257     3.78      0.909       -400     1.6min
  day040    40.0       6   7.423e+40      8.02        +0     7.64      1.261       -171     1.5min
  day050    50.0       2   1.051e+41     23.09        +0    22.49      4.852       -171     0.9min
  day060    60.0       6   7.440e+40     47.11       +29    47.11      3.510       -171     3.0min
  day070    70.0       6   5.809e+40     37.48       +29    37.48      2.360       -171     2.9min
  day080    80.0       6   4.409e+40     29.22       +29    29.22      1.925       -171     2.7min
  day090    90.0       6   3.606e+40     27.68       +29    27.68      2.044       -171     2.7min
  day100   100.0       6   6.610e+41    459.77       +29   459.77     48.753       -171     3.2min
  day110   110.0       6   4.410e+41    416.49       +29   416.49     46.896       -171     3.0min
  day120   120.0       6   2.424e+41    401.56       +29   401.56     49.399       -171     3.0min
  day130   130.0       6   8.340e+40    701.58       +29   701.58     76.456       -143     3.4min
  day140   140.0       6   2.303e+40    795.38       +29   795.38     74.946       -143     3.0min
  day150   150.0       6   2.502e+40   1133.89       +29  1133.89    204.558       -143     3.4min
  day160   160.0       6   2.554e+38      2.33        +0     2.33      1.029       -400     2.3min

Total batch runtime: 94.3 min
