         t-t0          tau          rho            T            r            v
   1.0399D+02   2.3866D+02   3.1261D-13   1.5885D+04   8.9610D+13   6.1900D-02
   1.0699D+02   2.1277D+02   2.9648D-13   1.5382D+04   9.1215D+13   6.1800D-02
   1.1099D+02   1.7746D+02   2.7669D-13   1.4622D+04   9.3350D+13   6.1700D-02
   1.1399D+02   1.5066D+02   2.6303D-13   1.3996D+04   9.4949D+13   6.1600D-02
   1.1699D+02   1.2420D+02   2.5003D-13   1.3274D+04   9.6545D+13   6.1500D-02
   1.2099D+02   8.9073D+01   2.3442D-13   1.2134D+04   9.8670D+13   6.1400D-02
   1.2399D+02   6.2462D+01   2.2336D-13   1.0965D+04   1.0026D+14   6.1400D-02
   1.2699D+02   3.5014D+01   2.1281D-13   9.1622D+03   1.0185D+14   6.1300D-02
   1.3099D+02   8.3578D+00   2.0045D-13   5.5590D+03   1.0397D+14   6.1200D-02
   1.3399D+02   5.3256D+00   1.9143D-13   4.7315D+03   1.0556D+14   6.1200D-02
   1.3699D+02   4.7020D+00   1.8281D-13   4.5920D+03   1.0715D+14   6.1100D-02
   1.4099D+02   4.0500D+00   1.7258D-13   4.4361D+03   1.0926D+14   6.1000D-02
   1.4399D+02   3.6625D+00   1.6520D-13   4.3351D+03   1.1084D+14   6.1000D-02
   1.4699D+02   3.3525D+00   1.5849D-13   4.2462D+03   1.1242D+14   6.0900D-02
