model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,10.0,1,Halpha,H,2.327610671624696e+40,-224.06214162784784,41334.21217886155,0.411905029477942
A1,10.0,2,He_I_10830,He,1.0946363618679655e+40,-441.4385172937616,167540.7056021349,0.19371204488769952
A1,10.0,3,Hbeta,H,8.048626270791376e+39,-42.927158119305126,10278.072818374048,0.14243230973903243
A1,10.0,4,He_I_5876,He,6.39598896026625e+39,-48.39585044825155,77865.76008145559,0.11318645567903869
A1,10.0,5,Hgamma,H,3.78568479535759e+39,-17.321162458012473,3655.6484605349797,0.06699327452977898
A1,10.0,6,He_I_7065,He,2.242765823805988e+39,-32.19283829770831,10495.308090996099,0.039689048260038266
A1,10.0,7,Palpha,H,9.466466550333458e+38,-234.3641058504317,280293.39635907125,0.016752308412236804
A1,10.0,8,Pbeta,H,7.116157291235021e+38,-47.44389236891796,39195.67210966922,0.012593089619965692
A1,10.0,9,He_I_6678,He,1.3918424028449868e+38,-0.958620704924823,0.0,0.002463070362073653
A1,10.0,10,O_I_7774,metal,1.5327424042074728e+37,-0.2749105477057593,0.0,0.00027124136905012816
A1,10.0,11,C_III_1909,metal,1.0638504214360457e+35,-0.0010412387057188934,0.0,1.8826401878277335e-06
A1,10.0,12,O_I_6300,metal,9.296297210815463e+33,-9.934145286346656e-05,0.0,1.645116867411438e-07
A1,10.0,13,C_II_4267,metal,3.838382431675059e+33,-2.0614988325920686e-05,0.0,6.792583690824641e-08
A1,10.0,14,C_II_6580,metal,7.111757636108327e+32,-8.39986018424162e-06,0.0,1.2585303781480132e-08
A1,10.0,15,O_III_5007,metal,7.268069541305368e+27,-4.918635199164884e-11,0.0,1.2861920746262298e-13
A1,10.0,16,Ne_III_3869,metal,4.572139550188499e+23,-0.0,0.0,8.091075106143523e-18
A1,10.0,17,He_II_1640,He,3.760303627655139e+20,0.8161672007601475,1.789207571924386e-16,6.65441173421912e-21
A1,10.0,18,He_II_4686,He,5.555062457362028e+19,5.900698446897532,9.882133624046704e-25,9.830502124542837e-22
A1,10.0,19,He_II_3203,He,2.4079906242927604e+19,1.0278247991181273,7.39527724228413e-26,4.261294473227288e-22
A1,10.0,20,C_IV_1549,metal,5.566858542677654e+18,-0.0,0.0,9.851377036867695e-23
A1,10.0,21,He_II_10124,He,4.747023002812863e+18,-1.165583281495418,1e-30,8.400557162514065e-23
A1,10.0,22,C_III_4647,metal,1.2447879369033296e+17,-0.0,0.0,2.202835801083773e-24
A1,10.0,23,C_III_5696,metal,1.6927474267321378e+16,-0.0,0.0,2.995566170952994e-25
A1,10.0,24,C_IV_5801,metal,3.1373781561458386e-09,-0.0,0.0,5.552053260645446e-50
A1,20.0,1,Halpha,H,4.34937156941085e+40,-362.5294871620898,31560.808148503846,0.5180994398198571
A1,20.0,2,Hbeta,H,1.4742566863635644e+40,-107.3523890569813,7139.372403849138,0.17561423556624398
A1,20.0,3,He_I_10830,He,9.448552701588188e+39,-322.2578235359073,121778.60703879158,0.11255165910012914
A1,20.0,4,Hgamma,H,6.958649245295712e+39,-215.02084651278068,2393.7583389773763,0.08289179754717843
A1,20.0,5,He_I_5876,He,3.7896349992089684e+39,-74.40829792443398,25193.389679844986,0.04514233237786688
A1,20.0,6,Palpha,H,1.7678655828324007e+39,-1256.2766197598596,170625.55630568438,0.021058908247435396
A1,20.0,7,He_I_7065,He,1.51074407742241e+39,-40.97353874433154,3424.358368387798,0.01799606328713233
A1,20.0,8,Pbeta,H,1.3250512839876856e+39,-3923.7133840572096,21023.471161002602,0.015784080918604847
A1,20.0,9,He_I_6678,He,8.913701174900002e+38,-13.93478048684849,657.0612396511351,0.010618047944942203
A1,20.0,10,O_I_7774,metal,1.7458047283607752e+37,-0.2603182964414659,0.0,0.0002079611818314009
