# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.9 d   T_phot: 11156.84581599873 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 5.5631e+26 erg/s   peak F = 1.000 @ Δv = +28.7 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   5.26e-11       1.6812e+31       5.5631e+26      -0.00       -0.00        1.000      -520.0
  HI      Hbeta            4861.33   7.38e-12       3.5618e+30       1.9486e+26      -0.00       -0.00        1.000     -1460.0
  HI      Hgamma           4340.47   2.48e-12       1.3077e+30       9.1445e+25      -0.00       -0.00        1.000     -2060.1
  HI      Palpha          18751.01   7.37e-12       9.8557e+29       2.2634e+25      -0.00       -0.00        1.000     -1420.0
  HI      Pbeta           12818.08   1.09e-12       3.8514e+29       1.7047e+25      -0.00       -0.00        1.000     -2060.1
# --- He I ---
  HeI     He_I_5876        5875.62   1.96e-07       5.1048e+37       5.1048e+37     -26.52      -26.52        1.152        +0.0
  HeI     He_I_6678        6678.15   9.17e-09       5.9733e+36       5.9733e+36     -20.81      -20.81        1.110        +0.0
  HeI     He_I_7065        7065.19   2.66e-08       2.3631e+37       2.3631e+37     -23.24      -23.24        1.115        +0.0
  HeI     He_I_10830      10830.34   1.11e-01       5.7465e+38       5.7465e+38    -107.18     -107.18        1.313        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   4.59e-28       4.6003e+25       4.6003e+25      -0.00       -0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   1.00e-30       2.9423e+24       2.9423e+24      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   1.00e-30       6.7878e+24       6.7878e+24      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   1.00e-30       5.8003e+23       5.8003e+23      -0.00       -0.00        1.000     -5000.1
