==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       1   1.858e+25      1.00        +0     1.00      1.000       -400     0.3min
day000.2     0.2       1   4.658e+25      1.00      +400     1.00      1.000       -400     0.2min
day000.3     0.3       1   9.835e+25      1.00        +0     1.00      1.000       -400     0.2min
day000.4     0.4       1   1.301e+26      1.00       +29     1.00      1.000       -400     0.2min
day000.5     0.5       2   2.019e+26      1.00      +171     1.00      1.000       -400     0.4min
day000.6     0.6       2   2.517e+26      1.00      +171     1.00      1.000       -400     0.4min
day000.7     0.7       2   3.117e+26      1.00        +0     1.00      1.000       -400     0.4min
day000.8     0.8       2   4.160e+26      1.00        +0     1.00      1.000       -400     0.4min
day000.9     0.9       2   5.563e+26      1.00        +0     1.00      1.000       -400     0.4min
  day001     1.0       2   1.030e+27      1.00       +29     1.00      1.000       -400     0.4min
  day002     2.0       2   2.539e+27      1.00      +286     1.00      1.000       -400     0.4min
  day003     3.0       2   3.835e+27      1.00        +0     1.00      1.000       -400     0.5min
  day004     4.0       2   5.663e+27      1.00        +0     1.00      1.000       -400     0.5min
  day005     5.0       2   6.175e+27      1.00      +314     1.00      1.000       -400     0.5min
  day006     6.0       2   6.063e+27      1.00      +543     1.00      1.000       -400     0.5min
  day007     7.0       2   1.247e+28      1.00        +0     1.00      1.000       -400     0.4min
  day008     8.0       2   1.657e+28      1.00       +86     1.00      1.000       -400     0.5min
  day009     9.0       2   1.899e+28      1.00        +0     1.00      1.000       -400     0.5min
  day010    10.0       2   1.769e+28      1.00       +86     1.00      1.000       -400     0.4min
  day020    20.0       2   1.376e+28      1.00       +29     1.00      1.000       -400     0.5min
  day030    30.0       2   5.439e+27      1.00      +143     1.00      1.000       -400     0.5min
  day040    40.0       2   1.779e+27      1.00      +200     1.00      1.000       -400     0.5min
  day050    50.0       2   7.549e+26      1.00       +57     1.00      1.000       -400     0.4min
  day060    60.0       2   4.250e+26      1.00       +29     1.00      1.000       -400     0.4min
  day070    70.0       2   2.796e+26      1.00       +29     1.00      1.000       -400     0.4min
  day080    80.0       2   1.912e+26      1.00        +0     1.00      1.000       -400     0.4min
  day090    90.0       2   0.000e+00       nan    -11477      nan        nan       -400     0.9min
  day100   100.0       2   3.417e+25      1.00        +0     1.00      1.000       -400     0.4min
  day110   110.0       2   1.926e+27      1.00        +0     1.00      1.000       -400     0.4min
  day120   120.0       6   1.996e+39      1.80       +57     1.80      0.739       -400     2.5min
  day130   130.0       6   1.223e+39      1.97       +29     1.97      0.812       -400     2.4min
  day140   140.0       6   6.274e+38      2.14       +29     2.14      0.886       -400     2.3min
  day150   150.0       6   2.813e+38      2.28       +29     2.28      0.939       -400     2.3min
  day160   160.0       6   1.323e+38      2.37       +29     2.37      0.967       -400     2.1min

Total batch runtime: 25.0 min
