# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 20.0 d   T_phot: 9548.114507356144 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.3760e+28 erg/s   peak F = 1.000 @ Δv = +28.7 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   2.21e-10       2.9053e+33       1.3760e+28      -0.00       -0.00        1.000       -20.0
  HI      Hbeta            4861.33   3.07e-11       4.7120e+32       4.7557e+27      -0.00       -0.00        1.000       -40.0
  HI      Hgamma           4340.47   1.03e-11       1.5295e+32       2.2371e+27      -0.00       -0.00        1.000      -220.0
  HI      Palpha          18751.01   1.50e-11       1.3039e+32       5.5962e+26      -0.00       -0.00        1.000      -240.0
  HI      Pbeta           12818.08   2.09e-12       4.5047e+31       4.2065e+26      -0.00       -0.00        1.000      -460.0
# --- He I ---
  HeI     He_I_5876        5875.62   5.23e-11       3.1840e+38       3.1840e+38     -20.93      -20.93        1.452        +0.0
  HeI     He_I_6678        6678.15   3.92e-12       1.6526e+37       1.6526e+37      +7.34       +7.34        1.248        +0.0
  HeI     He_I_7065        7065.19   7.09e-12       1.5983e+38       1.5983e+38     -10.80      -10.80        1.390        +0.0
  HeI     He_I_10830      10830.34   6.91e-02       7.0735e+39       7.0735e+39    -128.51     -128.51        1.701        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   1.00e-30       2.6470e+23       2.6470e+23      +0.00       +0.00        1.000       -20.0
  HeII    He_II_3203       3203.10   1.00e-30       1.6979e+22       1.6979e+22      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   2.56e-30       3.9168e+22       3.9168e+22      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   6.26e-30       3.3471e+21       3.3471e+21      -0.00       -0.00        1.000     -5000.1
