         t-t0          tau          rho            T            r            v
   7.0602D-03   3.9443D+10   7.7446D-03   8.6099D+06   9.2919D+10   5.7100D-02
   9.7060D-02   3.1902D+07   2.0559D-04   2.4831D+06   1.9839D+11   1.1530D-01
   4.9706D-01   6.5373D+05   2.7353D-06   6.1235D+05   8.1552D+11   1.4620D-01
   9.9706D-01   1.5103D+05   2.7990D-07   3.2659D+05   1.7424D+12   1.7230D-01
   1.9971D+00   2.9985D+04   2.3823D-08   1.8365D+05   3.9606D+12   2.0770D-01
   2.9971D+00   1.1544D+04   5.3703D-09   1.3274D+05   6.5097D+12   2.2930D-01
   3.9971D+00   5.7935D+03   1.8621D-09   1.0568D+05   9.2661D+12   2.4340D-01
   4.9971D+00   3.4407D+03   8.2794D-10   8.8716D+04   1.2141D+13   2.5150D-01
   5.9971D+00   2.2583D+03   4.3152D-10   7.6913D+04   1.5081D+13   2.5680D-01
   6.9971D+00   1.5860D+03   2.4774D-10   6.7608D+04   1.8147D+13   2.6160D-01
   7.9971D+00   1.1864D+03   1.5668D-10   6.0534D+04   2.1137D+13   2.6560D-01
   8.9971D+00   9.0819D+02   1.0375D-10   5.4576D+04   2.4255D+13   2.6900D-01
   9.9971D+00   7.1516D+02   7.2111D-11   4.9545D+04   2.7383D+13   2.7180D-01
   1.1997D+01   4.5905D+02   3.8637D-11   4.1495D+04   3.3722D+13   2.7590D-01
   1.3997D+01   3.0033D+02   2.2856D-11   3.5237D+04   4.0150D+13   2.7910D-01
   1.5997D+01   2.0759D+02   1.4488D-11   2.9785D+04   4.6770D+13   2.8120D-01
   1.7997D+01   1.5572D+02   9.8175D-12   2.5586D+04   5.3252D+13   2.8230D-01
   1.9997D+01   1.1913D+02   6.9343D-12   2.2491D+04   5.9753D+13   2.8290D-01
   2.1997D+01   8.7834D+01   5.0816D-12   1.9861D+04   6.6287D+13   2.8340D-01
   2.3997D+01   5.9460D+01   3.7931D-12   1.7219D+04   7.3081D+13   2.8380D-01
   2.5997D+01   3.4918D+01   2.9512D-12   1.4256D+04   7.9456D+13   2.8400D-01
   2.7997D+01   2.0663D+01   2.3281D-12   1.1272D+04   8.6033D+13   2.8400D-01
   2.9997D+01   1.4839D+01   1.8664D-12   9.7499D+03   9.2605D+13   2.8380D-01
   3.1997D+01   1.1609D+01   1.5171D-12   8.8920D+03   9.9197D+13   2.8360D-01
   3.3997D+01   9.0970D+00   1.2474D-12   8.1096D+03   1.0590D+14   2.8350D-01
   3.5997D+01   7.2747D+00   1.0447D-12   7.4645D+03   1.1233D+14   2.8330D-01
   3.7997D+01   5.8415D+00   8.7700D-13   6.9024D+03   1.1911D+14   2.8310D-01
   3.9997D+01   4.8206D+00   7.4989D-13   6.5013D+03   1.2544D+14   2.8300D-01
   4.1997D+01   3.9770D+00   6.4269D-13   6.1376D+03   1.3213D+14   2.8280D-01
   4.3997D+01   3.3114D+00   5.5335D-13   5.8479D+03   1.3881D+14   2.8260D-01
   4.5997D+01   2.8226D+00   4.8417D-13   5.6364D+03   1.4512D+14   2.8230D-01
   4.7997D+01   2.4077D+00   4.2364D-13   5.4450D+03   1.5179D+14   2.8200D-01
   4.9997D+01   2.0761D+00   3.7239D-13   5.2845D+03   1.5845D+14   2.8170D-01
   5.1997D+01   1.8150D+00   3.3113D-13   5.1404D+03   1.6475D+14   2.8140D-01
   5.3997D+01   1.5758D+00   2.9444D-13   5.0003D+03   1.7140D+14   2.8110D-01
   5.5997D+01   1.3729D+00   2.6242D-13   4.8641D+03   1.7804D+14   2.8090D-01
   5.7997D+01   1.2120D+00   2.3659D-13   4.7534D+03   1.8432D+14   2.8060D-01
   5.9997D+01   1.0668D+00   2.1281D-13   4.6345D+03   1.9095D+14   2.8040D-01
   6.1997D+01   9.4815D-01   1.9320D-13   4.5290D+03   1.9721D+14   2.8020D-01
   6.3997D+01   8.4895D-01   1.7498D-13   4.4361D+03   2.0383D+14   2.7990D-01
   6.5997D+01   7.5932D-01   1.5885D-13   4.3451D+03   2.1045D+14   2.7960D-01
   6.7997D+01   6.8956D-01   1.4555D-13   4.2756D+03   2.1669D+14   2.7910D-01
   6.9997D+01   6.2648D-01   1.3305D-13   4.1976D+03   2.2328D+14   2.7870D-01
   7.1997D+01   5.7541D-01   1.2190D-13   4.1400D+03   2.2986D+14   2.7820D-01
   7.3997D+01   5.2739D-01   1.1246D-13   4.0738D+03   2.3608D+14   2.7780D-01
   7.5997D+01   4.8736D-01   1.0375D-13   4.0087D+03   2.4264D+14   2.7730D-01
   7.7997D+01   4.5507D-01   9.6161D-14   3.9446D+03   2.4884D+14   2.7690D-01
   7.9997D+01   4.2214D-01   8.8920D-14   3.8815D+03   2.5538D+14   2.7650D-01
   8.1997D+01   3.9631D-01   8.2414D-14   3.8459D+03   2.6191D+14   2.7610D-01
   8.3997D+01   3.7202D-01   7.6913D-14   3.7931D+03   2.6808D+14   2.7580D-01
   8.5997D+01   3.4857D-01   7.1450D-14   3.7497D+03   2.7459D+14   2.7540D-01
   8.7997D+01   3.2710D-01   6.6681D-14   3.6983D+03   2.8109D+14   2.7480D-01
