         t-t0          tau          rho            T            r            v
  -6.8621D+00   1.0316D+05   7.1945D-08   2.3442D+05   2.9289D+12   3.2860D-01
  -6.7721D+00   8.5313D+04   5.5847D-08   2.1928D+05   3.1857D+12   3.2970D-01
  -6.3721D+00   4.3053D+04   2.2131D-08   1.7458D+05   4.3371D+12   3.3420D-01
  -5.8721D+00   2.2852D+04   9.2683D-09   1.4355D+05   5.7978D+12   3.3950D-01
  -4.8721D+00   9.1202D+03   2.6669D-09   1.0990D+05   8.7829D+12   3.4870D-01
  -3.8721D+00   4.8734D+03   1.0889D-09   9.0991D+04   1.1841D+13   3.5630D-01
  -2.8721D+00   3.0135D+03   5.3951D-10   7.8343D+04   1.4960D+13   3.6230D-01
  -1.8721D+00   2.0464D+03   3.0339D-10   6.9183D+04   1.8122D+13   3.6660D-01
  -8.7210D-01   1.4906D+03   1.8664D-10   6.2087D+04   2.1319D+13   3.7020D-01
   1.2790D-01   1.1330D+03   1.2218D-10   5.6234D+04   2.4545D+13   3.7330D-01
   1.1279D+00   8.8993D+02   8.4140D-11   5.1404D+04   2.7797D+13   3.7590D-01
   2.1279D+00   7.1241D+02   6.0256D-11   4.7424D+04   3.1070D+13   3.7810D-01
   3.1279D+00   5.7766D+02   4.4566D-11   4.3853D+04   3.4362D+13   3.8000D-01
   5.1279D+00   3.8653D+02   2.6242D-11   3.7931D+04   4.0991D+13   3.8320D-01
   7.1279D+00   2.6972D+02   1.6672D-11   3.2961D+04   4.7669D+13   3.8560D-01
   9.1279D+00   1.9994D+02   1.1246D-11   2.8774D+04   5.4383D+13   3.8730D-01
   1.1128D+01   1.5650D+02   7.9068D-12   2.5468D+04   6.1121D+13   3.8840D-01
   1.3128D+01   1.2371D+02   5.7810D-12   2.2803D+04   6.7871D+13   3.8910D-01
   1.5128D+01   9.6270D+01   4.3451D-12   2.0559D+04   7.4635D+13   3.8960D-01
   1.7128D+01   7.2717D+01   3.3497D-12   1.8493D+04   8.1410D+13   3.9010D-01
   1.9128D+01   5.1652D+01   2.6363D-12   1.6406D+04   8.8186D+13   3.9050D-01
   2.1128D+01   3.3804D+01   2.1086D-12   1.4028D+04   9.4976D+13   3.9090D-01
   2.3128D+01   2.1981D+01   1.7140D-12   1.1614D+04   1.0177D+14   3.9100D-01
   2.5128D+01   1.6202D+01   1.4125D-12   1.0375D+04   1.0856D+14   3.9110D-01
   2.7128D+01   1.2577D+01   1.1776D-12   9.4189D+03   1.1536D+14   3.9110D-01
   2.9128D+01   9.6556D+00   9.9083D-13   8.5310D+03   1.2222D+14   3.9110D-01
   3.1128D+01   7.4671D+00   8.3946D-13   7.7804D+03   1.2918D+14   3.9110D-01
   3.3128D+01   6.0481D+00   7.1614D-13   7.2444D+03   1.3611D+14   3.9110D-01
   3.5128D+01   4.9206D+00   6.1660D-13   6.7764D+03   1.4310D+14   3.9110D-01
   3.7128D+01   4.0838D+00   5.3456D-13   6.4121D+03   1.5003D+14   3.9110D-01
   3.9128D+01   3.3982D+00   4.6666D-13   6.0954D+03   1.5703D+14   3.9110D-01
   4.1128D+01   2.8725D+00   4.1020D-13   5.8479D+03   1.6397D+14   3.9110D-01
   4.3128D+01   2.4552D+00   3.6141D-13   5.6494D+03   1.7097D+14   3.9110D-01
   4.5128D+01   2.1121D+00   3.2063D-13   5.4702D+03   1.7797D+14   3.9110D-01
   4.7128D+01   1.8425D+00   2.8576D-13   5.3211D+03   1.8491D+14   3.9110D-01
   4.9128D+01   1.6061D+00   2.5586D-13   5.1761D+03   1.9192D+14   3.9110D-01
   5.1128D+01   1.4116D+00   2.2961D-13   5.0582D+03   1.9886D+14   3.9110D-01
   5.3128D+01   1.2349D+00   2.0701D-13   4.9317D+03   2.0587D+14   3.9110D-01
   5.5128D+01   1.0877D+00   1.8750D-13   4.8084D+03   2.1281D+14   3.9110D-01
   5.7128D+01   9.5653D-01   1.7022D-13   4.6666D+03   2.1982D+14   3.9110D-01
   5.9128D+01   8.4882D-01   1.5488D-13   4.6132D+03   2.2682D+14   3.9110D-01
   6.1128D+01   7.5767D-01   1.4158D-13   4.5186D+03   2.3377D+14   3.9110D-01
   6.3128D+01   6.7902D-01   1.2942D-13   4.4361D+03   2.4078D+14   3.9110D-01
   6.5128D+01   6.0497D-01   1.1885D-13   4.3351D+03   2.4772D+14   3.9110D-01
   6.7128D+01   5.4603D-01   1.0940D-13   4.2756D+03   2.5473D+14   3.9110D-01
   6.9128D+01   4.9608D-01   1.0093D-13   4.2073D+03   2.6168D+14   3.9110D-01
   7.1128D+01   4.5302D-01   9.3111D-14   4.1495D+03   2.6869D+14   3.9110D-01
   7.3128D+01   4.1643D-01   8.6298D-14   4.1115D+03   2.7570D+14   3.9110D-01
   7.5128D+01   3.8908D-01   7.9983D-14   4.0832D+03   2.8265D+14   3.9110D-01
   7.7128D+01   3.5838D-01   7.4302D-14   4.0179D+03   2.8966D+14   3.9100D-01
   7.9128D+01   3.3426D-01   6.9183D-14   3.9811D+03   2.9661D+14   3.9100D-01
   8.1128D+01   3.1122D-01   6.4565D-14   3.9264D+03   3.0362D+14   3.9100D-01
