# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.6 d   T_phot: 20875.96947471602 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 4.2363e+26 erg/s   peak F = 1.030 @ Δv = +285.6 km/s   EW = -2.38 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.58e-08       1.1785e+33       4.2363e+26      -6.07       -0.00        1.000      -640.0
  HI      Hbeta            4861.33   2.27e-09       3.3398e+32       1.5346e+26      -1.89       -0.00        1.000     -3080.1
  HI      Hgamma           4340.47   7.69e-10       1.4072e+32       7.1589e+25      +3.66       +0.00        1.000       +80.0
  HI      Palpha          18751.01   6.65e-09       9.2414e+31       1.7253e+25      -4.56       -0.00        1.000     -1060.0
  HI      Pbeta           12818.08   1.09e-09       4.1443e+31       1.3058e+25      -6.91       -0.00        1.000       +80.0
# --- He I ---
  HeI     He_I_5876        5875.62   3.37e+03       1.0870e+40       3.9073e+33     -13.63       -0.00        1.000      +640.0
  HeI     He_I_6678        6678.15   9.91e+01       2.0130e+40       7.2361e+33     -68.93       -0.00        1.000       +40.0
  HeI     He_I_7065        7065.19   4.58e+02       1.8377e+39       6.6058e+32      +2.55       +0.00        1.000     +2100.1
  HeI     He_I_10830      10830.34   2.12e+04       1.2515e+40       4.4987e+33    -215.15       -0.00        1.000     -1400.0
# --- He II ---
  HeII    He_II_1640       1640.42   6.63e+00       5.1376e+38       1.8468e+32      +1.91       +0.00        1.000     -2180.1
  HeII    He_II_3203       3203.10   4.37e-07       3.4832e+37       3.4832e+37      +2.23       +2.23        1.645      +160.0
  HeII    He_II_4686       4685.71   4.00e-06       1.1237e+38       1.1237e+38      -0.14       -0.14        1.506     -1080.0
  HeII    He_II_10124     10123.60   2.58e-07       6.9154e+36       6.9154e+36      +0.85       +0.85        1.533     -1600.0
