==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       1   4.122e+26      1.28    +15874     1.18      0.915        -86     0.3min
day000.2     0.2       1   4.207e+26      1.28      +771     1.16      0.955       -400     0.3min
day000.3     0.3       1   4.214e+26      1.23     +6481     1.01      0.941       -342     0.3min
day000.4     0.4       1   4.222e+26      1.26     -5939     1.14      0.982       -114     0.3min
day000.5     0.5       1   4.229e+26      1.27    +12962     1.05      0.982       -314     0.3min
day000.6     0.6       1   4.236e+26      1.34    +14932     1.03      0.939       -342     0.3min
day000.7     0.7       1   4.244e+26      1.31      -571     1.11      0.784       -257     0.3min
day000.8     0.8       1   4.251e+26      1.31    -15275     1.17      0.865        -57     0.3min
day000.9     0.9       1   4.399e+26      1.27    +11820     1.14      0.809       -400     0.3min
  day001     1.0       1   4.414e+26      1.32     +3112     1.15      0.960       -143     0.3min
  day002     2.0       1   5.872e+26      1.31     -3140     1.17      0.800       -228     0.3min
  day003     3.0       1   1.530e+27      1.32     +3969     1.16      0.879       -400     0.2min
  day004     4.0       1   1.937e+27      1.31      -799     1.12      0.817       -371     0.2min
  day005     5.0       1   7.644e+27      1.36    +11306     1.11      0.837       -371     0.2min
  day006     6.0       1   4.058e+27      1.33     +8851     1.18      0.853       -342     0.2min
  day007     7.0       1   1.562e+28      1.37    +17673     1.21      0.933       -314     0.2min
  day008     8.0       1   1.458e+28      1.28     -8679     1.10      0.815        -28     0.2min
  day009     9.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     0.8min
  day010    10.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     0.9min
  day020    20.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     1.1min
  day030    30.0       1   0.000e+00       nan    -10507      nan        nan       -400     1.1min
  day040    40.0       2   0.000e+00       nan    -10478      nan        nan       -400     1.1min
  day050    50.0       2   0.000e+00       nan    -10592      nan        nan       -400     1.0min
  day060    60.0       2   3.751e+26      1.00       +29     1.00      1.000       -400     0.4min
  day070    70.0       2   2.429e+26      1.00       +29     1.00      1.000       -400     0.4min
  day080    80.0       2   1.579e+26      1.00       +29     1.00      1.000       -400     0.4min
  day090    90.0       2   9.983e+25      1.00       +29     1.00      1.000       -400     0.4min
  day100   100.0       2   6.119e+25      1.00        +0     1.00      1.000       -400     0.4min
  day110   110.0       2   7.507e+26      1.00        +0     1.00      1.000       -400     0.4min
  day120   120.0       6   1.996e+39      1.80       +57     1.80      0.739       -400     2.5min
  day130   130.0       6   1.223e+39      1.97       +29     1.97      0.812       -400     2.4min
  day140   140.0       6   6.274e+38      2.14       +29     2.14      0.886       -400     2.3min
  day150   150.0       6   2.813e+38      2.28       +29     2.28      0.939       -400     2.2min
  day160   160.0       6   1.323e+38      2.37       +29     2.37      0.967       -400     2.1min

Total batch runtime: 40.9 min
