         t-t0          tau          rho            T            r            v
  -2.5501D+01   2.5247D+05   7.1285D-11   4.8195D+04   1.5384D+13   4.0610D-01
  -2.5411D+01   2.4365D+05   6.6527D-11   4.8084D+04   1.5699D+13   4.0410D-01
  -2.5011D+01   2.1032D+05   5.0003D-11   4.7643D+04   1.7083D+13   3.9630D-01
  -2.4511D+01   1.8042D+05   3.6644D-11   4.6881D+04   1.8777D+13   3.8790D-01
  -2.3511D+01   1.3670D+05   2.1928D-11   4.5290D+04   2.2071D+13   3.7480D-01
  -2.2511D+01   1.0601D+05   1.4388D-11   4.5499D+04   2.5262D+13   3.6180D-01
  -2.1511D+01   8.6142D+04   1.0375D-11   6.5917D+04   2.8100D+13   2.7120D-01
  -2.0511D+01   7.4660D+04   8.6497D-12   7.8524D+04   2.9799D+13   1.3690D-01
  -1.9511D+01   6.3151D+04   7.9250D-12   8.1658D+04   3.0666D+13   7.3700D-02
  -1.8511D+01   5.3191D+04   7.5509D-12   8.2414D+04   3.1166D+13   4.6000D-02
  -1.7511D+01   4.5176D+04   7.3114D-12   8.2414D+04   3.1494D+13   3.1800D-02
  -1.6511D+01   3.8867D+04   7.1450D-12   8.2224D+04   3.1731D+13   2.4100D-02
  -1.5511D+01   3.4137D+04   7.0146D-12   8.1846D+04   3.1921D+13   2.0200D-02
  -1.3511D+01   2.7068D+04   6.8077D-12   8.0724D+04   3.2250D+13   1.8900D-02
  -1.1511D+01   2.1868D+04   6.5917D-12   7.9068D+04   3.2600D+13   2.2000D-02
  -9.5109D+00   1.8124D+04   6.3387D-12   7.7090D+04   3.3023D+13   2.7000D-02
  -7.5109D+00   1.5358D+04   6.0395D-12   7.4989D+04   3.3538D+13   3.2500D-02
  -5.5109D+00   1.3283D+04   5.7148D-12   7.2611D+04   3.4148D+13   3.7900D-02
  -3.5109D+00   1.1753D+04   5.3827D-12   7.0146D+04   3.4849D+13   4.2800D-02
  -1.5109D+00   1.0388D+04   5.0234D-12   6.7608D+04   3.5630D+13   4.7200D-02
   4.8907D-01   9.1935D+03   4.6774D-12   6.5013D+04   3.6480D+13   5.0900D-02
   2.4891D+00   8.1736D+03   4.3451D-12   6.2517D+04   3.7389D+13   5.4000D-02
   4.4891D+00   7.2970D+03   4.0272D-12   6.0117D+04   3.8345D+13   5.6500D-02
   6.4891D+00   6.5472D+03   3.7239D-12   5.7810D+04   3.9340D+13   5.8500D-02
   8.4891D+00   5.9100D+03   3.4435D-12   5.5463D+04   4.0368D+13   6.0300D-02
   1.0489D+01   5.3533D+03   3.1842D-12   5.3333D+04   4.1423D+13   6.1700D-02
   1.2489D+01   4.8664D+03   2.9512D-12   5.1286D+04   4.2500D+13   6.2800D-02
   1.4489D+01   4.4305D+03   2.7290D-12   4.9317D+04   4.3596D+13   6.3800D-02
   1.6489D+01   4.0371D+03   2.5293D-12   4.7424D+04   4.4705D+13   6.4500D-02
   1.8489D+01   3.6833D+03   2.3496D-12   4.5709D+04   4.5826D+13   6.5100D-02
   2.0489D+01   3.3634D+03   2.1827D-12   4.4055D+04   4.6956D+13   6.5500D-02
   2.2489D+01   3.0747D+03   2.0324D-12   4.2560D+04   4.8091D+13   6.5700D-02
   2.4489D+01   2.8182D+03   1.8923D-12   4.1115D+04   4.9228D+13   6.5800D-02
   2.6489D+01   2.5899D+03   1.7660D-12   3.9719D+04   5.0366D+13   6.5800D-02
   2.8489D+01   2.3804D+03   1.6520D-12   3.8459D+04   5.1505D+13   6.5900D-02
   3.0489D+01   2.1875D+03   1.5488D-12   3.7239D+04   5.2643D+13   6.5800D-02
   3.2489D+01   2.0118D+03   1.4521D-12   3.6058D+04   5.3781D+13   6.5800D-02
   3.4489D+01   1.8532D+03   1.3614D-12   3.4914D+04   5.4918D+13   6.5700D-02
   3.6489D+01   1.7099D+03   1.2794D-12   3.3884D+04   5.6054D+13   6.5600D-02
   3.8489D+01   1.5810D+03   1.2050D-12   3.2885D+04   5.7187D+13   6.5500D-02
   4.0489D+01   1.4653D+03   1.1376D-12   3.1915D+04   5.8319D+13   6.5400D-02
   4.2489D+01   1.3605D+03   1.0740D-12   3.0974D+04   5.9448D+13   6.5200D-02
   4.4489D+01   1.2654D+03   1.0139D-12   3.0130D+04   6.0574D+13   6.5100D-02
   4.6489D+01   1.1794D+03   9.5940D-13   2.9242D+04   6.1698D+13   6.4900D-02
   4.8489D+01   1.1014D+03   9.0991D-13   2.8445D+04   6.2819D+13   6.4800D-02
   5.0489D+01   1.0306D+03   8.6298D-13   2.7669D+04   6.3937D+13   6.4600D-02
   5.2489D+01   9.6662D+02   8.1846D-13   2.6915D+04   6.5053D+13   6.4500D-02
   5.4489D+01   9.0858D+02   7.7804D-13   2.6182D+04   6.6167D+13   6.4400D-02
   5.6489D+01   8.5643D+02   7.3961D-13   2.5468D+04   6.7279D+13   6.4200D-02
   5.8489D+01   8.1033D+02   7.0469D-13   2.4774D+04   6.8389D+13   6.4100D-02
   6.0489D+01   7.6661D+02   6.7143D-13   2.4155D+04   6.9496D+13   6.4000D-02
   6.2489D+01   7.2463D+02   6.3973D-13   2.3550D+04   7.0602D+13   6.3900D-02
   6.4489D+01   6.8441D+02   6.1094D-13   2.3014D+04   7.1704D+13   6.3700D-02
   6.6489D+01   6.4605D+02   5.8345D-13   2.2439D+04   7.2805D+13   6.3600D-02
   6.8489D+01   6.0967D+02   5.5847D-13   2.1928D+04   7.3903D+13   6.3500D-02
   7.0489D+01   5.7532D+02   5.3333D-13   2.1429D+04   7.4999D+13   6.3300D-02
   7.2489D+01   5.4289D+02   5.1168D-13   2.0941D+04   7.6093D+13   6.3200D-02
   7.4489D+01   5.1329D+02   4.8978D-13   2.0464D+04   7.7185D+13   6.3100D-02
   7.7489D+01   4.7171D+02   4.6026D-13   1.9815D+04   7.8818D+13   6.2900D-02
   8.0489D+01   4.3372D+02   4.3251D-13   1.9187D+04   8.0447D+13   6.2700D-02
   8.4489D+01   3.8683D+02   3.9902D-13   1.8408D+04   8.2612D+13   6.2500D-02
   8.7489D+01   3.5417D+02   3.7670D-13   1.7824D+04   8.4231D+13   6.2300D-02
   9.0489D+01   3.2336D+02   3.5563D-13   1.7298D+04   8.5845D+13   6.2200D-02
   9.4489D+01   2.8514D+02   3.3037D-13   1.6634D+04   8.7992D+13   6.2000D-02
   9.7489D+01   2.5832D+02   3.1261D-13   1.6106D+04   8.9598D+13   6.1800D-02
   1.0049D+02   2.3242D+02   2.9648D-13   1.5631D+04   9.1201D+13   6.1700D-02
   1.0449D+02   1.9772D+02   2.7669D-13   1.4928D+04   9.3332D+13   6.1600D-02
   1.0749D+02   1.7134D+02   2.6303D-13   1.4388D+04   9.4928D+13   6.1500D-02
   1.1049D+02   1.4486D+02   2.5003D-13   1.3772D+04   9.6521D+13   6.1400D-02
   1.1449D+02   1.1054D+02   2.3442D-13   1.2823D+04   9.8641D+13   6.1300D-02
   1.1749D+02   8.5147D+01   2.2336D-13   1.1940D+04   1.0023D+14   6.1200D-02
   1.2049D+02   5.9268D+01   2.1330D-13   1.0715D+04   1.0182D+14   6.1200D-02
   1.2449D+02   2.4499D+01   2.0045D-13   8.0910D+03   1.0393D+14   6.1100D-02
   1.2749D+02   7.3452D+00   1.9143D-13   5.2845D+03   1.0551D+14   6.1000D-02
   1.3049D+02   5.0878D+00   1.8323D-13   4.6666D+03   1.0710D+14   6.1000D-02
   1.3449D+02   4.3722D+00   1.7298D-13   4.5082D+03   1.0920D+14   6.0900D-02
   1.3749D+02   3.9309D+00   1.6558D-13   4.3954D+03   1.1078D+14   6.0800D-02
