 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      0.000000E+00       4.293100E+01       4.176335E+01
      1.020275E+00       4.293100E+01       4.175043E+01
      2.062548E+00       4.292700E+01       4.173799E+01
      3.063200E+00       4.292300E+01       4.172673E+01
      4.102327E+00       4.290900E+01       4.171575E+01
      5.105848E+00       4.289700E+01       4.170569E+01
      6.130684E+00       4.288900E+01       4.169592E+01
      7.157816E+00       4.286400E+01       4.168673E+01
      8.165037E+00       4.284800E+01       4.167815E+01
      9.173452E+00       4.282400E+01       4.166997E+01
      1.018383E+01       4.280000E+01       4.166219E+01
      1.126332E+01       4.277900E+01       4.165427E+01
      1.227378E+01       4.274900E+01       4.164719E+01
      1.327062E+01       4.273000E+01       4.164048E+01
      1.436235E+01       4.269600E+01       4.163347E+01
      1.537897E+01       4.267200E+01       4.162716E+01
      1.639331E+01       4.264100E+01       4.162107E+01
      1.741757E+01       4.261900E+01       4.161521E+01
      1.849492E+01       4.258800E+01       4.160917E+01
      1.967970E+01       4.256200E+01       4.160282E+01
      2.086688E+01       4.253000E+01       4.159660E+01
      2.203477E+01       4.250600E+01       4.159051E+01
      2.305575E+01       4.249600E+01       4.158557E+01
      2.416371E+01       4.245700E+01       4.158024E+01
      2.520524E+01       4.243900E+01       4.157530E+01
      2.621212E+01       4.242800E+01       4.157054E+01
      2.732382E+01       4.241300E+01       4.156549E+01
      2.836484E+01       4.239600E+01       4.156074E+01
      2.952642E+01       4.238600E+01       4.155558E+01
      3.065850E+01       4.237700E+01       4.155060E+01
      3.175970E+01       4.236800E+01       4.154593E+01
      3.278902E+01       4.236000E+01       4.154145E+01
      3.387720E+01       4.234400E+01       4.153681E+01
      3.494871E+01       4.233000E+01       4.153224E+01
      3.604392E+01       4.231900E+01       4.152776E+01
      3.709211E+01       4.230700E+01       4.152336E+01
      3.827458E+01       4.229300E+01       4.151851E+01
      3.932277E+01       4.228200E+01       4.151415E+01
      4.033483E+01       4.227100E+01       4.151001E+01
      4.145530E+01       4.225900E+01       4.150542E+01
      4.249611E+01       4.224900E+01       4.150133E+01
      4.352600E+01       4.224200E+01       4.149707E+01
      4.455300E+01       4.223400E+01       4.149304E+01
      4.556999E+01       4.223000E+01       4.148897E+01
      4.658755E+01       4.222600E+01       4.148487E+01
      4.767340E+01       4.222100E+01       4.148044E+01
      4.872644E+01       4.221700E+01       4.147625E+01
      5.001002E+01       4.220900E+01       4.147129E+01
      5.101756E+01       4.220600E+01       4.146716E+01
      5.202494E+01       4.220600E+01       4.146330E+01
      5.305192E+01       4.220400E+01       4.145909E+01
      5.411303E+01       4.220000E+01       4.145500E+01
      5.524301E+01       4.219700E+01       4.145056E+01
      5.629331E+01       4.219500E+01       4.144623E+01
      5.732318E+01       4.219300E+01       4.144232E+01
      5.839305E+01       4.219000E+01       4.143807E+01
      5.939629E+01       4.218700E+01       4.143409E+01
      6.046408E+01       4.218400E+01       4.142975E+01
      6.150133E+01       4.218100E+01       4.142586E+01
      6.255276E+01       4.217900E+01       4.142144E+01
      6.359761E+01       4.217700E+01       4.141764E+01
      6.470822E+01       4.217400E+01       4.141280E+01
      6.571746E+01       4.217100E+01       4.140926E+01
      6.678748E+01       4.216700E+01       4.140483E+01
