# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 50.0 d   T_phot: 6015.14210451247 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.2098e+42 erg/s   peak F = 17.123 @ Δv = +399.8 km/s   EW = -6750.51 Å
#
# species  line          λ_rest[Å]   τ_med     L_line[erg/s]    L_cont_band[erg/s]   EW[Å]     peak F   peak Δv[km/s]
# ----------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.50e-01       5.5391e+39         2.1349e+40    -32.25     3.228     +3060.1
  HI      Hbeta            4861.33   8.97e-02       5.0686e+39         1.9423e+40    -17.97     2.362     +1960.0
  HI      Hgamma           4340.47   3.00e-02       4.5527e+39         1.6878e+40    -13.98     1.896     -4840.1
  HI      Palpha          18751.01   1.58e-04       1.6967e+39         4.6290e+39    -74.00     2.176     -4980.1
  HI      Pbeta           12818.08   2.12e-05       2.3614e+39         1.0014e+40   -140.29     2.086     -3760.1
# --- He I ---
  HeI     He_I_5876        5875.62   5.93e-04       1.5489e+39         2.1495e+40   -222.96     4.605     -1660.0
  HeI     He_I_6678        6678.15   1.01e-07       1.3145e+39         2.1243e+40   -295.11     5.264     -1700.0
  HeI     He_I_7065        7065.19   8.06e-05       6.5991e+38         2.0762e+40   -302.17     5.082     -1880.0
  HeI     He_I_10830      10830.34   3.06e+02       5.1531e+38         1.3245e+40    +50.53     2.768     +3660.1
# --- He II ---
  HeII    He_II_1640       1640.42   1.40e-30       1.9122e+25         9.5089e+37     +1.69     1.608     -3920.1
  HeII    He_II_3203       3203.10   1.00e-30       1.2048e+24         8.0147e+39     -1.01     1.464      -860.0
  HeII    He_II_4686       4685.71   4.95e-30       2.7799e+24         1.8689e+40     -2.94     1.563      +660.0
  HeII    He_II_10124     10123.60   1.24e-29       2.3751e+23         1.4613e+40     +3.17     1.289     +2040.1
