# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 30.0 d   T_phot: 6240.635187584639 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 7.0056e+40 erg/s   peak F = 1.154 @ Δv = +171.4 km/s   EW = +49.18 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   5.09e+02       4.1987e+41       7.0056e+40     -13.41       -2.24        1.052        +0.0
  HI      Hbeta            4861.33   7.33e+01       3.0473e+40       2.3626e+40      -5.84       -4.53        1.224        +0.0
  HI      Hgamma           4340.47   2.45e+01       6.3156e+39       1.1162e+40      -3.18       -5.63        1.485        +0.0
  HI      Palpha          18751.01   2.03e+02       2.8506e+38       2.8471e+39     -14.33     -143.11        3.751        +0.0
  HI      Pbeta           12818.08   2.49e+01       1.5377e+38       2.1324e+39      -2.07      -28.66        4.561        +0.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.39e+00       2.4739e+39       4.1277e+38      +4.01       +0.67        1.037        +0.0
  HeI     He_I_6678        6678.15   4.00e-05       9.7076e+38       9.7076e+38      +8.70       +8.70        1.143        +0.0
  HeI     He_I_7065        7065.19   1.90e-01       1.9171e+39       1.9171e+39      +7.50       +7.50        1.196        +0.0
  HeI     He_I_10830      10830.34   2.90e+03       6.2623e+39       1.0449e+39     -55.14       -9.20        1.068        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   1.00e-30       5.2521e+08       5.2521e+08      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10   1.00e-30       8.2100e+05       8.2100e+05      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   2.95e-30       2.3919e+06       2.3919e+06      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   7.42e-30       1.6185e+05       1.6185e+05      -0.00       -0.00        1.000     -5000.1
