==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
  day010    10.0       2   2.328e+40      1.06      +257     1.06      1.056       -400     0.6min
  day020    20.0       3   4.349e+40      1.13      +114     1.13      1.122       -400     1.0min
  day030    30.0       6   7.006e+40      1.15      +171     1.15      1.144       -400     1.6min
  day040    40.0       6   8.055e+40      1.20       +86     1.20      1.185       -400     1.8min
  day050    50.0       6   9.967e+40      1.23      +114     1.23      1.209       -400     1.8min
  day060    60.0       6   1.056e+41      1.26      +114     1.26      1.234       -400     2.0min
  day070    70.0       6   1.180e+41      1.29      +114     1.29      1.252       -400     2.2min
  day080    80.0       6   1.018e+41      1.33      +114     1.33      1.279       -400     2.1min
  day090    90.0       6   9.343e+40      1.36      +114     1.36      1.294       -400     2.2min
  day100   100.0       6   6.580e+40      1.39      +143     1.39      1.297       -400     2.4min
  day110   110.0       6   5.436e+40      1.42      +143     1.42      1.276       -400     2.6min
  day120   120.0       6   2.898e+40      1.48      +143     1.48      1.223       -400     2.5min
  day130   130.0       6   4.493e+39      1.64      +143     1.64      0.771       -400     2.7min
  day140   140.0       6   2.588e+39      1.69       +86     1.69      0.659       -400     2.7min
  day150   150.0       6   1.265e+39      1.88       +57     1.88      0.752       -400     2.5min
  day160   160.0       6   6.827e+38      2.02       +29     2.02      0.805       -400     2.5min

Total batch runtime: 33.8 min
