# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 90.0 d   T_phot: 5960.702042295274 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 9.3428e+40 erg/s   peak F = 1.357 @ Δv = +114.3 km/s   EW = +53.33 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   4.74e+03       4.2694e+41       9.3428e+40      -4.08       -0.89        1.160        +0.0
  HI      Hbeta            4861.33   6.80e+02       1.7479e+40       3.1416e+40      +2.47       +4.45        2.230        +0.0
  HI      Hgamma           4340.47   2.27e+02       7.7933e+39       1.4850e+40      +3.93       +7.49        2.237        +0.0
  HI      Palpha          18751.01   1.89e+03       1.3252e+38       3.7966e+39     +21.26     +609.20       18.663        +0.0
  HI      Pbeta           12818.08   2.31e+02       1.4646e+38       2.8423e+39     +14.46     +280.67       12.227        +0.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.78e+01       1.1586e+39       2.5354e+38      +6.03       +1.32        1.102        +0.0
  HeI     He_I_6678        6678.15   1.02e-03       7.3232e+38       7.3232e+38      +3.29       +3.29        1.156        +0.0
  HeI     He_I_7065        7065.19   2.42e+00       1.0161e+39       2.2236e+38      +6.57       +1.44        1.085        +0.0
  HeI     He_I_10830      10830.34   1.34e+04       2.5503e+39       5.5810e+38     -65.71      -14.38        1.195        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.53e-30       3.8617e+08       3.8617e+08      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10   1.00e-30       5.9744e+04       5.9744e+04      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   8.92e-30       4.4633e+05       4.4633e+05      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   2.25e-29       1.1778e+04       1.1778e+04      -0.00       -0.00        1.000     -5000.1
