         t-t0          tau          rho            T            r            v
   1.2296D+02   3.2869D+01   5.2360D-15   9.8855D+03   2.0398D+14   1.6160D-01
   1.2596D+02   1.7144D+01   4.9204D-15   8.2224D+03   2.0829D+14   1.6170D-01
   1.2996D+02   2.5445D+00   4.5394D-15   3.9719D+03   2.1403D+14   1.6170D-01
   1.3296D+02   2.3819D+00   4.2756D-15   3.7325D+03   2.1834D+14   1.6170D-01
   1.3596D+02   2.2730D+00   4.0272D-15   3.6058D+03   2.2265D+14   1.6170D-01
   1.3996D+02   2.1626D+00   3.7325D-15   3.5156D+03   2.2838D+14   1.6170D-01
   1.4296D+02   2.0814D+00   3.5318D-15   3.4435D+03   2.3271D+14   1.6170D-01
   1.4596D+02   2.0054D+00   3.3420D-15   3.3806D+03   2.3700D+14   1.6160D-01
   1.4996D+02   1.9108D+00   3.1117D-15   3.2885D+03   2.4274D+14   1.6160D-01
   1.5296D+02   1.8442D+00   2.9512D-15   3.2285D+03   2.4706D+14   1.6160D-01
   1.5596D+02   1.7821D+00   2.7990D-15   3.1769D+03   2.5136D+14   1.6160D-01
   1.5996D+02   1.7042D+00   2.6182D-15   3.1189D+03   2.5710D+14   1.6160D-01
   1.6296D+02   1.6500D+00   2.4889D-15   3.0479D+03   2.6139D+14   1.6160D-01
   1.6596D+02   1.5985D+00   2.3714D-15   2.9992D+03   2.6569D+14   1.6160D-01
