# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 4.0 d   T_phot: 9137.924268233 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 9.9335e+39 erg/s   peak F = 5.243 @ Δv = +28.7 km/s   EW = -39.39 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.24e+04       7.6269e+44       9.9335e+39  -3254708.09      -42.39        8.313      +100.0
  HI      Hbeta            4861.33   7.75e+03       1.0434e+41       3.4216e+39    -232.69       -7.63        1.985        +0.0
  HI      Hgamma           4340.47   2.82e+03       9.2711e+40       1.6104e+39    -183.47       -3.19        1.467        +0.0
  HI      Palpha          18751.01   2.11e+05       7.7030e+38       4.0395e+38     -79.41      -41.65        2.710      -280.0
  HI      Pbeta           12818.08   3.09e+04       1.8910e+39       3.0349e+38     -48.28       -7.75        1.411      -280.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.98e+06       2.7477e+39       3.5787e+34      -7.12       -0.00        1.000      -280.0
  HeI     He_I_6678        6678.15   0.00e+00       5.6567e+37       5.6567e+37      -4.53       -4.53        1.652      +280.0
  HeI     He_I_7065        7065.19   2.67e+05       9.5708e+38       1.2465e+34      -3.40       -0.00        1.000      +100.0
  HeI     He_I_10830      10830.34   5.39e+06       3.6012e+39       4.6904e+34     -57.22       -0.00        1.000      -280.0
# --- He II ---
  HeII    He_II_1640       1640.42   1.29e-17       3.7122e+21       3.7122e+21      -4.97       -4.97        2.327      -400.0
  HeII    He_II_3203       3203.10   8.84e-28       2.3848e+20       2.3848e+20      -0.24       -0.24        1.653     -1760.0
  HeII    He_II_4686       4685.71   1.19e-26       5.5016e+20       5.5016e+20      -0.48       -0.48        1.589       -60.0
  HeII    He_II_10124     10123.60   1.00e-30       4.7014e+19       4.7014e+19      +5.48       +5.48        1.361     +4920.1
