 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      1.183201E+02       4.192500E+01       4.127531E+01
      1.186518E+02       4.192100E+01       4.127393E+01
      1.189340E+02       4.191600E+01       4.127254E+01
      1.192269E+02       4.191100E+01       4.127114E+01
      1.195220E+02       4.190500E+01       4.127021E+01
      1.199065E+02       4.189600E+01       4.126881E+01
      1.203638E+02       4.188500E+01       4.126717E+01
      1.208127E+02       4.187300E+01       4.126505E+01
      1.213652E+02       4.185000E+01       4.126293E+01
      1.223948E+02       4.178700E+01       4.125864E+01
      1.235972E+02       4.168900E+01       4.125406E+01
      1.243084E+02       4.161900E+01       4.125139E+01
      1.248028E+02       4.156700E+01       4.124944E+01
      1.252895E+02       4.151700E+01       4.124724E+01
      1.255373E+02       4.149100E+01       4.124650E+01
      1.257851E+02       4.146200E+01       4.124551E+01
      1.260327E+02       4.143300E+01       4.124378E+01
      1.262803E+02       4.140300E+01       4.124304E+01
      1.266556E+02       4.136500E+01       4.124155E+01
      1.270308E+02       4.133600E+01       4.124005E+01
      1.274059E+02       4.131700E+01       4.123880E+01
      1.277808E+02       4.130500E+01       4.123729E+01
      1.282757E+02       4.129400E+01       4.123528E+01
      1.287705E+02       4.128400E+01       4.123350E+01
      1.303309E+02       4.125800E+01       4.122737E+01
      1.309019E+02       4.125200E+01       4.122505E+01
      1.314728E+02       4.124600E+01       4.122272E+01
      1.320437E+02       4.124100E+01       4.122037E+01
      1.331854E+02       4.123300E+01       4.121590E+01
      1.343269E+02       4.122700E+01       4.121139E+01
      1.354683E+02       4.122200E+01       4.120683E+01
      1.366097E+02       4.121800E+01       4.120167E+01
      1.377510E+02       4.121300E+01       4.119728E+01
      1.388922E+02       4.120800E+01       4.119285E+01
      1.400334E+02       4.120400E+01       4.118752E+01
      1.411745E+02       4.119900E+01       4.118327E+01
      1.423156E+02       4.119500E+01       4.117869E+01
      1.428861E+02       4.119300E+01       4.117667E+01
      1.440271E+02       4.118800E+01       4.117173E+01
      1.451681E+02       4.118400E+01       4.116732E+01
      1.463091E+02       4.118000E+01       4.116256E+01
      1.465944E+02       4.117900E+01       4.116137E+01
      1.467370E+02       4.117500E+01       4.116107E+01
      1.481632E+02       4.116900E+01       4.115534E+01
      1.493041E+02       4.116200E+01       4.115076E+01
      1.504450E+02       4.115400E+01       4.114613E+01
      1.515858E+02       4.114500E+01       4.114145E+01
      1.527267E+02       4.114000E+01       4.113704E+01
      1.538675E+02       4.113600E+01       4.113226E+01
      1.550084E+02       4.113500E+01       4.112775E+01
      1.561492E+02       4.113400E+01       4.112320E+01
      1.572900E+02       4.113200E+01       4.111860E+01
      1.584307E+02       4.112800E+01       4.111394E+01
      1.590011E+02       4.112700E+01       4.111160E+01
