==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       3   9.055e+39      3.66        +0     3.62      1.178       -171     1.3min
day000.2     0.2       2   9.063e+39      3.59       -28     3.47      1.129       -200     1.1min
day000.3     0.3       2   9.072e+39      3.50       -28     3.41      1.193       -371     1.1min
day000.4     0.4       2   9.080e+39      3.69      -285     3.60      1.175       -200     1.1min
day000.5     0.5       2   9.089e+39      3.67      -257     3.64      1.108       -371     1.1min
day000.6     0.6       2   9.097e+39      3.67        +0     3.64      1.215       -371     1.1min
day000.7     0.7       2   9.105e+39      3.75      -285     3.72      1.160       -200     1.1min
day000.8     0.8       1   9.114e+39      4.35      -143     3.91      1.229       -400     0.5min
day000.9     0.9       6   9.123e+39      4.44       -86     3.86      1.127       -285     1.1min
  day001     1.0       6   9.131e+39      4.47      -143     3.98      1.239       -400     1.1min
  day002     2.0       6   9.262e+39      4.45       -28     4.43      1.247       -228     1.2min
  day003     3.0       4   9.754e+39      5.06       +29     5.06      1.146       -228     1.2min
  day004     4.0       6   9.934e+39      5.24       +29     5.24      1.140       -200     1.8min
  day005     5.0       3   1.012e+40      5.10       -28     4.88      1.339       -200     1.4min
  day010    10.0       3   1.078e+40      4.80       -57     4.68      1.251       -400     1.3min
  day020    20.0       6   1.146e+40     12.26        +0    12.08      1.952       -400     1.8min
  day030    30.0       6   1.688e+41     29.52       +29    29.52      3.866       -400     1.6min
  day040    40.0       6   8.886e+40     26.59       +29    26.59      1.839       -200     2.4min
  day050    50.0       6   8.113e+40     24.59       +29    24.59      1.685       -200     2.4min
  day060    60.0       6   7.449e+40     24.69       +29    24.69      1.729       -200     2.7min
  day070    70.0       6   8.149e+40     25.09       +29    25.09      2.195       -200     2.8min
  day080    80.0       6   6.068e+40     20.98       +29    20.98      2.639       -200     2.9min
  day090    90.0       6   7.659e+40     26.95       +29    26.95      4.559       -400     2.8min
  day100   100.0       6   6.786e+40     30.79       +29    30.79      4.783       -400     2.8min
  day110   110.0       6   2.030e+40     14.35       +29    14.35      2.894       -371     2.6min
  day120   120.0       6   1.929e+41    174.59        +0   170.20     87.030       -143     2.7min
  day130   130.0       6   6.554e+40      1.00      +742     0.99      0.131       -400     7.3min
  day140   140.0       6   4.510e+40      1.03      +543     1.03      0.152       -400     4.4min
  day150   150.0       6   4.891e+40      1.03      +514     1.03      0.149       -400     4.3min

Total batch runtime: 95.7 min
