# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 1.0 d   T_phot: 9735.649572094648 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 9.1311e+39 erg/s   peak F = 4.099 @ Δv = +28.7 km/s   EW = -35.24 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   0.00e+00       4.8497e+45       9.1311e+39  -18545108.30      -34.92        4.262      -140.0
  HI      Hbeta            4861.33   0.00e+00       5.0946e+44       3.1603e+39  -1021157.63       -6.33        1.832      -180.0
  HI      Hgamma           4340.47   0.00e+00       1.5869e+44       1.4862e+39  -265032.09       -2.48        1.365      -160.0
  HI      Palpha          18751.01   3.44e+05       3.4327e+42       3.7137e+38  -354117.71      -38.31        3.736      -180.0
  HI      Pbeta           12818.08   4.69e+04       2.7519e+41       2.7921e+38   -7641.65       -7.75        1.800      -160.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.04e+06       3.3170e+39       6.2453e+33     -13.97       -0.00        1.000      -280.0
  HeI     He_I_6678        6678.15   0.00e+00       5.2343e+37       5.2343e+37      +3.71       +3.71        1.478       +20.0
  HeI     He_I_7065        7065.19   2.75e+05       1.1200e+39       2.1088e+33      -9.16       -0.00        1.000      +140.0
  HeI     He_I_10830      10830.34   4.98e+06       3.8185e+39       7.1895e+33     -55.81       -0.00        1.000      -280.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.92e-15       3.1313e+23       3.1313e+23      -1.66       -1.66        2.102      -980.0
  HeII    He_II_3203       3203.10   3.76e-25       2.0113e+22       2.0113e+22      +0.27       +0.27        2.107       -80.0
  HeII    He_II_4686       4685.71   5.06e-24       4.6398e+22       4.6398e+22      -3.30       -3.30        1.727      +640.0
  HeII    He_II_10124     10123.60   1.00e-30       3.9650e+21       3.9650e+21      +2.21       +2.21        1.384     +1640.0
