# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 40.0 d   T_phot: 5363.16791779563 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 8.8857e+40 erg/s   peak F = 26.484 @ Δv = +28.7 km/s   EW = -162.81 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   3.41e+05       2.8679e+42       8.8857e+40  -22384.28     -693.55       35.932        +0.0
  HI      Hbeta            4861.33   1.08e+05       2.1250e+41       2.9750e+40   -1576.07     -220.64       13.904        +0.0
  HI      Hgamma           4340.47   3.66e+04       1.6196e+41       1.4073e+40   -1330.95     -115.65        7.347       +20.0
  HI      Palpha          18751.01   1.37e+06       5.7796e+39       3.6104e+39    -452.54     -282.69        9.360       +20.0
  HI      Pbeta           12818.08   1.77e+05       1.3454e+40       2.7012e+39    -340.43      -68.35        3.666       +20.0
# --- He I ---
  HeI     He_I_5876        5875.62   6.43e+04       4.5724e+39       1.4167e+38     -21.99       -0.68        1.201       +20.0
  HeI     He_I_6678        6678.15   2.87e+02       2.3800e+39       7.3742e+37     -19.87       -0.62        1.023      +100.0
  HeI     He_I_7065        7065.19   8.72e+03       2.0531e+39       6.3614e+37     -14.14       -0.44        1.188       +20.0
  HeI     He_I_10830      10830.34   7.87e+05       7.8793e+40       2.4413e+39   -1357.70      -42.07        2.250        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   6.72e-28       4.0273e+15       4.0273e+15      +2.15       +2.15        1.811     -4820.1
  HeII    He_II_3203       3203.10   1.59e-30       2.5879e+14       2.5879e+14      +1.86       +1.86        1.558      +760.0
  HeII    He_II_4686       4685.71   1.47e-29       5.9700e+14       5.9700e+14      -1.50       -1.50        1.537     +3160.1
  HeII    He_II_10124     10123.60   3.71e-29       5.1016e+13       5.1016e+13      +4.69       +4.69        1.430      +340.0
