         t-t0          tau          rho            T            r            v
  -8.9643D+00   2.4551D+05   1.7258D-11   4.6026D+04   1.4281D+13   4.0530D-01
  -8.8743D+00   2.3577D+05   1.6032D-11   4.5499D+04   1.4596D+13   4.0440D-01
  -8.4743D+00   1.9977D+05   1.1858D-11   4.3251D+04   1.5988D+13   4.0060D-01
  -7.9743D+00   1.6691D+05   8.5114D-12   4.1020D+04   1.7711D+13   3.9680D-01
  -6.9743D+00   1.2263D+05   4.8978D-12   3.7497D+04   2.1116D+13   3.9140D-01
  -5.9743D+00   9.3558D+04   3.1046D-12   3.4834D+04   2.4482D+13   3.8750D-01
  -4.9743D+00   7.5164D+04   2.0989D-12   3.3963D+04   2.7818D+13   3.8390D-01
  -3.9743D+00   6.2673D+04   1.4962D-12   4.0926D+04   3.1092D+13   3.7120D-01
  -2.9743D+00   5.1301D+04   1.1246D-12   5.0699D+04   3.4175D+13   3.3990D-01
  -1.9743D+00   4.2337D+04   8.8920D-13   5.7148D+04   3.6930D+13   2.9920D-01
  -9.7434D-01   3.5566D+04   7.3451D-13   6.0256D+04   3.9350D+13   2.6310D-01
   2.5660D-02   3.0648D+04   6.2517D-13   6.1376D+04   4.1498D+13   2.3660D-01
   1.0257D+00   2.6410D+04   5.3827D-13   6.1235D+04   4.3599D+13   2.1770D-01
   3.0257D+00   2.0409D+04   4.2855D-13   5.9293D+04   4.7040D+13   1.9860D-01
   5.0257D+00   1.6170D+04   3.4914D-13   5.6624D+04   5.0378D+13   1.8880D-01
   7.0257D+00   1.3295D+04   2.8973D-13   5.3951D+04   5.3590D+13   1.8340D-01
   9.0257D+00   1.1153D+04   2.3933D-13   5.1050D+04   5.7078D+13   1.7980D-01
   1.1026D+01   9.6693D+03   2.0797D-13   4.8865D+04   5.9825D+13   1.7800D-01
   1.3026D+01   8.2548D+03   1.7906D-13   4.6666D+04   6.2888D+13   1.7650D-01
   1.5026D+01   7.1047D+03   1.5524D-13   4.4566D+04   6.5930D+13   1.7540D-01
   1.7026D+01   6.1956D+03   1.3583D-13   4.2658D+04   6.8956D+13   1.7460D-01
   1.9026D+01   5.4742D+03   1.1940D-13   4.0926D+04   7.1969D+13   1.7400D-01
   2.1026D+01   4.8711D+03   1.0568D-13   3.9264D+04   7.4973D+13   1.7350D-01
   2.3026D+01   4.3510D+03   9.3972D-14   3.7670D+04   7.7969D+13   1.7300D-01
   2.5026D+01   3.8319D+03   8.3946D-14   3.6308D+04   8.0958D+13   1.7270D-01
   2.7026D+01   3.3638D+03   7.5162D-14   3.4914D+04   8.3942D+13   1.7240D-01
   2.9026D+01   2.9598D+03   6.7764D-14   3.3729D+04   8.6921D+13   1.7210D-01
   3.1026D+01   2.6175D+03   6.1235D-14   3.2509D+04   8.9895D+13   1.7190D-01
   3.3026D+01   2.3276D+03   5.5590D-14   3.1477D+04   9.2865D+13   1.7160D-01
   3.5026D+01   2.0819D+03   5.0582D-14   3.0409D+04   9.5832D+13   1.7150D-01
   3.7026D+01   1.8730D+03   4.6132D-14   2.9444D+04   9.8796D+13   1.7130D-01
   3.9026D+01   1.6949D+03   4.2267D-14   2.8576D+04   1.0176D+14   1.7110D-01
   4.1026D+01   1.5422D+03   3.8726D-14   2.7733D+04   1.0471D+14   1.7100D-01
   4.3026D+01   1.4111D+03   3.5645D-14   2.6977D+04   1.0767D+14   1.7080D-01
   4.5026D+01   1.2983D+03   3.2885D-14   2.6242D+04   1.1062D+14   1.7080D-01
   4.7026D+01   1.2012D+03   3.0339D-14   2.5527D+04   1.1358D+14   1.7070D-01
   4.9026D+01   1.1181D+03   2.8119D-14   2.4831D+04   1.1653D+14   1.7070D-01
   5.1026D+01   1.0408D+03   2.6062D-14   2.4155D+04   1.1948D+14   1.7060D-01
   5.3026D+01   9.6908D+02   2.4266D-14   2.3550D+04   1.2243D+14   1.7070D-01
   5.5026D+01   9.0359D+02   2.2542D-14   2.2961D+04   1.2538D+14   1.7070D-01
   5.7026D+01   8.4247D+02   2.1038D-14   2.2336D+04   1.2833D+14   1.7070D-01
   5.9026D+01   7.8539D+02   1.9679D-14   2.1777D+04   1.3128D+14   1.7070D-01
   6.1026D+01   7.3219D+02   1.8408D-14   2.1281D+04   1.3424D+14   1.7070D-01
   6.3026D+01   6.8283D+02   1.7219D-14   2.0749D+04   1.3719D+14   1.7070D-01
   6.5026D+01   6.3679D+02   1.6144D-14   2.0277D+04   1.4014D+14   1.7080D-01
   6.7026D+01   5.9371D+02   1.5171D-14   1.9815D+04   1.4310D+14   1.7080D-01
   6.9026D+01   5.5389D+02   1.4289D-14   1.9320D+04   1.4605D+14   1.7080D-01
   7.1026D+01   5.1611D+02   1.3459D-14   1.8880D+04   1.4900D+14   1.7080D-01
   7.3026D+01   4.8087D+02   1.2677D-14   1.8450D+04   1.5196D+14   1.7080D-01
   7.5026D+01   4.4759D+02   1.1967D-14   1.7989D+04   1.5491D+14   1.7090D-01
   7.7026D+01   4.1660D+02   1.1298D-14   1.7539D+04   1.5787D+14   1.7090D-01
   7.9026D+01   3.8728D+02   1.0691D-14   1.7179D+04   1.6082D+14   1.7080D-01
   8.1026D+01   3.5965D+02   1.0116D-14   1.6788D+04   1.6378D+14   1.7080D-01
   8.3026D+01   3.3343D+02   9.5940D-15   1.6444D+04   1.6673D+14   1.7080D-01
   8.5026D+01   3.0864D+02   9.0991D-15   1.6106D+04   1.6968D+14   1.7080D-01
   8.7026D+01   2.8492D+02   8.6497D-15   1.5776D+04   1.7264D+14   1.7070D-01
   8.9026D+01   2.6192D+02   8.2224D-15   1.5453D+04   1.7559D+14   1.7070D-01
   9.1026D+01   2.4027D+02   7.8163D-15   1.5171D+04   1.7854D+14   1.7070D-01
   9.4026D+01   2.0916D+02   7.2611D-15   1.4689D+04   1.8297D+14   1.7070D-01
   9.7026D+01   1.8015D+02   6.7608D-15   1.4256D+04   1.8740D+14   1.7060D-01
   1.0103D+02   1.4416D+02   6.1518D-15   1.3646D+04   1.9330D+14   1.7060D-01
