# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 5.0 d   T_phot: 22505.6050658956 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 3.8923e+27 erg/s   peak F = 1.000 @ Δv = +314.2 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.53e-08       2.8914e+33       3.8923e+27      +0.00       +0.00        1.000       -80.0
  HI      Hbeta            4861.33   2.21e-09       8.7967e+32       1.4215e+27      +0.00       +0.00        1.000       -80.0
  HI      Hgamma           4340.47   7.53e-10       3.8293e+32       6.6220e+26      +0.00       +0.00        1.000      -160.0
  HI      Palpha          18751.01   6.71e-09       2.4341e+32       1.5855e+26      +0.00       +0.00        1.000      -220.0
  HI      Pbeta           12818.08   1.11e-09       1.1278e+32       1.2015e+26      +0.00       +0.00        1.000      -400.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.48e+05       8.5777e+40       1.1547e+35      +2.60       +0.00        1.000        +0.0
  HeI     He_I_6678        6678.15   2.34e+04       5.9697e+40       8.0359e+34      +2.96       +0.00        1.000        +0.0
  HeI     He_I_7065        7065.19   2.02e+04       4.2344e+40       5.7001e+34      +3.13       +0.00        1.000        +0.0
  HeI     He_I_10830      10830.34   1.14e+05       3.8981e+40       5.2474e+34      +4.80       +0.00        1.000        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   3.21e+03       3.3512e+40       4.5112e+34      +0.71       +0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   2.83e-01       1.5377e+39       1.5377e+39      +0.88       +0.88        1.073        +0.0
  HeII    He_II_4686       4685.71   2.62e+00       6.2642e+39       8.4324e+33      +1.46       +0.00        1.000        +0.0
  HeII    He_II_10124     10123.60   1.22e-02       1.0750e+39       1.0750e+39      +2.21       +2.21        1.055        +0.0
