         t-t0          tau          rho            T            r            v
  -2.8123D-02   1.2692D+05   9.5280D-08   2.5235D+05   2.6661D+12   3.2680D-01
   6.1877D-02   1.0370D+05   7.2444D-08   2.3442D+05   2.9217D+12   3.2790D-01
   4.6188D-01   4.9356D+04   2.6853D-08   1.8281D+05   4.0682D+12   3.3270D-01
   9.6188D-01   2.5651D+04   1.0715D-08   1.4825D+05   5.5238D+12   3.3810D-01
   1.9619D+00   9.9696D+03   2.9376D-09   1.1220D+05   8.5019D+12   3.4750D-01
   2.9619D+00   5.2949D+03   1.1722D-09   9.2470D+04   1.1556D+13   3.5540D-01
   3.9619D+00   3.2754D+03   5.7148D-10   7.9250D+04   1.4674D+13   3.6170D-01
   4.9619D+00   2.2296D+03   3.1842D-10   6.9823D+04   1.7838D+13   3.6600D-01
   5.9619D+00   1.6311D+03   1.9409D-10   6.2517D+04   2.1037D+13   3.6970D-01
   6.9619D+00   1.2468D+03   1.2647D-10   5.6624D+04   2.4268D+13   3.7290D-01
   7.9619D+00   9.8553D+02   8.6696D-11   5.1761D+04   2.7522D+13   3.7550D-01
   8.9619D+00   7.9822D+02   6.1802D-11   4.7643D+04   3.0800D+13   3.7780D-01
   9.9619D+00   6.5776D+02   4.5604D-11   4.4055D+04   3.4096D+13   3.7980D-01
   1.1962D+01   4.5862D+02   2.6730D-11   3.8019D+04   4.0736D+13   3.8300D-01
   1.3962D+01   3.3493D+02   1.6943D-11   3.2961D+04   4.7429D+13   3.8550D-01
   1.5962D+01   2.6125D+02   1.1376D-11   2.8708D+04   5.4158D+13   3.8720D-01
   1.7962D+01   2.1536D+02   7.9983D-12   2.5410D+04   6.0914D+13   3.8830D-01
   1.9962D+01   1.8300D+02   5.8345D-12   2.2961D+04   6.7684D+13   3.8890D-01
   2.1962D+01   1.5629D+02   4.3752D-12   2.1038D+04   7.4466D+13   3.8940D-01
   2.3962D+01   1.3323D+02   3.3651D-12   1.9588D+04   8.1256D+13   3.8970D-01
   2.5962D+01   1.1295D+02   2.6485D-12   1.8493D+04   8.8050D+13   3.8990D-01
   2.7962D+01   9.4778D+01   2.1184D-12   1.7579D+04   9.4848D+13   3.9010D-01
   2.9962D+01   7.7997D+01   1.7219D-12   1.6788D+04   1.0165D+14   3.9020D-01
   3.1962D+01   6.3727D+01   1.4158D-12   1.6069D+04   1.0845D+14   3.9030D-01
   3.3962D+01   5.1084D+01   1.1803D-12   1.5241D+04   1.1526D+14   3.9040D-01
   3.5962D+01   3.9901D+01   9.9312D-13   1.4289D+04   1.2207D+14   3.9060D-01
   3.7962D+01   3.0389D+01   8.4528D-13   1.3122D+04   1.2888D+14   3.9070D-01
   3.9962D+01   2.2643D+01   7.2277D-13   1.1803D+04   1.3570D+14   3.9080D-01
   4.1962D+01   1.7226D+01   6.2517D-13   1.0447D+04   1.4250D+14   3.9090D-01
   4.3962D+01   1.3825D+01   5.4325D-13   9.3325D+03   1.4932D+14   3.9090D-01
   4.5962D+01   1.0609D+01   4.7534D-13   8.3560D+03   1.5613D+14   3.9090D-01
   4.7962D+01   7.6326D+00   4.1783D-13   7.4645D+03   1.6295D+14   3.9090D-01
   4.9962D+01   5.2463D+00   3.6983D-13   6.5917D+03   1.6976D+14   3.9090D-01
   5.1962D+01   3.8763D+00   3.2810D-13   6.0117D+03   1.7658D+14   3.9090D-01
   5.3962D+01   3.1850D+00   2.9309D-13   5.7544D+03   1.8339D+14   3.9090D-01
   5.5962D+01   2.7069D+00   2.6242D-13   5.5847D+03   1.9020D+14   3.9090D-01
   5.7962D+01   2.3244D+00   2.3659D-13   5.4325D+03   1.9701D+14   3.9090D-01
   5.9962D+01   2.0096D+00   2.1330D-13   5.2845D+03   2.0384D+14   3.9090D-01
   6.1962D+01   1.7347D+00   1.9320D-13   5.1404D+03   2.1064D+14   3.9090D-01
   6.3962D+01   1.4926D+00   1.7579D-13   5.0003D+03   2.1747D+14   3.9090D-01
   6.5962D+01   1.2906D+00   1.6032D-13   4.8753D+03   2.2427D+14   3.9090D-01
   6.7962D+01   1.1234D+00   1.4655D-13   4.7643D+03   2.3109D+14   3.9090D-01
   6.9962D+01   9.8025D-01   1.3428D-13   4.6559D+03   2.3790D+14   3.9090D-01
   7.1962D+01   8.5500D-01   1.2331D-13   4.5604D+03   2.4473D+14   3.9090D-01
   7.3962D+01   7.5680D-01   1.1350D-13   4.4668D+03   2.5154D+14   3.9090D-01
   7.5962D+01   6.7485D-01   1.0471D-13   4.3853D+03   2.5837D+14   3.9090D-01
   7.7962D+01   6.0709D-01   9.6828D-14   4.3152D+03   2.6520D+14   3.9090D-01
   7.9962D+01   5.5221D-01   8.9743D-14   4.2560D+03   2.7203D+14   3.9090D-01
   8.1962D+01   5.0271D-01   8.3368D-14   4.1976D+03   2.7888D+14   3.9090D-01
   8.3962D+01   4.6134D-01   7.7446D-14   4.1400D+03   2.8572D+14   3.9080D-01
   8.5962D+01   4.2569D-01   7.2111D-14   4.0926D+03   2.9258D+14   3.9080D-01
   8.7962D+01   3.9638D-01   6.7298D-14   4.0458D+03   2.9943D+14   3.9080D-01
