# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.7 d   T_phot: 26017.54049362267 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 3.7109e+27 erg/s   peak F = 1.000 @ Δv = +285.6 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.83e-08       2.2653e+33       3.7109e+27      +0.00       +0.00        1.000       -40.0
  HI      Hbeta            4861.33   2.65e-09       7.2192e+32       1.3701e+27      +0.00       +0.00        1.000       -60.0
  HI      Hgamma           4340.47   9.02e-10       3.2109e+32       6.3700e+26      +0.00       +0.00        1.000      -120.0
  HI      Palpha          18751.01   7.93e-09       1.9976e+32       1.5122e+26      +0.00       +0.00        1.000       -60.0
  HI      Pbeta           12818.08   1.32e-09       9.4566e+31       1.1477e+26      +0.00       +0.00        1.000      -300.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.07e+05       6.1895e+40       1.0139e+35      +1.72       +0.00        1.000        +0.0
  HeI     He_I_6678        6678.15   2.91e+04       3.1578e+40       5.1729e+34      +1.96       +0.00        1.000        +0.0
  HeI     He_I_7065        7065.19   2.86e+04       2.7788e+40       4.5521e+34      +2.07       +0.00        1.000        +0.0
  HeI     He_I_10830      10830.34   1.25e+05       3.5115e+40       5.7523e+34      +3.18       +0.00        1.000        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.15e+04       1.1980e+41       1.9624e+35      +0.48       +0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   3.89e+01       8.3609e+39       1.3696e+34      +0.84       +0.00        1.000        +0.0
  HeII    He_II_4686       4685.71   3.54e+02       1.9150e+40       3.1370e+34      +1.34       +0.00        1.000        +0.0
  HeII    He_II_10124     10123.60   3.48e+01       2.9499e+39       4.8324e+33      +2.46       +0.00        1.000        +0.0
