==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       1   3.261e+27      1.00      +171     1.00      1.000       -400     0.1min
day000.2     0.2       1   3.249e+27      1.00      +200     1.00      1.000       -400     0.1min
day000.3     0.3       1   3.236e+27      1.00      +200     1.00      1.000       -400     0.1min
day000.4     0.4       1   3.741e+27      1.00      +314     1.00      1.000       -400     0.1min
day000.5     0.5       1   3.731e+27      1.00      +314     1.00      1.000       -400     0.1min
day000.6     0.6       1   3.721e+27      1.00      +286     1.00      1.000       -400     0.1min
day000.7     0.7       1   3.711e+27      1.00      +286     1.00      1.000       -400     0.1min
day000.8     0.8       1   3.700e+27      1.00      +286     1.00      1.000       -400     0.1min
day000.9     0.9       1   3.690e+27      1.00      +314     1.00      1.000       -400     0.1min
  day001     1.0       1   3.677e+27      1.00      +314     1.00      1.000       -400     0.1min
  day002     2.0       1   3.515e+27      1.00      +257     1.00      1.000       -400     0.1min
  day003     3.0       1   3.826e+27      1.00      +314     1.00      1.000       -400     0.1min
  day004     4.0       1   3.620e+27      1.00      +286     1.00      1.000       -400     0.1min
  day005     5.0       1   3.892e+27      1.00      +314     1.00      1.000       -400     0.1min
  day006     6.0       1   3.772e+27      1.00      +286     1.00      1.000       -400     0.1min
  day007     7.0       1   3.737e+27      1.00      +257     1.00      1.000       -400     0.1min
  day008     8.0       1   4.057e+27      1.00      +314     1.00      1.000       -400     0.1min
  day009     9.0       1   4.036e+27      1.00      +286     1.00      1.000       -400     0.1min
  day010    10.0       1   3.985e+27      1.00      +286     1.00      1.000       -400     0.1min
  day020    20.0       1   3.820e+27      1.00      +286     1.00      1.000       -400     0.1min
  day030    30.0       1   4.943e+27      1.00      +200     1.00      1.000       -400     0.1min
  day040    40.0       1   0.000e+00       nan     -7395      nan        nan       -400     0.9min
  day050    50.0       1   0.000e+00       nan     -7223      nan        nan       -400     1.1min
  day060    60.0       2   0.000e+00       nan     -7109      nan        nan       -400     1.3min
  day070    70.0       2   0.000e+00       nan     -6995      nan        nan       -400     1.2min
  day080    80.0       2   0.000e+00       nan     -6938      nan        nan       -400     1.2min
  day090    90.0       2   0.000e+00       nan     -6881      nan        nan       -400     1.1min
  day100   100.0       2   0.000e+00       nan     -6852      nan        nan       -400     1.1min
  day110   110.0       2   0.000e+00       nan     -6824      nan        nan       -400     1.0min
  day120   120.0       6   1.996e+39      1.80       +57     1.80      0.739       -400     2.5min
  day130   130.0       6   1.223e+39      1.97       +29     1.97      0.812       -400     2.4min
  day140   140.0       6   6.274e+38      2.14       +29     2.14      0.886       -400     2.3min
  day150   150.0       6   2.813e+38      2.28       +29     2.28      0.939       -400     2.1min
  day160   160.0       6   1.323e+38      2.37       +29     2.37      0.967       -400     2.1min

Total batch runtime: 23.6 min
