# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.1 d   T_phot: 25902.26155227869 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 3.2610e+27 erg/s   peak F = 1.000 @ Δv = +171.4 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   2.39e-08       1.9099e+33       3.2610e+27      +0.00       +0.00        1.000        +0.0
  HI      Hbeta            4861.33   3.46e-09       6.0903e+32       1.2040e+27      +0.00       +0.00        1.000      -140.0
  HI      Hgamma           4340.47   1.18e-09       2.7094e+32       5.5981e+26      +0.00       +0.00        1.000       -40.0
  HI      Palpha          18751.01   9.92e-09       1.6852e+32       1.3288e+26      +0.00       +0.00        1.000      -100.0
  HI      Pbeta           12818.08   1.61e-09       7.9796e+31       1.0086e+26      +0.00       +0.00        1.000      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.92e+05       5.4854e+40       9.3660e+34      +1.44       +0.00        1.000        +0.0
  HeI     He_I_6678        6678.15   4.95e+04       2.6512e+40       4.5268e+34      +1.64       +0.00        1.000        +0.0
  HeI     He_I_7065        7065.19   4.01e+04       2.4544e+40       4.1908e+34      +1.74       +0.00        1.000        +0.0
  HeI     He_I_10830      10830.34   1.78e+05       3.0385e+40       5.1880e+34      +2.66       +0.00        1.000        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   3.26e+04       1.0872e+41       1.8563e+35      +0.40       +0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   4.49e+01       7.5359e+39       1.2867e+34      +0.78       +0.00        1.000        +0.0
  HeII    He_II_4686       4685.71   4.10e+02       1.7128e+40       2.9245e+34      +1.15       +0.00        1.000        +0.0
  HeII    He_II_10124     10123.60   3.29e+01       2.5802e+39       4.4056e+33      +2.23       +0.00        1.000        +0.0
