 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      5.515935E+00       4.360600E+01       4.266792E+01
      5.734139E+00       4.363000E+01       4.265973E+01
      5.979160E+00       4.365900E+01       4.265137E+01
      6.268514E+00       4.369500E+01       4.264098E+01
      6.557652E+00       4.372800E+01       4.263225E+01
      6.871779E+00       4.376100E+01       4.262097E+01
      7.209868E+00       4.379200E+01       4.260863E+01
      7.569687E+00       4.382000E+01       4.259583E+01
      8.002231E+00       4.384700E+01       4.258149E+01
      8.535524E+00       4.386800E+01       4.256360E+01
      9.438188E+00       4.388100E+01       4.253504E+01
      1.048865E+01       4.386200E+01       4.250229E+01
      1.150872E+01       4.382800E+01       4.247012E+01
      1.255883E+01       4.378000E+01       4.243870E+01
      1.367009E+01       4.371700E+01       4.240892E+01
      1.470684E+01       4.365300E+01       4.238021E+01
      1.551421E+01       4.360200E+01       4.235755E+01
      1.657648E+01       4.353600E+01       4.233284E+01
      1.744177E+01       4.348500E+01       4.231112E+01
      1.815077E+01       4.344300E+01       4.229403E+01
      1.884343E+01       4.340100E+01       4.227807E+01
      1.956302E+01       4.335700E+01       4.226364E+01
      2.013868E+01       4.332100E+01       4.225188E+01
      2.083010E+01       4.327500E+01       4.223679E+01
      2.152714E+01       4.322600E+01       4.222194E+01
      2.239060E+01       4.316600E+01       4.220520E+01
      2.339795E+01       4.310600E+01       4.218808E+01
      2.440528E+01       4.305800E+01       4.216967E+01
      2.541261E+01       4.302100E+01       4.215106E+01
      2.656382E+01       4.298600E+01       4.213290E+01
      2.757113E+01       4.296100E+01       4.211926E+01
      2.857842E+01       4.293900E+01       4.210449E+01
      2.958571E+01       4.291700E+01       4.208814E+01
      3.059300E+01       4.289700E+01       4.207482E+01
      3.174418E+01       4.287400E+01       4.206145E+01
      3.275146E+01       4.285200E+01       4.204727E+01
      3.375873E+01       4.282900E+01       4.203383E+01
      3.476600E+01       4.280700E+01       4.202243E+01
      3.620495E+01       4.277600E+01       4.200775E+01
      3.735610E+01       4.274400E+01       4.199379E+01
      3.836336E+01       4.272200E+01       4.198105E+01
      3.908283E+01       4.271800E+01       4.197470E+01
      3.965841E+01       4.271700E+01       4.196862E+01
      4.080956E+01       4.271100E+01       4.195818E+01
      4.196070E+01       4.270300E+01       4.194320E+01
      4.268016E+01       4.269600E+01       4.193852E+01
      4.368739E+01       4.267600E+01       4.192619E+01
      4.512554E+01       4.261600E+01       4.191545E+01
      4.627415E+01       4.256000E+01       4.190080E+01
      4.684755E+01       4.252900E+01       4.189746E+01
      4.770607E+01       4.245600E+01       4.188547E+01
      4.856232E+01       4.235800E+01       4.187904E+01
      4.884727E+01       4.232800E+01       4.187425E+01
      4.888031E+01       4.232300E+01       4.187216E+01
      4.917409E+01       4.228400E+01       4.186864E+01
      4.973550E+01       4.223700E+01       4.186374E+01
      5.009094E+01       4.219300E+01       4.185950E+01
      5.048712E+01       4.213100E+01       4.185582E+01
      5.068510E+01       4.210400E+01       4.185364E+01
      5.097012E+01       4.206600E+01       4.185120E+01
      5.104135E+01       4.205700E+01       4.184880E+01
      5.118379E+01       4.204100E+01       4.184726E+01
      5.125500E+01       4.203400E+01       4.184640E+01
      5.139738E+01       4.202200E+01       4.184559E+01
      5.199181E+01       4.197400E+01       4.184098E+01
      5.230145E+01       4.195400E+01       4.183778E+01
      5.355477E+01       4.188900E+01       4.182614E+01
      5.506297E+01       4.184300E+01       4.181158E+01
      5.619278E+01       4.182700E+01       4.180024E+01
      5.675749E+01       4.182100E+01       4.179623E+01
      5.732204E+01       4.181700E+01       4.178895E+01
      5.788652E+01       4.181200E+01       4.178333E+01
      5.845092E+01       4.180600E+01       4.177779E+01
      5.901526E+01       4.180100E+01       4.177634E+01
      5.957954E+01       4.179600E+01       4.176656E+01
      6.070795E+01       4.178500E+01       4.175656E+01
      6.183617E+01       4.177400E+01       4.174398E+01
      6.296424E+01       4.176300E+01       4.173648E+01
      6.352822E+01       4.175800E+01       4.172722E+01
      6.409217E+01       4.175200E+01       4.172165E+01
      6.521998E+01       4.174100E+01       4.171054E+01
      6.634769E+01       4.173100E+01       4.169932E+01
      6.747529E+01       4.171800E+01       4.168815E+01
      6.860281E+01       4.170700E+01       4.167733E+01
      6.973025E+01       4.169600E+01       4.166586E+01
      7.085761E+01       4.168400E+01       4.165753E+01
      7.198491E+01       4.167200E+01       4.164375E+01
      7.311214E+01       4.166100E+01       4.163769E+01
      7.423931E+01       4.165000E+01       4.162170E+01
      7.536642E+01       4.163900E+01       4.161077E+01
      7.649349E+01       4.162800E+01       4.159988E+01
      7.762050E+01       4.161700E+01       4.158894E+01
      7.874747E+01       4.160600E+01       4.157967E+01
      7.987440E+01       4.159600E+01       4.156714E+01
      8.100128E+01       4.158600E+01       4.156015E+01
      8.212813E+01       4.157600E+01       4.154555E+01
      8.325494E+01       4.156700E+01       4.153479E+01
      8.438171E+01       4.155600E+01       4.152414E+01
      8.550846E+01       4.154500E+01       4.151348E+01
      8.663517E+01       4.153500E+01       4.150325E+01
      8.776185E+01       4.152500E+01       4.149192E+01
      8.888850E+01       4.151500E+01       4.148416E+01
      9.001513E+01       4.150400E+01       4.147070E+01
      9.114172E+01       4.149400E+01       4.146000E+01
      9.226829E+01       4.148300E+01       4.144948E+01
      9.339484E+01       4.147300E+01       4.143838E+01
      9.452137E+01       4.146200E+01       4.142765E+01
      9.564787E+01       4.145000E+01       4.141631E+01
      9.677434E+01       4.143900E+01       4.140654E+01
      9.790079E+01       4.142900E+01       4.139358E+01
      9.902720E+01       4.141800E+01       4.138578E+01
      1.001536E+02       4.140800E+01       4.137033E+01
      1.012800E+02       4.139700E+01       4.135908E+01
      1.024063E+02       4.138600E+01       4.134713E+01
      1.035327E+02       4.137500E+01       4.133526E+01
      1.046590E+02       4.136400E+01       4.132366E+01
      1.057853E+02       4.135300E+01       4.131302E+01
      1.069115E+02       4.134200E+01       4.130535E+01
      1.080378E+02       4.133100E+01       4.129226E+01
      1.091640E+02       4.132100E+01       4.128194E+01
      1.102903E+02       4.131000E+01       4.127161E+01
      1.114165E+02       4.129900E+01       4.126150E+01
      1.125427E+02       4.128800E+01       4.125115E+01
      1.136689E+02       4.127800E+01       4.124180E+01
      1.147950E+02       4.126800E+01       4.123096E+01
      1.153581E+02       4.126300E+01       4.122583E+01
      1.159212E+02       4.125800E+01       4.122089E+01
      1.164842E+02       4.125200E+01       4.121590E+01
      1.170473E+02       4.124800E+01       4.121431E+01
