# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 10.0 d   T_phot: 17377.13204116748 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 9.9371e+26 erg/s   peak F = 1.182 @ Δv = +257.1 km/s   EW = +1.73 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   8.19e-08       1.9508e+33       9.9371e+26      -2.96       -0.00        1.000     +1380.0
  HI      Hbeta            4861.33   1.18e-08       5.2053e+32       3.5607e+26      +2.02       +0.00        1.000     -4600.1
  HI      Hgamma           4340.47   3.99e-09       2.1321e+32       1.6643e+26      -0.95       -0.00        1.000     +1740.0
  HI      Palpha          18751.01   3.06e-08       1.4403e+32       4.0457e+25      +5.29       +0.00        1.000     -1060.0
  HI      Pbeta           12818.08   4.87e-09       6.2795e+31       3.0572e+25      +5.08       +0.00        1.000     +1460.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.39e+04       3.4852e+39       1.7753e+33      +2.98       +0.00        1.000     -1200.0
  HeI     He_I_6678        6678.15   5.44e+02       3.7524e+39       1.9115e+33      -1.01       -0.00        1.000      -300.0
  HeI     He_I_7065        7065.19   1.89e+03       4.7883e+38       2.4392e+32      -2.53       -0.00        1.000     -1140.0
  HeI     He_I_10830      10830.34   3.93e+04       3.1275e+39       1.5931e+33     -17.83       -0.00        1.000       +80.0
# --- He II ---
  HeII    He_II_1640       1640.42   5.15e+00       3.6272e+36       1.8477e+30      +1.26       +0.00        1.000     +2040.1
  HeII    He_II_3203       3203.10   2.59e-08       2.2937e+35       2.2937e+35      +4.29       +4.29        1.487     +1160.0
  HeII    He_II_4686       4685.71   2.38e-07       7.3735e+35       7.3735e+35      -0.92       -0.92        1.481     +1920.0
  HeII    He_II_10124     10123.60   1.45e-08       4.5217e+34       4.5217e+34      -5.82       -5.82        1.458      -320.0
