         t-t0          tau          rho            T            r            v
  -1.4873D+01   2.4925D+05   7.1285D-11   4.8195D+04   1.5384D+13   4.0610D-01
  -1.4783D+01   2.4043D+05   6.6527D-11   4.8084D+04   1.5699D+13   4.0420D-01
  -1.4383D+01   2.0726D+05   5.0003D-11   4.7643D+04   1.7083D+13   3.9630D-01
  -1.3883D+01   1.7813D+05   3.6644D-11   4.6881D+04   1.8777D+13   3.8790D-01
  -1.2883D+01   1.3436D+05   2.1928D-11   4.5290D+04   2.2071D+13   3.7480D-01
  -1.1883D+01   1.0390D+05   1.4388D-11   4.5604D+04   2.5262D+13   3.6170D-01
  -1.0883D+01   8.4808D+04   1.0375D-11   6.5615D+04   2.8097D+13   2.7290D-01
  -9.8831D+00   7.3129D+04   8.6298D-12   7.8163D+04   2.9827D+13   1.3930D-01
  -8.8831D+00   6.0952D+04   7.8705D-12   8.1470D+04   3.0743D+13   7.3800D-02
  -7.8831D+00   5.1708D+04   7.5162D-12   8.2224D+04   3.1224D+13   4.7500D-02
  -6.8831D+00   4.3952D+04   7.2611D-12   8.2224D+04   3.1563D+13   3.3000D-02
  -5.8831D+00   3.7973D+04   7.0958D-12   8.2035D+04   3.1808D+13   2.5000D-02
  -4.8831D+00   3.3271D+04   6.9663D-12   8.1658D+04   3.2004D+13   2.0900D-02
  -2.8831D+00   2.6269D+04   6.7453D-12   8.0538D+04   3.2340D+13   1.9200D-02
  -8.8305D-01   2.1222D+04   6.5313D-12   7.8886D+04   3.2693D+13   2.2000D-02
   1.1169D+00   1.7596D+04   6.2806D-12   7.7090D+04   3.3113D+13   2.6700D-02
   3.1169D+00   1.4946D+04   5.9979D-12   7.4989D+04   3.3621D+13   3.2100D-02
   5.1169D+00   1.2905D+04   5.6754D-12   7.2611D+04   3.4225D+13   3.7400D-02
   7.1169D+00   1.1390D+04   5.3456D-12   7.0146D+04   3.4917D+13   4.2400D-02
   9.1169D+00   1.0065D+04   5.0003D-12   6.7608D+04   3.5690D+13   4.6700D-02
   1.1117D+01   8.9085D+03   4.6559D-12   6.5013D+04   3.6532D+13   5.0500D-02
   1.3117D+01   7.9119D+03   4.3251D-12   6.2517D+04   3.7433D+13   5.3500D-02
   1.5117D+01   7.0509D+03   4.0087D-12   6.0117D+04   3.8382D+13   5.6000D-02
   1.7117D+01   6.3154D+03   3.7154D-12   5.7810D+04   3.9371D+13   5.8100D-02
   1.9117D+01   5.6890D+03   3.4356D-12   5.5590D+04   4.0392D+13   5.9900D-02
   2.1117D+01   5.1395D+03   3.1842D-12   5.3333D+04   4.1440D+13   6.1300D-02
   2.3117D+01   4.6536D+03   2.9444D-12   5.1286D+04   4.2512D+13   6.2500D-02
   2.5117D+01   4.2217D+03   2.7290D-12   4.9317D+04   4.3601D+13   6.3400D-02
   2.7117D+01   3.8366D+03   2.5293D-12   4.7534D+04   4.4705D+13   6.4200D-02
   2.9117D+01   3.4940D+03   2.3496D-12   4.5709D+04   4.5820D+13   6.4800D-02
   3.1117D+01   3.1880D+03   2.1827D-12   4.4055D+04   4.6944D+13   6.5200D-02
   3.3117D+01   2.9135D+03   2.0324D-12   4.2560D+04   4.8074D+13   6.5500D-02
   3.5117D+01   2.6689D+03   1.8967D-12   4.1115D+04   4.9208D+13   6.5700D-02
   3.7117D+01   2.4509D+03   1.7701D-12   3.9719D+04   5.0344D+13   6.5700D-02
   3.9117D+01   2.2498D+03   1.6558D-12   3.8459D+04   5.1479D+13   6.5700D-02
   4.1117D+01   2.0638D+03   1.5488D-12   3.7239D+04   5.2614D+13   6.5600D-02
   4.3117D+01   1.8941D+03   1.4521D-12   3.6058D+04   5.3749D+13   6.5600D-02
   4.5117D+01   1.7394D+03   1.3646D-12   3.4914D+04   5.4883D+13   6.5500D-02
   4.7117D+01   1.5999D+03   1.2823D-12   3.3963D+04   5.6014D+13   6.5400D-02
   4.9117D+01   1.4743D+03   1.2078D-12   3.2810D+04   5.7144D+13   6.5400D-02
   5.1117D+01   1.3613D+03   1.1402D-12   3.1842D+04   5.8274D+13   6.5200D-02
   5.3117D+01   1.2594D+03   1.0765D-12   3.0903D+04   5.9400D+13   6.5100D-02
   5.5117D+01   1.1678D+03   1.0162D-12   3.0061D+04   6.0525D+13   6.5000D-02
   5.7117D+01   1.0846D+03   9.6161D-13   2.9174D+04   6.1647D+13   6.4800D-02
   5.9117D+01   1.0099D+03   9.1201D-13   2.8379D+04   6.2766D+13   6.4700D-02
   6.1117D+01   9.4292D+02   8.6497D-13   2.7542D+04   6.3883D+13   6.4500D-02
   6.3117D+01   8.8291D+02   8.2035D-13   2.6792D+04   6.4998D+13   6.4400D-02
   6.5117D+01   8.2893D+02   7.7983D-13   2.6062D+04   6.6111D+13   6.4300D-02
   6.7117D+01   7.8125D+02   7.4131D-13   2.5293D+04   6.7222D+13   6.4200D-02
