==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       2   2.597e+40      8.27      -257     7.12      1.865       -400     1.1min
day000.2     0.2       2   2.599e+40      8.04      -257     7.17      1.947       -371     1.0min
day000.3     0.3       2   2.601e+40      8.16      -257     7.13      1.738       -400     1.0min
day000.4     0.4       2   2.603e+40      8.42      -257     7.20      2.023       -400     1.0min
day000.5     0.5       3   2.571e+40      8.17      -257     7.15      1.781       -371     1.2min
day000.6     0.6       2   2.624e+40      8.43      -257     7.21      1.908       -400     1.0min
day000.7     0.7       3   2.661e+40      8.46      -257     7.42      1.990       -400     1.2min
day000.8     0.8       2   2.673e+40      8.75      -257     7.57      2.006       -371     1.0min
day000.9     0.9       2   2.680e+40      8.73      -257     7.52      1.948       -400     1.0min
  day001     1.0       2   2.685e+40      8.87      -257     7.76      1.997       -371     1.0min
  day002     2.0       2   2.652e+40      8.59      -257     7.75      1.927       -400     1.0min
  day003     3.0       3   2.542e+40      8.96      -257     7.66      1.868       -371     1.2min
  day004     4.0       2   2.569e+40      9.91      -257     8.25      2.211       -400     1.0min
  day005     5.0       6   2.633e+40      9.99      -257     8.78      2.258       -400     1.8min
  day010    10.0       6   2.172e+40      9.82      -257     9.21      2.270       -200     1.8min
  day020    20.0       6   2.001e+40     16.53      -285    12.01      3.077       -400     1.6min
  day030    30.0       6   5.541e+40      9.35        +0     9.10      1.558       -200     1.6min
  day040    40.0       6   5.845e+40     34.65       +29    34.65      4.050       -171     2.3min
  day050    50.0       6   4.146e+40     28.23       +29    28.23      2.166       -171     2.7min
  day060    60.0       6   3.238e+40     21.68       +29    21.68      1.418       -171     2.7min
  day070    70.0       6   2.947e+40     19.89       +29    19.89      1.273       -171     2.6min
  day080    80.0       6   2.591e+40     18.46       +29    18.46      1.350       -171     2.5min
  day090    90.0       6   2.252e+40     18.69       +29    18.69      1.596       -171     2.5min
  day100   100.0       6   7.013e+41    477.24       +29   477.24     52.854       -200     2.7min
  day110   110.0       6   5.493e+41    459.85       +29   459.85     48.688       -400     2.8min
  day120   120.0       6   2.243e+41    267.83       +29   267.83     42.862       -400     2.7min
  day130   130.0       6   1.151e+41    455.59       +29   455.59     89.191       -171     3.1min
  day140   140.0       6   2.184e+40    593.07       +29   593.07     82.413       -114     2.8min
  day150   150.0       6   2.502e+40   1167.34       +29  1167.34    208.159       -143     3.4min
  day160   160.0       6   2.555e+38      2.33        +0     2.33      1.029       -400     2.3min

Total batch runtime: 96.5 min
