# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.9 d   T_phot: 7780.168435114713 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 2.6801e+40 erg/s   peak F = 7.524 @ Δv = +28.7 km/s   EW = -87.95 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   2.20e+06       9.8314e+40       2.6801e+40    -321.07      -87.53       11.455      -260.0
  HI      Hbeta            4861.33   7.93e+05       2.0023e+40       9.1348e+39     -40.56      -18.50        4.248      -260.0
  HI      Hgamma           4340.47   2.86e+05       1.5946e+40       4.3075e+39     -34.80       -9.40        2.393      -260.0
  HI      Palpha          18751.01   2.94e+07       1.4115e+38       1.0895e+39     -30.38     -234.50       18.995      -260.0
  HI      Pbeta           12818.08   4.05e+06       3.0726e+38       8.1729e+38     -13.19      -35.09        4.463      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   4.19e+06       1.8772e+39       5.1174e+38      -0.78       -0.21        1.418      -260.0
  HeI     He_I_6678        6678.15   0.00e+00       1.5957e+38       1.5957e+38      -3.68       -3.68        1.617      +240.0
  HeI     He_I_7065        7065.19   5.65e+05       7.9520e+38       2.1677e+38      +5.92       +1.61        1.114      +820.0
  HeI     He_I_10830      10830.34   1.50e+07       1.5829e+39       4.3151e+38      -2.60       -0.71        1.767      -260.0
# --- He II ---
  HeII    He_II_1640       1640.42   6.98e-21       3.8750e+16       3.8750e+16      +0.83       +0.83        1.986     +1620.0
  HeII    He_II_3203       3203.10   2.09e-28       2.4876e+15       2.4876e+15      +7.27       +7.27        1.844      +260.0
  HeII    He_II_4686       4685.71   1.94e-27       5.7386e+15       5.7386e+15      +5.39       +5.39        1.564     -4400.1
  HeII    He_II_10124     10123.60   4.23e-27       4.9039e+14       4.9039e+14     -12.42      -12.42        1.475      +780.0
