# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 160.0 d   T_phot: 2811.283975886071 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 2.5547e+38 erg/s   peak F = 2.326 @ Δv = +28.7 km/s   EW = +8.32 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.68e+04       8.5759e+39       2.5547e+38      -0.01       -0.00        1.046        +0.0
  HI      Hbeta            4861.33   2.32e+03       8.4319e+38       8.1937e+37      +0.02       +0.00        1.139        +0.0
  HI      Hgamma           4340.47   7.76e+02       3.3274e+38       3.9054e+37      +0.01       +0.00        1.160       -20.0
  HI      Palpha          18751.01   2.25e+02       2.3327e+38       1.0367e+37      +1.40       +0.06        1.055        +0.0
  HI      Pbeta           12818.08   2.75e+01       9.8343e+37       7.7073e+36      +0.82       +0.06        1.089       +20.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.22e+03       2.2201e+37       6.6135e+35      +0.72       +0.02        1.032        +0.0
  HeI     He_I_6678        6678.15   5.94e-01       1.2889e+37       1.2889e+37      +0.38       +0.38        1.353       -40.0
  HeI     He_I_7065        7065.19   3.01e+02       1.5517e+37       4.6224e+35      +0.98       +0.03        1.028        +0.0
  HeI     He_I_10830      10830.34   2.41e+05       8.9209e+37       2.6574e+36      -6.92       -0.21        1.051        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   4.49e-30       1.8790e-30       1.8790e-30      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10   1.71e-30       2.6045e-38       2.6045e-38      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   1.58e-29       8.2719e-36       8.2719e-36      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   3.99e-29       5.1344e-39       5.1344e-39      -0.00       -0.00        1.000     -5000.1
