,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich
L_Halpha,0.14870306636668962,0.47245559126153397,-0.2473134165427656,-0.9449111825230679,0.47245559126153397,0.19287918745261487,-0.6629699999089105
L_Hbeta,0.14870306636668962,0.47245559126153397,-0.2473134165427656,-0.9449111825230679,0.47245559126153397,0.19287918745261487,-0.6629699999089105
L_Hgamma,0.14870306636668962,0.47245559126153397,-0.2473134165427656,-0.9449111825230679,0.47245559126153397,0.19287918745261487,-0.6629699999089105
EW_Halpha,-0.15595687448213788,-0.4913538149119953,0.20430238757880637,0.6425396041156861,-0.4913538149119953,-0.4243342123957527,0.5931836841290251
Halpha_Hbeta,0.290948327338921,-0.5148697981926199,0.5877120840911719,0.9153240856757685,-0.5148697981926199,0.253012156852495,0.7217832599750186
Halpha_Hgamma,0.2550243382575699,-0.5125453177063494,0.5958598273301468,0.9111916759223988,-0.5125453177063494,0.27124449040224496,0.7360496190944207
L_Balmer_tot,0.14870306636668962,0.47245559126153397,-0.2473134165427656,-0.9449111825230679,0.47245559126153397,0.19287918745261487,-0.6629699999089105
L_He1,-0.01088071217317241,0.6614378277661476,-0.40860477515761273,-0.7559289460184543,0.6614378277661476,-0.2700308624336608,-0.7327563156887958
He1_He2,0.23937566780979305,-0.35906624935876585,0.4587843089488985,0.09449111825230679,-0.35906624935876585,0.11572751247156893,0.34893157889942655
L_He_tot,-0.054403560865862045,0.6992342750670703,-0.451615804121572,-0.7181324987175317,0.6992342750670703,-0.2700308624336608,-0.7327563156887958
