,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
L_Halpha,-0.3480937241503974,-0.10616943852785461,0.05788861279703799,0.050044282903461766,0.0024999690534159404,0.3362444509935383,0.021837467282096335,0.7487238111808577,-0.417470222408953,0.11528703358583077
L_Hbeta,-0.3481112315894519,-0.10614655322124655,0.057263182875254365,0.048254010207581584,0.004740725164784471,0.332767825830534,-0.01440136811300247,-0.6315435601802823,-0.4180894875350625,0.4211099266074052
L_Hgamma,-0.3481081996517077,-0.10615061034435283,0.05737312639248414,0.04856852345034466,0.004347960731699185,0.3333788928355124,-0.00844594874197948,-0.1879988669946567,0.02852714302038246,-0.8452887407717466
EW_Halpha,-0.3151259416223077,-0.10971358354421007,0.3207226424938011,0.6969572162817061,-0.1768339908343345,-0.5184349867488387,-0.0010487930298670983,-8.389221475278967e-07,1.6423846753670566e-08,-1.4610635597458858e-09
Halpha_Hbeta,0.3403268972651769,0.09831124448051029,0.061080835257876366,0.2860126473820234,-0.4175947005535831,0.338486016058967,-0.7069056577300986,0.01720942903422972,-0.001278406322153453,0.0026219475848276714
Halpha_Hgamma,0.34029117728741265,0.09833779565828864,0.0611539419646021,0.2863950987559277,-0.4188766950533418,0.33663896571818475,0.7067674843067153,-0.021279235889502816,0.000512035103000948,-0.003579324564449162
L_Balmer_tot,-0.34809922385505915,-0.10616254348114551,0.05769383721434106,0.04948584072451086,0.0032026932610656786,0.33517552831033126,0.0025682660534384933,0.06687930802573418,0.8062903319666628,0.3079652385428021
L_He1,-0.23121048601035876,0.5735113351307094,-0.70332558284165,0.3397961541868521,0.08581109400092243,0.011602304477415667,2.080618716218478e-05,-6.024753061526303e-08,1.2727024968702486e-10,-2.857986114140184e-11
He1_He2,0.16085673262836397,-0.7707984116582002,-0.5787705720517251,0.2119740536610707,0.003066896294273132,-0.008782909155193547,-1.7567673188673608e-05,5.5508061945920735e-08,1.0361403429688657e-10,2.860648746108454e-11
L_He_tot,-0.3240970882883289,-0.022462983962510667,-0.2162721546950094,-0.4247236703298848,-0.7819564463976468,-0.2362963341797088,-0.0008994810155818376,1.9785189100861292e-06,-1.586543975061281e-09,1.1103698619352105e-09
