model,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A1,-1.2691086135484395,0.20327498035040378,-0.7004119920582248,-1.319366523797222,-0.044787805314537237,-0.15515939591327255,-5.287516839173514e-05,5.412270908955752e-07,-1.741046716593441e-09,-7.365568735205816e-12
A4,-1.3164173349981212,0.1541465339655541,0.21432849562318756,0.5279480483590454,-0.4359013700711539,-0.05888840073156808,0.00011210169805064646,2.4662139842740966e-06,3.136726112749751e-09,9.409857472633233e-12
A5,-1.8866763017743267,-0.04843956511229754,0.21313565966284456,0.27980187117833694,0.3465678248201516,-0.1382978420270343,6.552270484585833e-05,-1.5072718835699142e-06,2.1405320995443018e-09,7.105659270588774e-11
A6,-1.656914682200989,0.02759951363895406,0.19512287798335115,0.3043608655876092,0.1900587741814645,-0.17928726887986263,8.854089985149836e-05,-6.89043001093134e-07,-8.855672772526398e-11,-7.120240675212853e-11
A7,-1.5779503574508154,0.10688743937944858,-0.16157690701234767,0.0974367344554917,-1.1558440459629562,0.04824126622404293,6.209959436273503e-06,-1.503375470874017e-06,-7.72435372640195e-10,-1.0577096390025456e-12
B1,-1.9973258392534672,0.021525372545401725,-0.42183125674512206,-1.0443697991792489,0.18995542676383695,0.15783828952248813,0.00012866310190413362,-1.2645329892630007e-08,2.8908364212146826e-09,9.050209811352628e-12
B4,-2.7932314160945713,-0.32601851331390513,0.15880540707838095,0.16320560155907451,0.1301490615864242,0.05323601400813428,-0.00030379817902316455,-1.1458712164675993e-07,3.966008327708816e-09,-1.2828508993194901e-11
B5,-2.5369972043143534,-0.27619264327364024,0.2019969533102551,0.2851214685167729,0.2938478209940788,0.12539215344676985,7.319634040678336e-05,-6.764713588015409e-08,-1.6433184371908828e-09,-9.012348835498689e-11
B6,-2.491551244007173,-0.26284784305362274,0.18518216978901744,0.283226710836514,0.24310116280961397,0.10903395534572968,6.653614431235279e-05,1.3442703352886514e-07,-3.1791771502739387e-09,7.078399830906987e-11
B7,-2.296451381590701,-0.24859316254141572,0.05264350002505048,0.21846862389221314,0.03437445274941399,-0.028163124763691295,-0.00013141777758959088,9.007497861997575e-07,-4.4373388495103065e-09,2.2465578337374354e-11
C1,3.5525483735180376,1.4177874882978143,-0.32426831012134605,0.23346208175951647,0.0992367027830979,0.02230579998398356,-1.577018417856747e-05,-4.8054616093032917e-08,-7.373785793299514e-11,-2.1905932402386566e-12
C4,3.5651434441129055,1.3585213582260471,-0.3687079332175591,0.24984164817766574,0.09989132704298181,0.021840769066751704,-1.6485802633794174e-05,-4.4619513101579465e-08,-6.792762170664756e-11,-2.801288179825038e-13
C5,4.89738801650999,-3.2705651626126717,-0.6594996233513666,0.21534646032689053,0.008097226640686215,-0.004728059377544766,1.053263126252455e-05,3.2698642384039956e-10,2.7261561867835653e-10,-3.7348127180035873e-13
C6,4.2435008797646345,-0.21558682293197284,1.7843549156482805,-0.743535482848452,-0.09637801951024333,0.005708118725100303,-1.1443967139515629e-05,-1.619565655583922e-08,-3.3878465656267094e-10,4.979611885551593e-13
C7,3.5640436613272364,1.3585010264358617,-0.3692739566144304,0.24905169117567938,0.09763146048725246,0.020927725369873636,-1.9512401453258744e-05,-3.950521276361824e-08,-6.430120299981862e-11,2.105804929268179e-12
