model,peak_epoch_d,anchor,has_H,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich,L_Halpha,L_Hbeta,L_Hgamma,EW_Halpha,Halpha_Hbeta,Halpha_Hgamma,L_Balmer_tot,L_He1,He1_He2,L_He_tot,he1_line,he2_line
A1,70.0,Halpha,True,0.0,16.4,0.0,0.78,603.0,0.0,0.0,1.1798444350246852e+41,3.9692587039918587e+40,1.8760173608870884e+40,-0.6644964543427266,2.9724553701630057,6.289091239895495,1.76437204151258e+41,8.861848615476539e+38,2.510206309323233,2.5065849962263243e+39,He_I_6678,He_I_5876
A4,120.0,Halpha,True,0.2,16.4,0.012195121951219514,0.78,603.0,1.0,0.0,1.9285330429395896e+41,6.422512159412887e+40,3.040954203661972e+40,-11774.98083686273,3.002770559356771,6.341868090671064,2.8748796792470756e+41,6.256699419586192e+37,0.16271490818875542,4.758233402332089e+38,He_I_5876,He_I_6678
A5,110.0,Halpha,True,0.5,16.4,0.030487804878048783,0.78,603.0,1.0,0.0,3.0320917730344255e+41,1.0184148265037946e+41,4.814774370654803e+40,-7782.290131376739,2.977265937342604,6.297474273175681,4.531984036603701e+41,5.865220246705537e+37,0.4969743632759049,2.3039411738896944e+38,He_I_6678,He_I_5876
A6,110.0,Halpha,True,1.0,16.4,0.06097560975609757,0.78,603.0,1.0,0.0,2.355234449244229e+41,7.89557788274855e+40,3.7340666056253575e+40,-6877.195334920133,2.982979186856355,6.307424848009077,3.51819889808162e+41,5.319752786586319e+37,0.3654778150723946,2.5979524254055675e+38,He_I_6678,He_I_5876
A7,80.0,Halpha,True,2.0,16.4,0.12195121951219513,0.78,603.0,1.0,0.0,2.3918354411139923e+41,7.955140922915752e+40,3.7674745919935608e+40,-2432.437700233659,3.0066537655216377,6.348643853357354,3.564096992604924e+41,2.5033110553149778e+39,2.679065071465966,4.1247811474494525e+39,He_I_5876,He_I_7065
B1,70.0,Halpha,True,0.0,10.2,0.0,0.28,525.0,0.0,0.0,3.2436908468652823e+41,1.0936335155766044e+41,5.166924592531776e+40,4.774271806277219,2.9659760794319543,6.277797921714751,4.854016821695064e+41,4.9049685406623525e+38,0.7539587124712279,1.5616502201205895e+39,He_I_6678,He_I_7065
B4,110.0,Halpha,True,0.2,10.2,0.019607843137254905,0.28,525.0,1.0,0.0,8.160458464921079e+41,2.7489255312472177e+41,1.298945965093208e+41,-20008.207837828624,2.96859932077483,6.282369462794022,1.2208329961261506e+42,2.206305339280173e+38,2.049749474942981,7.503806247841727e+38,He_I_5876,He_I_7065
B5,100.0,Halpha,True,0.5,10.2,0.04901960784313726,0.28,525.0,1.0,0.0,7.013124055191944e+41,2.3597241374837704e+41,1.1152631651664427e+41,-14464.236635856714,2.972010136180666,6.288313175074961,1.0488111357842157e+42,1.8206668876058177e+38,2.1252219607503036,3.702330420733933e+38,He_I_5876,He_I_7065
B6,100.0,Halpha,True,1.0,10.2,0.09803921568627452,0.28,525.0,1.0,0.0,6.609686707574886e+41,2.2230564121148698e+41,1.0507475303606254e+41,-14030.40289542627,2.9732429062773376,6.290461330236376,9.883490650050382e+41,2.1227696668629543e+38,2.2610329629808725,4.0114740972966865e+38,He_I_5876,He_I_7065
B7,100.0,Halpha,True,2.0,10.2,0.19607843137254904,0.28,525.0,1.0,0.0,4.826556402559774e+41,1.6215436958787999e+41,7.665861543197394e+40,-10845.57920527022,2.9765194825317423,6.296169550365556,7.214686252758313e+41,3.866072446990054e+38,4.058508036365217,6.342073288804983e+38,He_I_5876,He_I_6678
C1,120.0,Halpha,True,0.0,2.0,0.0,0.8,7.24,0.0,0.0,1.995910829846118e+39,6.519587812179687e+38,3.0974703970429522e+38,0.021639442266319555,3.0614064682393276,6.443680080854187,2.957616650768382e+39,2.9316984942631276e+36,1.4351252345771661,5.925768717577455e+36,He_I_5876,He_I_7065
C4,120.0,Halpha,True,0.2,2.0,0.1,0.8,7.24,1.0,1.0,1.9959128145524196e+39,6.519594295168216e+38,3.0974734771249498e+38,0.02161615694995884,3.0614064682393276,6.443680080854187,2.957619591781736e+39,2.9281449153589486e+36,3.0819333883042237,5.918585957567504e+36,He_I_5876,He_I_6678
C5,120.0,Halpha,True,0.4,2.0,0.2,0.8,7.24,1.0,1.0,1.9959090968539218e+39,6.5195821514083576e+38,3.09746770759814e+38,0.02171427636010374,3.0614064682393276,6.443680080854188,2.9576140827545715e+39,3.2575846201811553e-13,87.52078577122082,3.892760184162402e+36,He_II_4686,He_II_3203
C6,120.0,Halpha,True,1.0,2.0,0.5,0.8,7.24,1.0,1.0,1.995913512012992e+39,6.519596573403986e+38,3.097474559519736e+38,0.02164207422813322,3.0614064682393276,6.443680080854188,2.9576206253053643e+39,7.337549470794594e-16,0.1971362743244521,4.980232937946249e+36,He_II_10124,He_II_3203
C7,120.0,Halpha,True,2.0,2.0,1.0,0.8,7.24,1.0,1.0,1.9959126624668435e+39,6.519593798384865e+38,3.097473241102096e+38,0.021680152241833665,3.061406468239328,6.443680080854187,2.9576193664155394e+39,2.948145477352591e+36,3.0819333883042233,5.959012592444118e+36,He_I_5876,He_I_6678
