==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
  day010    10.0       2   2.116e+40      1.05      +229     1.05      1.046       -400     0.6min
  day020    20.0       6   3.829e+40      1.13      +114     1.13      1.122       -400     1.6min
  day030    30.0       6   2.861e+40      1.15      +229     1.15      1.129       -400     1.7min
  day040    40.0       6   5.006e+40      1.16      +200     1.16      1.133       -400     1.9min
  day050    50.0       6   5.317e+40      1.17      +200     1.17      1.132       -400     1.9min
  day060    60.0       6   6.949e+40      1.19      +200     1.19      1.138       -400     2.1min
  day070    70.0       6   3.244e+41      1.23      +171     1.23      1.166       -400     2.0min
  day080    80.0       6   2.326e+41      1.26      +171     1.26      1.170       -400     1.9min
  day090    90.0       6   1.524e+41      1.29      +143     1.29      1.187       -400     1.9min
  day100   100.0       6   1.105e+41      1.32      +171     1.32      1.180       -400     2.2min
  day110   110.0       6   9.239e+40      1.35      +171     1.35      1.156       -400     2.3min
  day120   120.0       6   5.848e+40      1.39      +171     1.39      1.139       -400     2.4min
  day130   130.0       6   3.725e+40      1.44      +171     1.44      1.056       -400     2.4min
  day140   140.0       6   1.802e+40      1.47      +171     1.47      0.738       -400     2.3min
  day150   150.0       6   4.936e+39      1.58      +114     1.58      0.643       -400     2.8min
  day160   160.0       6   6.044e+39      1.59      +114     1.59      0.621       -400     2.7min

Total batch runtime: 33.2 min
