# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 130.0 d   T_phot: 5909.741978702415 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 3.7245e+40 erg/s   peak F = 1.438 @ Δv = +171.4 km/s   EW = +41.60 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.26e+03       1.7277e+41       3.7245e+40      +3.30       +0.71        1.218        +0.0
  HI      Hbeta            4861.33   9.05e+02       4.8213e+39       1.2522e+40      +2.46       +6.39        3.503        +0.0
  HI      Hgamma           4340.47   3.03e+02       1.9137e+39       5.9192e+39      +2.20       +6.80        3.874        +0.0
  HI      Palpha          18751.01   2.25e+03       4.2433e+37       1.5135e+39      +9.48     +338.30       32.133        +0.0
  HI      Pbeta           12818.08   2.75e+02       4.1002e+37       1.1331e+39      +6.45     +178.25       23.978        +0.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.33e+01       3.7498e+38       8.0839e+37      +2.86       +0.62        1.154        +0.0
  HeI     He_I_6678        6678.15   1.50e-03       2.4745e+38       2.4745e+38      +2.18       +2.18        1.315        +0.0
  HeI     He_I_7065        7065.19   3.17e+00       3.3431e+38       7.2070e+37      +3.26       +0.70        1.131        +0.0
  HeI     He_I_10830      10830.34   1.92e+04       9.0857e+38       1.9587e+38     -26.16       -5.64        1.263        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   3.62e-30       1.0921e+08       1.0921e+08      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10   1.37e-30       1.5962e+04       1.5962e+04      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   1.27e-29       1.2195e+05       1.2195e+05      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   3.21e-29       3.1466e+03       3.1466e+03      -0.00       -0.00        1.000     -5000.1
