         t-t0          tau          rho            T            r            v
  -6.2047D-02   8.7078D+05   1.0233D-08   4.9204D+04   7.9700D+12   4.9640D-01
   2.7953D-02   7.6142D+05   2.2961D-09   4.6345D+04   8.3505D+12   4.7960D-01
   4.2795D-01   5.2771D+05   4.4668D-10   4.7315D+04   9.9578D+12   4.4110D-01
   9.2795D-01   3.8607D+05   1.9099D-10   4.8529D+04   1.1846D+13   4.1810D-01
   1.9280D+00   2.4015D+05   7.1121D-11   4.8084D+04   1.5392D+13   3.9000D-01
   2.9280D+00   1.7198D+05   3.6898D-11   4.6774D+04   1.8745D+13   3.7220D-01
   3.9280D+00   1.2863D+05   2.2233D-11   4.5186D+04   2.1963D+13   3.5970D-01
   4.9280D+00   9.9653D+04   1.4723D-11   4.6132D+04   2.5082D+13   3.4580D-01
   5.9280D+00   8.2023D+04   1.0740D-11   6.7764D+04   2.7781D+13   2.4690D-01
   6.9280D+00   7.0019D+04   9.0782D-12   7.9068D+04   2.9351D+13   1.2370D-01
   7.9280D+00   5.8638D+04   8.3368D-12   8.1470D+04   3.0170D+13   6.9900D-02
   8.9280D+00   4.9266D+04   7.9250D-12   8.2035D+04   3.0666D+13   4.5900D-02
   9.9280D+00   4.1899D+04   7.6736D-12   8.2035D+04   3.1008D+13   3.3100D-02
   1.1928D+01   3.1705D+04   7.3282D-12   8.1096D+04   3.1477D+13   2.2300D-02
   1.3928D+01   2.4982D+04   7.0632D-12   7.9799D+04   3.1849D+13   2.0800D-02
   1.5928D+01   2.0203D+04   6.8234D-12   7.8163D+04   3.2233D+13   2.3300D-02
   1.7928D+01   1.6786D+04   6.5313D-12   7.6208D+04   3.2682D+13   2.7700D-02
   1.9928D+01   1.4252D+04   6.2230D-12   7.3961D+04   3.3214D+13   3.2600D-02
   2.1928D+01   1.2339D+04   5.8884D-12   7.1450D+04   3.3832D+13   3.7400D-02
   2.3928D+01   1.0881D+04   5.5335D-12   6.9024D+04   3.4530D+13   4.1700D-02
   2.5928D+01   9.5876D+03   5.1761D-12   6.6374D+04   3.5301D+13   4.5500D-02
   2.7928D+01   8.4665D+03   4.8195D-12   6.3826D+04   3.6134D+13   4.8700D-02
   2.9928D+01   7.4997D+03   4.4771D-12   6.1376D+04   3.7017D+13   5.1300D-02
   3.1928D+01   6.6637D+03   4.1591D-12   5.9020D+04   3.7941D+13   5.3400D-02
   3.3928D+01   5.9620D+03   3.8548D-12   5.6754D+04   3.8898D+13   5.5100D-02
   3.5928D+01   5.3585D+03   3.5727D-12   5.4450D+04   3.9882D+13   5.6500D-02
   3.7928D+01   4.8307D+03   3.3113D-12   5.2360D+04   4.0888D+13   5.7600D-02
   3.9928D+01   4.3651D+03   3.0761D-12   5.0350D+04   4.1911D+13   5.8500D-02
   4.1928D+01   3.9521D+03   2.8576D-12   4.8417D+04   4.2946D+13   5.8900D-02
   4.3928D+01   3.5860D+03   2.6607D-12   4.6666D+04   4.3990D+13   5.9400D-02
   4.5928D+01   3.2608D+03   2.4774D-12   4.4875D+04   4.5040D+13   5.9800D-02
   4.7928D+01   2.9708D+03   2.3067D-12   4.3351D+04   4.6094D+13   5.9700D-02
   4.9928D+01   2.7122D+03   2.1577D-12   4.1783D+04   4.7148D+13   6.0000D-02
   5.1928D+01   2.4817D+03   2.0184D-12   4.0272D+04   4.8207D+13   6.0100D-02
   5.3928D+01   2.2730D+03   1.8880D-12   3.8905D+04   4.9267D+13   6.0100D-02
   5.5928D+01   2.0803D+03   1.7701D-12   3.7584D+04   5.0325D+13   6.0000D-02
   5.7928D+01   1.9038D+03   1.6634D-12   3.6392D+04   5.1382D+13   5.9900D-02
